"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"23,6";"23,7";"23,3";"73,0";"76,0";"73,0";"18,5";"18,7";"18,4";"954,3";"954,3";"953,5";"3,8";"45,0";"7,4";"";"0,0"
"01/01/2022";"0100";"23,3";"23,7";"23,3";"76,0";"76,0";"73,0";"18,7";"18,7";"18,5";"954,8";"954,8";"954,3";"3,0";"40,0";"6,9";"";"0,0"
"01/01/2022";"0200";"22,9";"23,3";"22,9";"77,0";"78,0";"75,0";"18,6";"18,9";"18,6";"954,4";"954,8";"954,4";"3,3";"38,0";"6,4";"";"0,0"
"01/01/2022";"0300";"22,8";"23,0";"22,4";"78,0";"80,0";"77,0";"18,7";"18,8";"18,7";"953,8";"954,4";"953,8";"1,9";"35,0";"5,6";"";"0,0"
"01/01/2022";"0400";"22,6";"22,9";"22,4";"80,0";"82,0";"77,0";"18,9";"19,0";"18,7";"953,4";"953,8";"953,4";"2,0";"24,0";"5,0";"";"0,0"
"01/01/2022";"0500";"21,8";"22,8";"21,8";"85,0";"85,0";"79,0";"19,3";"19,3";"18,9";"953,1";"953,4";"953,1";"2,3";"19,0";"4,6";"";"0,0"
"01/01/2022";"0600";"21,7";"22,0";"21,6";"85,0";"85,0";"83,0";"19,0";"19,3";"18,9";"952,9";"953,1";"952,9";"1,3";"24,0";"5,2";"";"0,2"
"01/01/2022";"0700";"21,4";"21,9";"21,3";"85,0";"87,0";"83,0";"18,8";"19,3";"18,8";"953,3";"953,3";"952,9";"2,2";"37,0";"4,0";"";"0,2"
"01/01/2022";"0800";"21,2";"21,5";"21,1";"89,0";"89,0";"85,0";"19,4";"19,5";"18,9";"953,7";"953,7";"953,3";"1,4";"301,0";"4,0";"";"0,0"
"01/01/2022";"0900";"21,8";"21,8";"21,2";"82,0";"89,0";"82,0";"18,6";"19,6";"18,6";"954,3";"954,3";"953,7";"3,2";"49,0";"6,6";"39,50";"0,0"
"01/01/2022";"1000";"22,0";"22,0";"21,7";"79,0";"82,0";"79,0";"18,2";"18,6";"18,1";"955,0";"955,0";"954,3";"3,9";"55,0";"7,1";"136,60";"0,0"
"01/01/2022";"1100";"22,0";"22,1";"21,9";"78,0";"79,0";"77,0";"17,9";"18,2";"17,9";"955,5";"955,5";"955,0";"2,6";"40,0";"7,7";"121,80";"0,0"
"01/01/2022";"1200";"22,0";"22,4";"21,9";"79,0";"82,0";"75,0";"18,2";"18,9";"17,7";"955,9";"955,9";"955,5";"1,5";"16,0";"5,1";"233,20";"0,0"
"01/01/2022";"1300";"22,7";"22,8";"21,8";"81,0";"83,0";"75,0";"19,2";"19,4";"17,8";"955,8";"955,9";"955,7";"1,1";"278,0";"3,8";"530,00";"0,0"
"01/01/2022";"1400";"23,6";"23,7";"22,6";"74,0";"82,0";"73,0";"18,6";"19,8";"18,3";"955,7";"955,8";"955,7";"1,0";"337,0";"2,2";"847,20";"0,0"
"01/01/2022";"1500";"26,8";"26,8";"23,5";"63,0";"75,0";"61,0";"19,3";"19,5";"18,0";"954,8";"955,7";"954,8";"1,1";"42,0";"2,9";"1982,50";"0,0"
"01/01/2022";"1600";"26,6";"27,1";"25,4";"60,0";"64,0";"58,0";"18,2";"18,9";"17,4";"954,2";"954,8";"954,2";"4,1";"12,0";"6,9";"2151,30";"0,0"
"01/01/2022";"1700";"26,6";"27,5";"26,3";"60,0";"62,0";"57,0";"18,1";"19,0";"17,1";"953,6";"954,2";"953,6";"2,0";"56,0";"6,9";"1793,20";"0,0"
"01/01/2022";"1800";"27,3";"27,8";"26,3";"57,0";"63,0";"56,0";"18,1";"19,5";"17,9";"953,0";"953,6";"953,0";"1,7";"8,0";"5,0";"1596,50";"0,0"
"01/01/2022";"1900";"26,3";"28,4";"26,3";"62,0";"62,0";"55,0";"18,3";"19,2";"18,0";"952,3";"953,0";"952,3";"4,0";"68,0";"5,9";"1316,50";"0,0"
"01/01/2022";"2000";"26,1";"26,4";"26,1";"59,0";"63,0";"58,0";"17,5";"18,6";"17,2";"952,5";"952,5";"952,3";"3,4";"43,0";"7,0";"646,10";"0,0"
"01/01/2022";"2100";"25,4";"26,1";"25,4";"63,0";"64,0";"58,0";"17,9";"18,0";"17,3";"952,8";"952,8";"952,3";"2,6";"48,0";"6,0";"179,60";"0,0"
"01/01/2022";"2200";"24,6";"25,5";"24,6";"69,0";"69,0";"63,0";"18,5";"18,6";"17,8";"953,8";"953,8";"952,8";"3,1";"51,0";"6,8";"8,40";"0,0"
"01/01/2022";"2300";"24,0";"24,6";"23,9";"71,0";"71,0";"68,0";"18,5";"18,5";"18,2";"954,8";"954,8";"953,8";"2,7";"60,0";"4,9";"";"0,0"
"02/01/2022";"0000";"23,9";"24,2";"23,7";"74,0";"74,0";"71,0";"19,1";"19,1";"18,5";"955,4";"955,4";"954,8";"3,0";"38,0";"5,3";"";"0,0"
"02/01/2022";"0100";"23,5";"23,9";"23,3";"75,0";"76,0";"74,0";"18,8";"19,1";"18,8";"955,6";"955,7";"955,4";"2,2";"28,0";"5,7";"";"0,0"
"02/01/2022";"0200";"23,6";"23,7";"23,2";"69,0";"76,0";"68,0";"17,5";"18,8";"17,5";"955,6";"955,7";"955,5";"4,0";"28,0";"6,8";"";"0,0"
"02/01/2022";"0300";"22,7";"23,6";"22,7";"71,0";"71,0";"68,0";"17,1";"17,5";"17,0";"955,5";"955,6";"955,5";"2,6";"66,0";"6,9";"";"0,0"
"02/01/2022";"0400";"22,4";"22,7";"22,3";"72,0";"73,0";"71,0";"17,2";"17,2";"17,0";"955,2";"955,6";"955,2";"3,4";"52,0";"5,8";"";"0,0"
"02/01/2022";"0500";"22,2";"22,5";"22,2";"74,0";"74,0";"72,0";"17,3";"17,4";"17,1";"955,0";"955,2";"955,0";"2,4";"38,0";"5,9";"";"0,0"
"02/01/2022";"0600";"21,9";"22,4";"21,9";"75,0";"75,0";"73,0";"17,2";"17,3";"17,1";"954,9";"955,1";"954,9";"1,2";"325,0";"5,0";"";"0,0"
"02/01/2022";"0700";"21,1";"21,9";"21,1";"81,0";"81,0";"75,0";"17,8";"17,8";"17,3";"954,9";"954,9";"954,7";"0,7";"322,0";"3,4";"";"0,0"
"02/01/2022";"0800";"21,3";"21,6";"21,1";"81,0";"81,0";"79,0";"17,8";"17,9";"17,7";"955,3";"955,3";"954,9";"0,7";"324,0";"2,3";"";"0,0"
"02/01/2022";"0900";"21,1";"21,4";"21,0";"83,0";"83,0";"78,0";"18,1";"18,1";"17,5";"956,1";"956,1";"955,3";"1,4";"300,0";"2,5";"54,80";"0,0"
"02/01/2022";"1000";"22,9";"22,9";"21,1";"77,0";"83,0";"75,0";"18,7";"18,8";"17,9";"956,6";"956,6";"956,2";"1,1";"287,0";"2,5";"489,20";"0,0"
"02/01/2022";"1100";"23,0";"23,2";"22,6";"74,0";"77,0";"73,0";"18,0";"18,7";"17,8";"957,2";"957,2";"956,6";"2,1";"326,0";"3,4";"704,70";"0,0"
"02/01/2022";"1200";"23,5";"23,9";"22,7";"70,0";"75,0";"69,0";"17,7";"18,5";"17,6";"957,4";"957,4";"957,2";"1,1";"347,0";"3,4";"713,90";"0,0"
"02/01/2022";"1300";"23,2";"23,7";"23,1";"73,0";"74,0";"70,0";"17,9";"18,4";"17,6";"957,2";"957,4";"957,2";"1,5";"324,0";"2,8";"703,20";"0,0"
"02/01/2022";"1400";"24,6";"24,6";"23,2";"68,0";"75,0";"66,0";"18,3";"18,6";"17,7";"956,7";"957,2";"956,7";"1,9";"27,0";"3,9";"1009,70";"0,0"
"02/01/2022";"1500";"25,4";"25,6";"24,4";"65,0";"69,0";"62,0";"18,5";"18,9";"17,2";"956,0";"956,7";"956,0";"1,3";"354,0";"3,7";"1327,50";"0,0"
"02/01/2022";"1600";"25,4";"28,7";"25,2";"61,0";"65,0";"51,0";"17,3";"18,8";"16,7";"955,2";"956,0";"955,2";"2,6";"30,0";"5,2";"2208,80";"0,0"
"02/01/2022";"1700";"28,7";"28,7";"25,2";"52,0";"63,0";"52,0";"17,7";"19,4";"16,2";"954,3";"955,3";"954,3";"2,0";"50,0";"6,4";"2318,70";"0,0"
"02/01/2022";"1800";"25,9";"28,8";"25,8";"56,0";"57,0";"49,0";"16,3";"17,8";"15,6";"953,5";"954,3";"953,5";"3,5";"44,0";"6,8";"1721,00";"0,0"
"02/01/2022";"1900";"27,0";"28,4";"25,9";"52,0";"57,0";"48,0";"16,1";"17,7";"15,7";"953,0";"953,5";"952,9";"4,2";"67,0";"7,2";"2393,80";"0,0"
"02/01/2022";"2000";"27,1";"27,1";"25,7";"52,0";"57,0";"52,0";"16,5";"16,6";"15,6";"953,2";"953,2";"952,9";"1,3";"358,0";"5,9";"575,40";"0,0"
"02/01/2022";"2100";"25,6";"27,5";"25,6";"59,0";"60,0";"51,0";"17,1";"17,4";"16,3";"953,3";"953,3";"953,0";"2,4";"55,0";"5,1";"631,40";"0,0"
"02/01/2022";"2200";"24,4";"25,6";"24,3";"65,0";"65,0";"59,0";"17,3";"17,3";"17,0";"953,7";"953,7";"953,3";"3,0";"52,0";"4,0";"21,40";"0,0"
"02/01/2022";"2300";"23,2";"24,4";"23,1";"71,0";"71,0";"64,0";"17,6";"17,6";"17,2";"954,5";"954,5";"953,7";"2,2";"79,0";"4,0";"";"0,0"
