"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2022";"0000";"21,3";"21,4";"21,3";"97,0";"97,0";"96,0";"20,7";"20,8";"20,7";"947,9";"947,9";"947,6";"0,0";"126,0";"3,0";"";"2,0"
"01/06/2022";"0100";"21,4";"21,4";"21,3";"97,0";"97,0";"97,0";"20,9";"20,9";"20,7";"947,6";"947,9";"947,5";"1,9";"104,0";"6,2";"";"0,2"
"01/06/2022";"0200";"21,2";"21,5";"21,1";"97,0";"97,0";"97,0";"20,6";"20,9";"20,6";"947,6";"947,7";"947,4";"0,9";"107,0";"6,4";"";"0,0"
"01/06/2022";"0300";"20,5";"21,2";"20,5";"97,0";"97,0";"97,0";"20,0";"20,7";"20,0";"947,2";"947,6";"947,1";"0,6";"70,0";"5,7";"";"3,6"
"01/06/2022";"0400";"20,8";"20,8";"20,4";"97,0";"97,0";"97,0";"20,3";"20,3";"19,9";"946,6";"947,2";"946,6";"0,0";"137,0";"5,3";"";"4,0"
"01/06/2022";"0500";"21,0";"21,0";"20,8";"97,0";"97,0";"97,0";"20,5";"20,5";"20,3";"946,3";"946,6";"946,3";"1,0";"133,0";"5,9";"";"0,0"
"01/06/2022";"0600";"21,1";"21,2";"21,0";"97,0";"97,0";"97,0";"20,6";"20,6";"20,5";"946,0";"946,3";"945,9";"1,7";"129,0";"8,1";"";"0,0"
"01/06/2022";"0700";"21,1";"21,2";"21,1";"97,0";"97,0";"97,0";"20,6";"20,7";"20,6";"946,2";"946,2";"945,9";"3,8";"119,0";"7,6";"";"0,0"
"01/06/2022";"0800";"21,1";"21,3";"21,0";"97,0";"97,0";"97,0";"20,6";"20,8";"20,5";"946,7";"946,7";"946,2";"1,6";"124,0";"8,8";"";"0,4"
"01/06/2022";"0900";"21,1";"21,2";"21,0";"97,0";"97,0";"97,0";"20,6";"20,7";"20,5";"947,2";"947,2";"946,7";"2,6";"129,0";"5,7";"";"0,6"
"01/06/2022";"1000";"21,3";"21,4";"21,0";"97,0";"97,0";"97,0";"20,8";"20,9";"20,6";"947,8";"947,8";"947,2";"2,0";"139,0";"5,7";"";"0,8"
"01/06/2022";"1100";"20,9";"21,4";"20,8";"97,0";"97,0";"97,0";"20,4";"20,9";"20,3";"948,4";"948,5";"947,8";"4,3";"129,0";"7,7";"";"1,2"
"01/06/2022";"1200";"20,8";"21,2";"20,7";"97,0";"97,0";"97,0";"20,3";"20,7";"20,2";"948,6";"948,7";"948,4";"4,6";"129,0";"8,6";"";"2,0"
"01/06/2022";"1300";"21,7";"21,9";"20,8";"97,0";"97,0";"97,0";"21,2";"21,4";"20,3";"948,5";"948,7";"948,5";"2,6";"124,0";"8,6";"";"0,6"
"01/06/2022";"1400";"21,3";"22,4";"21,2";"97,0";"97,0";"97,0";"20,8";"21,8";"20,7";"947,9";"948,5";"947,8";"4,1";"142,0";"7,6";"";"3,8"
"01/06/2022";"1500";"22,8";"23,1";"21,3";"92,0";"97,0";"92,0";"21,5";"22,3";"20,7";"947,3";"947,9";"947,3";"1,8";"137,0";"7,6";"";"0,0"
"01/06/2022";"1600";"23,4";"24,1";"22,5";"85,0";"93,0";"84,0";"20,7";"21,9";"20,7";"946,5";"947,4";"946,5";"2,9";"127,0";"6,3";"";"0,0"
"01/06/2022";"1700";"22,8";"24,0";"21,8";"94,0";"95,0";"85,0";"21,8";"22,0";"20,2";"946,0";"946,5";"945,9";"0,4";"129,0";"7,0";"";"1,2"
"01/06/2022";"1800";"21,4";"23,8";"20,8";"95,0";"95,0";"89,0";"20,6";"22,3";"19,5";"946,1";"946,2";"945,9";"0,0";"118,0";"7,7";"";"4,6"
"01/06/2022";"1900";"21,4";"21,7";"21,4";"94,0";"95,0";"94,0";"20,4";"20,8";"20,4";"945,9";"946,1";"945,8";"0,0";"115,0";"1,6";"";"0,0"
"01/06/2022";"2000";"20,9";"21,4";"20,9";"95,0";"95,0";"94,0";"20,0";"20,4";"20,0";"946,2";"946,2";"945,9";"0,0";"132,0";"4,6";"";"0,0"
"01/06/2022";"2100";"20,9";"20,9";"20,8";"95,0";"95,0";"95,0";"20,1";"20,1";"19,9";"946,6";"946,6";"946,2";"0,0";"127,0";"0,0";"";"0,0"
"01/06/2022";"2200";"21,0";"21,2";"20,8";"96,0";"96,0";"95,0";"20,4";"20,5";"20,1";"947,2";"947,2";"946,6";"0,6";"135,0";"5,0";"";"0,2"
"01/06/2022";"2300";"21,0";"21,1";"21,0";"96,0";"96,0";"96,0";"20,4";"20,5";"20,3";"947,5";"947,5";"947,2";"0,8";"127,0";"5,5";"";"0,0"
"02/06/2022";"0000";"21,1";"21,1";"21,0";"97,0";"97,0";"96,0";"20,5";"20,5";"20,4";"947,9";"947,9";"947,5";"0,0";"129,0";"3,8";"";"0,0"
"02/06/2022";"0100";"21,1";"21,1";"21,0";"97,0";"97,0";"97,0";"20,5";"20,6";"20,5";"947,5";"947,9";"947,5";"1,2";"139,0";"5,4";"";"0,0"
"02/06/2022";"0200";"20,9";"21,1";"20,9";"97,0";"97,0";"97,0";"20,3";"20,5";"20,3";"947,5";"947,6";"947,5";"1,9";"140,0";"5,0";"";"0,0"
"02/06/2022";"0300";"20,7";"20,9";"20,7";"97,0";"97,0";"97,0";"20,2";"20,4";"20,2";"947,2";"947,5";"947,1";"0,0";"133,0";"4,8";"";"0,8"
"02/06/2022";"0400";"20,7";"20,7";"20,6";"97,0";"97,0";"97,0";"20,2";"20,2";"20,1";"946,6";"947,2";"946,6";"0,0";"148,0";"5,5";"";"0,2"
"02/06/2022";"0500";"20,5";"20,7";"20,5";"97,0";"97,0";"97,0";"20,0";"20,2";"20,0";"946,3";"946,6";"946,3";"0,0";"135,0";"3,7";"";"0,0"
"02/06/2022";"0600";"20,2";"20,5";"20,2";"97,0";"97,0";"97,0";"19,7";"20,0";"19,7";"946,2";"946,3";"946,1";"0,1";"157,0";"4,8";"";"0,2"
"02/06/2022";"0700";"20,2";"20,3";"20,2";"97,0";"97,0";"97,0";"19,7";"19,8";"19,7";"946,4";"946,4";"946,1";"0,0";"161,0";"3,3";"";"0,4"
"02/06/2022";"0800";"20,2";"20,2";"20,2";"97,0";"97,0";"97,0";"19,7";"19,7";"19,7";"946,6";"946,7";"946,3";"0,0";"165,0";"0,0";"";"0,0"
"02/06/2022";"0900";"20,4";"20,4";"20,2";"97,0";"97,0";"97,0";"19,9";"19,9";"19,7";"947,0";"947,0";"946,6";"0,0";"160,0";"0,0";"";"0,0"
"02/06/2022";"1000";"20,9";"20,9";"20,4";"97,0";"97,0";"97,0";"20,3";"20,3";"19,9";"947,5";"947,5";"947,0";"0,0";"170,0";"0,0";"";"0,0"
"02/06/2022";"1100";"21,8";"22,0";"20,9";"93,0";"97,0";"93,0";"20,6";"21,1";"20,3";"948,1";"948,1";"947,5";"0,1";"144,0";"3,7";"";"0,0"
"02/06/2022";"1200";"23,0";"23,0";"21,6";"90,0";"94,0";"90,0";"21,3";"21,3";"20,5";"948,5";"948,6";"948,1";"2,4";"120,0";"7,1";"";"0,0"
"02/06/2022";"1300";"22,4";"24,4";"22,4";"89,0";"90,0";"84,0";"20,5";"22,0";"20,1";"948,1";"948,5";"948,1";"2,9";"146,0";"6,2";"";"0,0"
