"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2022";"0000";"23,0";"23,0";"22,9";"90,0";"90,0";"90,0";"21,3";"21,3";"21,1";"";"";"";"0,3";"176,0";"1,6";"";"0,0"
"01/06/2022";"0100";"23,1";"23,1";"22,9";"90,0";"90,0";"90,0";"21,3";"21,3";"21,2";"";"";"";"1,2";"244,0";"2,0";"";"0,0"
"01/06/2022";"0200";"22,8";"23,1";"22,7";"92,0";"92,0";"90,0";"21,3";"21,3";"21,2";"";"";"";"2,1";"64,0";"2,9";"";"0,0"
"01/06/2022";"0300";"22,7";"22,8";"22,7";"92,0";"92,0";"92,0";"21,3";"21,4";"21,3";"";"";"";"2,3";"72,0";"3,2";"";"0,0"
"01/06/2022";"0400";"22,4";"22,7";"22,4";"93,0";"93,0";"92,0";"21,3";"21,4";"21,3";"";"";"";"2,4";"82,0";"3,1";"";"0,0"
"01/06/2022";"0500";"22,5";"22,5";"22,4";"93,0";"94,0";"93,0";"21,4";"21,4";"21,3";"";"";"";"0,5";"47,0";"3,3";"";"0,0"
"01/06/2022";"0600";"22,6";"22,6";"22,5";"94,0";"94,0";"93,0";"21,5";"21,5";"21,3";"";"";"";"1,9";"82,0";"2,4";"";"0,0"
"01/06/2022";"0700";"22,7";"22,7";"22,6";"94,0";"94,0";"94,0";"21,6";"21,6";"21,5";"";"";"";"2,1";"76,0";"3,0";"";"0,0"
"01/06/2022";"0800";"22,7";"22,8";"22,6";"93,0";"94,0";"93,0";"21,6";"21,7";"21,5";"";"";"";"4,0";"53,0";"5,3";"";"0,0"
"01/06/2022";"0900";"22,6";"22,7";"22,4";"93,0";"94,0";"93,0";"21,4";"21,6";"21,3";"";"";"";"2,8";"71,0";"5,4";"";"0,0"
"01/06/2022";"1000";"22,6";"22,6";"22,5";"94,0";"94,0";"93,0";"21,6";"21,6";"21,4";"";"";"";"2,6";"69,0";"4,2";"53,40";"0,0"
"01/06/2022";"1100";"23,5";"23,5";"22,6";"93,0";"94,0";"93,0";"22,4";"22,4";"21,6";"";"";"";"3,1";"58,0";"5,5";"380,50";"0,0"
"01/06/2022";"1200";"24,1";"24,4";"23,5";"88,0";"93,0";"87,0";"21,9";"22,7";"21,9";"";"";"";"3,9";"74,0";"5,9";"932,70";"0,0"
"01/06/2022";"1300";"25,7";"25,7";"24,1";"84,0";"89,0";"84,0";"22,8";"23,1";"22,0";"";"";"";"3,8";"93,0";"5,9";"1185,20";"0,0"
"01/06/2022";"1400";"26,7";"26,7";"25,6";"78,0";"84,0";"78,0";"22,6";"22,9";"22,5";"";"";"";"3,4";"87,0";"5,5";"2150,90";"0,0"
"01/06/2022";"1500";"26,5";"26,7";"25,6";"79,0";"81,0";"77,0";"22,7";"22,7";"21,8";"";"";"";"4,6";"89,0";"6,0";"2231,70";"0,0"
"01/06/2022";"1600";"26,1";"26,6";"25,7";"81,0";"83,0";"79,0";"22,5";"22,8";"22,3";"";"";"";"4,6";"89,0";"5,8";"2115,30";"0,0"
"01/06/2022";"1700";"25,7";"26,2";"25,6";"83,0";"84,0";"80,0";"22,6";"22,8";"22,3";"";"";"";"5,2";"91,0";"6,3";"1892,50";"0,0"
"01/06/2022";"1800";"25,4";"25,8";"25,1";"85,0";"86,0";"83,0";"22,7";"22,8";"22,3";"";"";"";"4,9";"87,0";"6,7";"1390,30";"0,0"
"01/06/2022";"1900";"24,5";"25,4";"24,5";"88,0";"88,0";"85,0";"22,5";"22,8";"22,4";"";"";"";"4,2";"85,0";"6,4";"815,50";"0,0"
"01/06/2022";"2000";"23,6";"24,6";"23,6";"91,0";"91,0";"88,0";"22,1";"22,5";"22,0";"";"";"";"5,7";"84,0";"6,8";"240,90";"0,0"
"01/06/2022";"2100";"23,3";"23,6";"23,3";"94,0";"94,0";"91,0";"22,3";"22,3";"22,1";"";"";"";"4,4";"80,0";"6,9";"2,90";"0,0"
"01/06/2022";"2200";"23,3";"23,4";"23,3";"93,0";"94,0";"93,0";"22,1";"22,3";"22,1";"";"";"";"5,6";"68,0";"7,2";"";"0,0"
"01/06/2022";"2300";"23,3";"23,5";"23,3";"93,0";"93,0";"92,0";"22,1";"22,2";"22,1";"";"";"";"6,1";"66,0";"7,9";"";"0,0"
