"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"18,9";"19,2";"18,9";"91,0";"91,0";"91,0";"17,5";"17,7";"17,5";"916,1";"916,1";"915,1";"0,7";"29,0";"3,2";"";"0,6"
"01/01/2022";"0100";"18,8";"18,9";"18,8";"92,0";"92,0";"91,0";"17,4";"17,5";"17,4";"916,4";"916,5";"916,1";"0,3";"97,0";"1,8";"";"1,6"
"01/01/2022";"0200";"18,7";"18,9";"18,7";"92,0";"92,0";"92,0";"17,4";"17,6";"17,3";"916,3";"916,5";"916,2";"0,2";"40,0";"1,5";"";"0,2"
"01/01/2022";"0300";"18,8";"18,8";"18,6";"92,0";"92,0";"92,0";"17,5";"17,5";"17,3";"916,0";"916,3";"916,0";"0,1";"24,0";"1,1";"";"0,2"
"01/01/2022";"0400";"18,9";"19,0";"18,7";"92,0";"92,0";"92,0";"17,6";"17,7";"17,5";"915,5";"916,0";"915,5";"0,1";"286,0";"1,0";"";"1,0"
"01/01/2022";"0500";"19,1";"19,1";"18,9";"92,0";"92,0";"92,0";"17,8";"17,8";"17,7";"914,7";"915,6";"914,7";"0,6";"89,0";"1,6";"";"0,0"
"01/01/2022";"0600";"19,3";"19,3";"19,0";"92,0";"92,0";"92,0";"18,0";"18,0";"17,8";"914,4";"914,7";"914,4";"0,5";"59,0";"2,1";"";"0,0"
"01/01/2022";"0700";"19,2";"19,3";"19,1";"92,0";"93,0";"92,0";"17,9";"18,0";"17,9";"914,6";"914,6";"914,3";"0,4";"329,0";"2,7";"";"0,0"
"01/01/2022";"0800";"19,1";"19,2";"19,1";"93,0";"93,0";"92,0";"17,9";"18,0";"17,9";"915,0";"915,0";"914,6";"0,0";"84,0";"1,3";"";"0,2"
"01/01/2022";"0900";"19,3";"19,3";"19,0";"93,0";"93,0";"93,0";"18,0";"18,0";"17,8";"915,3";"915,3";"914,9";"0,4";"101,0";"2,9";"16,00";"0,0"
"01/01/2022";"1000";"19,7";"19,7";"19,3";"93,0";"93,0";"93,0";"18,5";"18,5";"18,0";"915,9";"915,9";"915,2";"0,6";"21,0";"1,9";"137,30";"0,2"
"01/01/2022";"1100";"19,3";"19,9";"19,3";"93,0";"93,0";"92,0";"18,0";"18,6";"18,0";"916,7";"916,7";"915,9";"1,1";"296,0";"7,3";"144,50";"9,0"
"01/01/2022";"1200";"19,8";"20,0";"19,2";"93,0";"93,0";"93,0";"18,6";"18,8";"18,0";"917,3";"917,3";"916,7";"0,6";"330,0";"3,1";"322,50";"2,8"
"01/01/2022";"1300";"21,3";"21,4";"19,6";"93,0";"93,0";"92,0";"20,0";"20,0";"18,3";"917,3";"917,6";"917,2";"0,4";"6,0";"3,7";"625,10";"2,6"
"01/01/2022";"1400";"22,3";"22,8";"21,2";"86,0";"93,0";"84,0";"19,9";"20,6";"19,4";"917,1";"917,4";"917,1";"1,4";"358,0";"4,8";"1378,90";"0,2"
"01/01/2022";"1500";"21,6";"22,5";"21,1";"89,0";"90,0";"82,0";"19,8";"19,9";"18,9";"916,6";"917,1";"916,6";"1,0";"8,0";"3,7";"523,30";"0,2"
"01/01/2022";"1600";"22,6";"23,2";"21,6";"81,0";"89,0";"80,0";"19,2";"20,8";"19,2";"916,1";"916,6";"916,0";"1,9";"53,0";"4,9";"1224,20";"0,2"
"01/01/2022";"1700";"22,0";"23,9";"21,8";"87,0";"87,0";"77,0";"19,6";"20,5";"18,9";"915,2";"916,1";"915,2";"0,9";"81,0";"5,0";"1080,90";"1,4"
"01/01/2022";"1800";"20,6";"22,2";"20,4";"91,0";"91,0";"87,0";"19,0";"20,3";"18,7";"915,0";"915,2";"914,8";"1,6";"316,0";"6,8";"272,40";"5,6"
"01/01/2022";"1900";"22,1";"22,1";"20,4";"89,0";"91,0";"88,0";"20,2";"20,2";"18,9";"914,4";"915,0";"914,3";"0,3";"191,0";"3,7";"744,80";"1,0"
"01/01/2022";"2000";"23,0";"23,3";"22,1";"81,0";"89,0";"78,0";"19,4";"20,6";"19,0";"914,4";"914,4";"914,2";"0,5";"101,0";"1,6";"911,10";"0,0"
"01/01/2022";"2100";"21,3";"23,1";"21,3";"87,0";"87,0";"81,0";"19,1";"20,1";"19,1";"915,3";"915,3";"914,2";"1,7";"34,0";"7,6";"303,50";"0,8"
"01/01/2022";"2200";"19,6";"21,3";"19,5";"91,0";"91,0";"86,0";"18,1";"18,8";"17,8";"915,9";"915,9";"915,2";"0,1";"142,0";"7,6";"14,70";"3,0"
"01/01/2022";"2300";"19,6";"19,6";"19,5";"92,0";"92,0";"91,0";"18,2";"18,2";"18,0";"916,5";"916,5";"915,9";"0,7";"158,0";"1,7";"";"0,2"
"02/01/2022";"0000";"19,8";"19,8";"19,4";"92,0";"92,0";"92,0";"18,4";"18,4";"18,0";"916,9";"916,9";"916,4";"0,9";"106,0";"2,1";"";"0,0"
"02/01/2022";"0100";"19,8";"19,9";"19,7";"92,0";"92,0";"92,0";"18,4";"18,6";"18,3";"917,8";"917,8";"916,9";"1,4";"359,0";"3,2";"";"0,0"
"02/01/2022";"0200";"19,7";"19,9";"19,7";"92,0";"92,0";"92,0";"18,4";"18,5";"18,4";"918,2";"918,2";"917,8";"0,6";"18,0";"3,2";"";"1,2"
"02/01/2022";"0300";"19,4";"19,7";"19,4";"92,0";"92,0";"92,0";"18,1";"18,4";"18,1";"918,0";"918,3";"918,0";"1,6";"340,0";"4,0";"";"2,6"
"02/01/2022";"0400";"19,0";"19,4";"19,0";"92,0";"92,0";"92,0";"17,8";"18,1";"17,8";"917,4";"918,0";"917,4";"0,2";"48,0";"4,0";"";"1,8"
"02/01/2022";"0500";"18,9";"19,1";"18,9";"92,0";"93,0";"92,0";"17,6";"17,8";"17,6";"917,1";"917,4";"917,1";"0,6";"84,0";"2,8";"";"0,4"
"02/01/2022";"0600";"18,7";"18,9";"18,7";"93,0";"93,0";"92,0";"17,4";"17,6";"17,4";"916,8";"917,1";"916,7";"0,3";"84,0";"1,7";"";"0,6"
"02/01/2022";"0700";"18,6";"18,7";"18,5";"93,0";"93,0";"93,0";"17,4";"17,4";"17,3";"916,4";"916,7";"916,4";"0,3";"109,0";"1,6";"";"0,2"
"02/01/2022";"0800";"18,6";"18,7";"18,6";"93,0";"93,0";"93,0";"17,4";"17,4";"17,3";"916,9";"916,9";"916,4";"0,3";"97,0";"1,7";"";"0,0"
"02/01/2022";"0900";"18,8";"18,8";"18,6";"93,0";"93,0";"93,0";"17,6";"17,6";"17,4";"917,3";"917,3";"916,9";"0,0";"69,0";"2,1";"19,30";"0,0"
"02/01/2022";"1000";"19,6";"19,6";"18,8";"92,0";"93,0";"92,0";"18,3";"18,3";"17,6";"917,8";"917,8";"917,3";"1,0";"97,0";"2,8";"197,60";"0,0"
"02/01/2022";"1100";"21,0";"21,0";"19,6";"91,0";"92,0";"91,0";"19,5";"19,6";"18,3";"918,4";"918,4";"917,8";"0,2";"69,0";"3,3";"577,60";"0,0"
"02/01/2022";"1200";"21,9";"21,9";"21,0";"87,0";"91,0";"87,0";"19,7";"19,7";"19,1";"918,5";"918,6";"918,4";"1,0";"81,0";"2,8";"769,00";"0,2"
"02/01/2022";"1300";"23,5";"23,5";"21,9";"78,0";"87,0";"78,0";"19,4";"20,1";"18,8";"918,4";"918,5";"918,4";"1,5";"74,0";"3,4";"1335,80";"0,0"
"02/01/2022";"1400";"21,4";"23,8";"21,4";"85,0";"85,0";"76,0";"18,8";"20,0";"18,7";"918,2";"918,4";"918,1";"1,5";"16,0";"4,6";"1106,90";"0,4"
"02/01/2022";"1500";"24,5";"24,8";"21,0";"74,0";"89,0";"71,0";"19,4";"21,4";"18,7";"917,4";"918,2";"917,4";"1,0";"42,0";"3,6";"2277,30";"0,4"
"02/01/2022";"1600";"24,6";"26,2";"22,9";"74,0";"82,0";"68,0";"19,7";"21,1";"18,9";"916,3";"917,4";"916,3";"1,6";"84,0";"4,1";"1750,90";"0,2"
"02/01/2022";"1700";"26,2";"26,7";"23,7";"67,0";"81,0";"67,0";"19,7";"21,1";"19,3";"915,2";"916,3";"915,2";"1,8";"62,0";"4,9";"1738,90";"0,0"
"02/01/2022";"1800";"24,2";"27,8";"23,6";"78,0";"79,0";"61,0";"20,1";"20,7";"18,7";"914,4";"915,2";"914,4";"1,7";"40,0";"6,6";"1757,50";"0,0"
"02/01/2022";"1900";"26,6";"27,5";"24,2";"67,0";"78,0";"64,0";"20,1";"21,2";"19,3";"914,3";"914,5";"914,2";"2,0";"50,0";"6,5";"1580,50";"0,0"
"02/01/2022";"2000";"23,0";"27,1";"22,9";"77,0";"78,0";"63,0";"18,7";"20,1";"18,1";"914,8";"914,8";"914,1";"2,3";"8,0";"10,0";"1090,20";"0,0"
"02/01/2022";"2100";"21,3";"23,0";"21,1";"89,0";"89,0";"76,0";"19,4";"19,4";"18,4";"914,9";"914,9";"914,5";"0,5";"92,0";"5,6";"114,70";"0,8"
"02/01/2022";"2200";"20,7";"21,4";"20,7";"89,0";"90,0";"89,0";"18,8";"19,6";"18,8";"915,9";"915,9";"914,9";"2,0";"100,0";"6,4";"61,70";"0,6"
"02/01/2022";"2300";"20,7";"20,9";"20,6";"89,0";"89,0";"89,0";"18,8";"19,0";"18,8";"916,4";"916,4";"915,9";"1,8";"84,0";"4,4";"";"0,2"
"03/01/2022";"0000";"20,6";"20,8";"20,5";"90,0";"90,0";"89,0";"18,9";"18,9";"18,8";"916,9";"916,9";"916,4";"1,7";"104,0";"4,4";"";"0,4"
