"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2022";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"1000";"24,6";"";"";"88,0";"";"";"22,5";"";"";"992,2";"";"";"0,7";"83,0";"";"165,70";"0,0"
"01/06/2022";"1100";"26,1";"26,3";"24,3";"76,0";"88,0";"76,0";"21,6";"22,7";"21,6";"993,0";"993,0";"992,2";"1,9";"106,0";"4,2";"967,60";"0,0"
"01/06/2022";"1200";"27,2";"27,2";"26,0";"70,0";"77,0";"70,0";"21,3";"21,9";"21,0";"993,3";"993,3";"993,0";"3,2";"133,0";"6,6";"1690,00";"0,0"
"01/06/2022";"1300";"28,4";"28,7";"26,8";"63,0";"71,0";"62,0";"20,8";"21,5";"20,6";"993,3";"993,3";"993,2";"4,2";"108,0";"8,4";"2308,40";"0,0"
"01/06/2022";"1400";"29,6";"29,7";"27,7";"59,0";"65,0";"57,0";"20,6";"21,5";"20,2";"992,8";"993,3";"992,8";"3,5";"134,0";"8,7";"2607,90";"0,0"
"01/06/2022";"1500";"28,2";"30,3";"27,6";"66,0";"67,0";"57,0";"21,3";"21,8";"19,9";"992,4";"992,8";"992,4";"2,0";"130,0";"8,8";"1499,00";"0,0"
"01/06/2022";"1600";"27,8";"30,2";"27,1";"72,0";"76,0";"56,0";"22,3";"22,9";"20,4";"991,6";"992,4";"991,6";"1,4";"160,0";"7,2";"2149,70";"0,0"
"01/06/2022";"1700";"27,3";"27,9";"25,7";"72,0";"81,0";"70,0";"21,8";"23,2";"21,1";"991,0";"991,8";"991,0";"2,6";"115,0";"7,6";"1888,70";"0,0"
"01/06/2022";"1800";"27,4";"29,4";"27,3";"71,0";"73,0";"64,0";"21,6";"22,7";"21,2";"990,3";"991,0";"990,3";"1,1";"138,0";"7,6";"1549,10";"0,0"
"01/06/2022";"1900";"28,9";"29,2";"27,4";"63,0";"72,0";"61,0";"21,1";"22,2";"21,0";"990,0";"990,3";"989,9";"1,5";"74,0";"3,2";"1137,10";"0,0"
"01/06/2022";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
