"TOA5","CR800Series","CR800","4644","CR800.Std.25","CPU:programa radiacao (4).CR8","12840","albedo1min"
"TIMESTAMP","RECORD","Radiacao_Avg","Radiacao_Std"
"TS","RN","",""
"","","Avg","Std"
"2020-03-13 08:21:00",0,480.4,1.704
"2020-03-13 08:22:00",1,444.8,122.6
"2020-03-13 08:23:00",2,104,10.11
"2020-03-13 08:24:00",3,264.9,200.1
"2020-03-13 08:25:00",4,504.9,1.754
"2020-03-13 08:26:00",5,167.7,143.7
"2020-03-13 08:27:00",6,476.9,133.1
"2020-03-13 08:28:00",7,159.4,130.3
"2020-03-13 08:29:00",8,473.8,141.4
"2020-03-13 08:30:00",9,124.6,75.49
"2020-03-13 08:31:00",10,547.9,54.58
"2020-03-13 08:32:00",11,155.3,129
"2020-03-13 08:33:00",12,451.8,188.4
"2020-03-13 08:34:00",13,272.3,201.5
"2020-03-13 08:35:00",14,136,22.28
"2020-03-13 08:36:00",15,54.11,26.46
"2020-03-13 08:37:00",16,305.3,212.5
"2020-03-13 08:38:00",17,33.48,14.47
"2020-03-13 08:39:00",18,40.31,16.64
"2020-03-13 08:40:00",19,94.6,138.5
"2020-03-13 08:41:00",20,377.9,202.5
"2020-03-13 08:42:00",21,42.53,3.41
"2020-03-13 08:43:00",22,42.7,1.518
"2020-03-13 08:44:00",23,49.88,54.44
"2020-03-13 08:45:00",24,521.2,2.779
"2020-03-13 08:46:00",25,524.5,1.245
"2020-03-13 08:47:00",26,164.3,195.4
"2020-03-13 08:48:00",27,55.34,0.561
"2020-03-13 08:49:00",28,470.7,162.7
"2020-03-13 08:50:00",29,536.6,0.998
"2020-03-13 08:51:00",30,360.1,235.3
"2020-03-13 08:52:00",31,55.39,0.768
"2020-03-13 08:53:00",32,434.7,205.4
"2020-03-13 08:54:00",33,548.7,1.576
"2020-03-13 08:55:00",34,94.9,131.1
"2020-03-13 08:56:00",35,58.33,2.406
"2020-03-13 08:57:00",36,57.55,1.446
"2020-03-13 08:58:00",37,150.2,177.6
"2020-03-13 08:59:00",38,321.7,261.5
"2020-03-13 09:00:00",39,132.7,3.021
"2020-03-13 09:01:00",40,134.4,0.506
"2020-03-13 09:02:00",41,135.2,0.001
"2020-03-13 09:03:00",42,136,0.574
"2020-03-13 09:04:00",43,136.5,0.001
"2020-03-13 09:05:00",44,137,0.587
"2020-03-13 09:06:00",45,137.9,0.225
"2020-03-13 09:07:00",46,138.9,0.369
"2020-03-13 09:08:00",47,139.3,0.309
"2020-03-13 09:09:00",48,140.5,0.001
"2020-03-13 09:10:00",49,140.8,0.549
"2020-03-13 09:11:00",50,141.8,0.001
"2020-03-13 09:12:00",51,142.1,0.372
"2020-03-13 09:13:00",52,143.1,0.085
"2020-03-13 09:14:00",53,143.9,0.59
"2020-03-13 09:15:00",54,144.4,0
"2020-03-13 09:16:00",55,145.2,0.594
"2020-03-13 09:17:00",56,145.9,0.225
"2020-03-13 09:18:00",57,147,0.247
"2020-03-13 09:19:00",58,147.2,0.3
"2020-03-13 09:20:00",59,148.4,0.199
"2020-03-13 09:21:00",60,148.9,0.514
"2020-03-13 09:22:00",61,149.7,0
"2020-03-13 09:23:00",62,150.8,0.52
"2020-03-13 09:24:00",63,151.1,0.119
"2020-03-13 09:25:00",64,152.3,0.266
"2020-03-13 09:26:00",65,152.7,0.493
"2020-03-13 09:27:00",66,153.6,0.288
"2020-03-13 09:28:00",67,153.7,0.001
"2020-03-13 09:29:00",68,154.9,0.338
"2020-03-13 09:30:00",69,155.7,0.547
"2020-03-13 09:31:00",70,156.4,0.001
"2020-03-13 09:32:00",71,156.6,0.312
"2020-03-13 09:33:00",72,157.4,0.37
"2020-03-13 09:34:00",73,158.2,0.561
"2020-03-13 09:35:00",74,159,0.002
"2020-03-13 09:36:00",75,159.5,0.399
"2020-03-13 09:37:00",76,160.4,0.001
"2020-03-13 09:38:00",77,161.5,0.457
"2020-03-13 09:39:00",78,161.7,0.002
"2020-03-13 09:40:00",79,162.2,0.51
"2020-03-13 09:41:00",80,163,0.001
"2020-03-13 09:42:00",81,163.1,0.199
"2020-03-13 09:43:00",82,164.2,0.273
"2020-03-13 09:44:00",83,164.4,0.247
"2020-03-13 09:45:00",84,159.9,15.79
"2020-03-13 09:46:00",85,149,6.112
"2020-03-13 09:47:00",86,-270.3,304.8
"2020-03-13 09:48:00",87,-105.7,9.07
"2020-03-13 09:49:00",88,-125.6,29.57
"2020-03-13 09:50:00",89,-118.3,13.76
"2020-03-13 09:51:00",90,"NAN","NAN"
"2020-03-13 09:52:00",91,757,1.029
"2020-03-13 09:53:00",92,758.6,1.506
"2020-03-13 09:54:00",93,761.4,0.923
"2020-03-13 09:55:00",94,734,131.1
"2020-03-13 09:56:00",95,141.4,15.01
"2020-03-13 09:57:00",96,217,193.5
"2020-03-13 09:58:00",97,743,0.761
"2020-03-13 09:59:00",98,667.4,196.3
"2020-03-13 10:00:00",99,153.3,6.803
"2020-03-13 10:01:00",100,226.2,162.3
"2020-03-13 10:02:00",101,751.5,0.983
"2020-03-13 10:03:00",102,358.3,269.3
"2020-03-13 10:04:00",103,241.8,191.8
"2020-03-13 10:05:00",104,760.7,0.878
"2020-03-13 10:06:00",105,762.8,1.213
"2020-03-13 10:07:00",106,232.5,170.3
"2020-03-13 10:08:00",107,222.9,178.5
"2020-03-13 10:09:00",108,771.9,0.885
"2020-03-13 10:10:00",109,665.6,229.7
"2020-03-13 10:11:00",110,185.4,3.957
"2020-03-13 10:12:00",111,184.2,7.253
"2020-03-13 10:13:00",112,173.3,8.62
"2020-03-13 10:14:00",113,145.3,40.37
"2020-03-13 10:15:00",114,704.4,164.7
"2020-03-13 10:16:00",115,745.3,1.237
"2020-03-13 10:17:00",116,748.3,0.945
"2020-03-13 10:18:00",117,208.8,257.1
"2020-03-13 10:19:00",118,149.7,185.9
"2020-03-13 10:20:00",119,759.1,1.328
"2020-03-13 10:21:00",120,289.3,300.7
"2020-03-13 10:22:00",121,101,6.583
"2020-03-13 10:23:00",122,502,328.2
"2020-03-13 10:24:00",123,770.3,0.731
