"TOA5","CR800Series","CR800","24415","CR800.Std.25","CPU:radiacao 2022-1.CR8","63816","saida1min"
"TIMESTAMP","RECORD","batt_volt_Min","radiacao_Avg","radiacaorf_Avg"
"TS","RN","","",""
"","","Min","Avg","Avg"
"2022-05-12 09:42:00",0,12.75,3.226,-75.06
"2022-05-12 09:43:00",1,12.75,9.19,1327
"2022-05-12 09:44:00",2,12.75,1.898,2522
"2022-05-12 09:45:00",3,12.75,1.898,"NAN"
"2022-05-12 09:46:00",4,12.75,2.01,"NAN"
"2022-05-12 09:47:00",5,12.75,2.01,"NAN"
"2022-05-12 09:50:00",0,12.75,2.01,-7999
"2022-05-12 09:51:00",1,12.75,1.921,-7999
"2022-05-12 09:52:00",2,12.75,0.648,-7999
"2022-05-12 09:53:00",3,12.75,0.972,-7999
"2022-05-12 09:54:00",4,12.75,1.206,-7999
"2022-05-12 09:55:00",5,12.75,1.173,12.77
"2022-05-12 09:56:00",6,12.75,1.686,7999
"2022-05-12 09:57:00",7,12.75,20.18,19.15
"2022-05-12 09:58:00",8,12.75,4.176,2.902
"2022-05-12 09:59:00",9,12.75,2.58,0
"2022-05-12 10:00:00",10,12.75,2.68,0
"2022-05-12 10:01:00",11,12.75,2.68,0
"2022-05-12 10:02:00",12,12.75,2.68,0
"2022-05-12 10:03:00",13,12.75,2.602,0
"2022-05-12 10:04:00",14,12.75,2.647,0
"2022-05-12 10:05:00",15,12.75,2.68,0
"2022-05-12 10:06:00",16,12.75,2.68,0
"2022-05-12 10:07:00",17,12.75,2.557,0
"2022-05-12 10:08:00",18,12.75,2.111,2.902
"2022-05-12 10:09:00",19,12.75,2.278,4.062
"2022-05-12 10:10:00",20,12.75,2.602,1.741
"2022-05-12 10:11:00",21,12.75,2.01,0.58
"2022-05-12 10:12:00",22,12.75,2.01,4.062
"2022-05-12 10:13:00",23,12.75,2.01,0.58
"2022-05-12 10:14:00",24,12.75,2.01,1.161
"2022-05-12 10:15:00",25,12.75,2.01,4.643
"2022-05-12 10:16:00",26,12.75,2.166,1.161
"2022-05-12 10:17:00",27,12.75,2.278,5.803
"2022-05-12 10:18:00",28,12.8,2.68,0
"2022-05-12 10:19:00",29,12.78,2.836,0
"2022-05-12 10:20:00",30,12.79,-209.7,324.4
"2022-05-12 10:21:00",31,12.8,3815,5671
"2022-05-12 10:22:00",32,12.8,4270,7999
"2022-05-12 10:23:00",33,12.8,4346,7999
"2022-05-12 10:24:00",34,12.8,4416,7999
"2022-05-12 10:25:00",35,12.8,4405,7999
"2022-05-12 10:26:00",36,12.8,"NAN",7999
"2022-05-12 10:27:00",37,12.8,110.8,7999
"2022-05-12 10:28:00",38,12.8,114,34.24
"2022-05-12 10:29:00",39,12.8,116.5,46.43
"2022-05-12 10:30:00",40,12.79,118.8,67.9
"2022-05-12 10:31:00",41,12.8,119.5,69.64
"2022-05-12 10:32:00",42,12.8,243.8,79.51
"2022-05-12 10:33:00",43,12.8,677.2,108.5
"2022-05-12 10:34:00",44,12.8,403.4,103.3
"2022-05-12 10:35:00",45,12.79,559.5,92.9
"2022-05-12 10:36:00",46,12.79,651.4,127.1
"2022-05-12 10:37:00",47,12.79,626.9,107.4
"2022-05-12 10:38:00",48,12.78,662.3,123.6
"2022-05-12 10:39:00",49,12.79,664.3,135.8
"2022-05-12 10:40:00",50,12.79,665.3,138.7
"2022-05-12 10:41:00",51,12.8,667.4,139.3
"2022-05-12 10:42:00",52,12.8,669.8,139.3
"2022-05-12 10:43:00",53,12.8,671.5,139.3
"2022-05-12 10:44:00",54,12.8,672.6,139.3
"2022-05-12 10:45:00",55,12.8,676.1,138.1
"2022-05-12 10:46:00",56,12.8,171.1,13.93
"2022-05-12 10:47:00",57,12.8,172.5,35.4
"2022-05-12 10:48:00",58,12.8,640.9,69.64
"2022-05-12 10:49:00",59,12.79,536.2,73.7
"2022-05-12 10:50:00",60,12.79,456.4,71.38
"2022-05-12 10:51:00",61,12.79,626.1,69.64
"2022-05-12 10:52:00",62,12.79,626,69.64
"2022-05-12 10:53:00",63,12.8,625.8,69.64
"2022-05-12 10:54:00",64,12.8,626.5,69.64
"2022-05-12 10:55:00",65,12.8,627,69.64
"2022-05-12 10:56:00",66,12.8,629.5,69.64
"2022-05-12 10:57:00",67,12.8,634.3,89.4
"2022-05-12 10:58:00",68,12.79,506,127.1
"2022-05-12 10:59:00",69,12.79,635.4,139.3
"2022-05-12 11:00:00",70,12.79,636.1,139.3
"2022-05-12 11:01:00",71,12.79,637.6,139.3
"2022-05-12 11:02:00",72,12.79,638.1,139.3
"2022-05-12 11:03:00",73,12.79,637.6,139.3
"2022-05-12 11:04:00",74,12.8,638.5,139.3
"2022-05-12 11:05:00",75,12.8,639.3,139.3
"2022-05-12 11:06:00",76,12.8,640.8,136.9
"2022-05-12 11:07:00",77,12.8,610.5,90.5
"2022-05-12 11:08:00",78,12.8,657.8,105
"2022-05-12 11:09:00",79,12.8,610.2,114.3
"2022-05-12 11:10:00",80,12.79,715.9,133.5
"2022-05-12 11:11:00",81,12.79,760.1,139.3
"2022-05-12 11:12:00",82,12.79,765.2,139.3
"2022-05-12 11:13:00",83,12.79,767.3,139.3
"2022-05-12 11:14:00",84,12.8,768.5,139.3
"2022-05-12 11:15:00",85,12.8,769.9,139.3
"2022-05-12 11:16:00",86,12.8,771.4,139.3
"2022-05-12 11:17:00",87,12.8,762.9,134
"2022-05-12 11:18:00",88,12.8,241.8,52.8
"2022-05-12 11:19:00",89,12.8,78.65,4.642
