--------------------
BDMEP - INMET
--------------------
Estação           : CAXIAS DO SUL - RS (OMM: 83942)
Latitude  (graus) : -29.16
Longitude (graus) : -51.2
Altitude  (metros): 759.60
Estação Operante
Inicio de operação: 12/04/1912
Periodo solicitado dos dados: 01/01/1940 a 01/04/2020
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83942;01/01/1961;1200;22.4;20.4;84;920.6;5;1;8;
83942;01/01/1961;1800;23;20.8;82;919.8;9;2;10;
83942;02/01/1961;0000;22;19.2;77;918.8;5;1;10;
83942;02/01/1961;1200;22.6;19.5;75;920.2;5;1;0;
83942;02/01/1961;1800;30.4;22.8;52;919.4;18;2;5;
83942;03/01/1961;0000;24;20;69;917.5;18;2;10;
83942;03/01/1961;1200;22;19.8;81;920.8;14;2;10;
83942;03/01/1961;1800;27.2;23;70;919.8;18;2;6;
83942;04/01/1961;0000;19.6;18.8;93;921.1;14;2;10;
83942;04/01/1961;1200;16.2;16;98;921.2;9;2;10;
83942;04/01/1961;1800;24.6;21;72;920.6;14;2;6;
83942;05/01/1961;0000;17.8;15.8;81;921.6;14;2;3;
83942;05/01/1961;1200;20;18;82;922.3;5;4;0;
83942;05/01/1961;1800;27.6;20.8;54;919.6;5;4;6;
83942;06/01/1961;0000;21.8;19.2;79;917.4;5;4;10;
83942;06/01/1961;1200;18.4;18;96;916.8;5;2;10;
83942;06/01/1961;1800;19.8;19.2;95;917.4;23;2;10;
83942;07/01/1961;0000;17.2;16.8;96;920.6;18;2;10;
83942;07/01/1961;1200;17.8;14.2;68;924.6;9;2;0;
83942;07/01/1961;1800;24.2;19;60;923.5;18;2;3;
83942;08/01/1961;0000;17.4;16;86;923.2;18;2;0;
83942;08/01/1961;1200;19.4;17;79;924.8;36;4;0;
83942;08/01/1961;1800;29.2;21;47;923.8;5;2;3;
83942;09/01/1961;0000;22.2;18;66;922.6;9;2;0;
83942;09/01/1961;1200;20.2;17.4;75;924.6;5;4;0;
83942;09/01/1961;1800;30.4;22.8;52;922;14;2;4;
83942;10/01/1961;0000;24.2;20.8;73;920.7;9;2;0;
83942;10/01/1961;1200;22.4;20;80;923.5;32;2;10;
83942;10/01/1961;1800;19.2;18.3;91;922.6;36;3;10;
83942;11/01/1961;0000;19.4;18.8;94;924;18;1;10;
83942;11/01/1961;1200;20;18.2;84;926.8;14;2;3;
83942;11/01/1961;1800;23.6;20.4;74;926;18;3;6;
83942;12/01/1961;0000;19;17.4;85;925.9;9;2;10;
83942;12/01/1961;1200;21;18;74;926.6;36;4;0;
83942;12/01/1961;1800;29.8;22;50;925.2;9;2;4;
83942;13/01/1961;0000;23.8;21;78;924.6;5;2;0;
83942;13/01/1961;1200;22.2;19;74;925.5;5;4;0;
83942;13/01/1961;1800;30;22;49;923.5;5;2;3;
83942;14/01/1961;0000;25.2;20.4;64;922.3;5;2;0;
83942;14/01/1961;1200;22.4;19.4;75;924.8;36;6;10;
83942;14/01/1961;1800;29;21.8;53;922.8;32;4;10;
83942;15/01/1961;0000;25.8;22;71;922.2;32;1;4;
83942;15/01/1961;1200;24.2;21.2;77;923.5;36;4;4;
83942;15/01/1961;1800;29.6;22.8;55;922.7;27;4;10;
83942;16/01/1961;0000;25.8;22.2;73;923.1;36;1;10;
83942;16/01/1961;1200;24.9;21.4;73;923.9;36;4;6;
83942;16/01/1961;1800;31.8;23.8;50;921.8;32;4;10;
83942;17/01/1961;0000;25;21.6;74;922;5;2;4;
83942;17/01/1961;1200;23.8;20;70;923.4;36;4;10;
83942;17/01/1961;1800;29.1;23.5;61;924.2;32;4;10;
83942;18/01/1961;0000;19.4;18.6;92;926;14;2;10;
83942;18/01/1961;1200;19.6;19;95;929.4;14;2;10;
83942;18/01/1961;1800;25.6;22.4;76;928.8;18;2;10;
83942;19/01/1961;0000;20.6;19.6;91;928.7;14;2;4;
83942;19/01/1961;1200;23.4;20.8;79;929.1;5;4;3;
83942;19/01/1961;1800;30.8;24.6;60;927.6;18;2;4;
83942;20/01/1961;0000;23.8;21.8;84;926.8;14;4;0;
83942;20/01/1961;1200;24;21.6;81;926;32;4;0;
83942;20/01/1961;1800;32.3;24;49;923.6;32;3;5;
83942;21/01/1961;0000;25.8;22.2;73;924.8;18;1;4;
83942;21/01/1961;1200;22.4;20.8;87;926.8;14;1;10;
83942;21/01/1961;1800;21.8;21.2;95;925.4;18;2;10;
83942;22/01/1961;0000;20.6;20.4;98;926.8;14;2;10;
83942;22/01/1961;1200;18.8;18.4;96;927.8;14;2;10;
83942;22/01/1961;1800;24.6;21.2;74;927.6;14;2;6;
83942;23/01/1961;0000;16.4;15.6;92;928.2;14;2;5;
83942;23/01/1961;1200;22.2;18.1;67;927.4;5;3;0;
83942;23/01/1961;1800;27.4;21.1;56;925.9;18;2;4;
83942;24/01/1961;0000;20;17;74;925.2;18;1;0;
83942;24/01/1961;1200;19.2;18;88;926.6;32;2;5;
83942;24/01/1961;1800;28.2;19.5;43;926.2;18;3;5;
83942;25/01/1961;0000;20.7;17.6;73;926.2;14;2;0;
83942;25/01/1961;1200;19;18.4;94;927.5;14;2;10;
83942;25/01/1961;1800;18.1;16.9;88;928.7;18;3;10;
83942;26/01/1961;0000;14;13;90;929.2;14;2;10;
83942;26/01/1961;1200;16.4;14.8;84;930.4;14;2;4;
83942;26/01/1961;1800;21.8;17.4;63;930.6;18;4;6;
83942;27/01/1961;0000;15;12.8;77;931.4;14;2;4;
83942;27/01/1961;1200;15.4;14.2;88;932.3;9;2;10;
83942;27/01/1961;1800;22.4;17.2;59;931.6;9;3;7;
83942;28/01/1961;0000;16.4;13.8;74;931.6;9;3;2;
