--------------------
BDMEP - INMET
--------------------
Estação           : CAXIAS DO SUL - RS (OMM: 83942)
Latitude  (graus) : -29.16
Longitude (graus) : -51.2
Altitude  (metros): 759.60
Estação Operante
Inicio de operação: 12/04/1912
Periodo solicitado dos dados: 01/01/1940 a 01/04/2020
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83942;01/01/1961;0000;;27;;2.8;2.2;22.16;80;1.333333;
83942;01/01/1961;1200;;;17.4;;;;;;
83942;02/01/1961;0000;;31.2;;9.1;2.9;24;66.25;1.666667;
83942;02/01/1961;1200;0.8;;18.2;;;;;;
83942;03/01/1961;0000;;28.6;;4.7;3.2;21.88;84.25;2;
83942;03/01/1961;1200;0;;19.6;;;;;;
83942;04/01/1961;0000;;24.8;;7;1.7;18.4;83;2;
83942;04/01/1961;1200;58.4;;15.4;;;;;;
83942;05/01/1961;0000;;28.2;;9.7;1.8;21.48;73.5;4;
83942;05/01/1961;1200;0.1;;15.6;;;;;;
83942;06/01/1961;0000;;21.8;;0.4;3.2;18.36;95.75;2;
83942;06/01/1961;1200;47.6;;17.2;;;;;;
83942;07/01/1961;0000;;24.6;;10.2;1;17.56;75;2;
83942;07/01/1961;1200;11.1;;10.6;;;;;;
83942;08/01/1961;0000;;29.8;;10.1;2.4;21.6;64.5;2.666667;
83942;08/01/1961;1200;0;;14.4;;;;;;
83942;09/01/1961;0000;;31.2;;9.2;4;23.48;68.25;2.666667;
83942;09/01/1961;1200;0;;17.6;;;;;;
83942;10/01/1961;0000;;24.2;;0;4;20.72;89.75;2;
83942;10/01/1961;1200;0;;18.2;;;;;;
83942;11/01/1961;0000;;25.2;;8;1;19.98;82;2.333333;
83942;11/01/1961;1200;13.6;;16.7;;;;;;
83942;12/01/1961;0000;;30.4;;10.2;2;23.04;70;2.666667;
83942;12/01/1961;1200;0;;16.2;;;;;;
83942;13/01/1961;0000;;30.2;;9.8;4.3;24.26;62.75;2.666667;
83942;13/01/1961;1200;0;;18.5;;;;;;
83942;14/01/1961;0000;;30;;9.5;6.2;24.76;67.5;3.666667;
83942;14/01/1961;1200;0;;19.8;;;;;;
83942;15/01/1961;0000;;30.2;;9.9;5.5;25.4;69.5;3;
83942;15/01/1961;1200;0;;21;;;;;;
83942;16/01/1961;0000;;32.2;;8.1;5.3;25.8;67.75;3.333333;
83942;16/01/1961;1200;0;;21.9;;;;;;
83942;17/01/1961;0000;;29.4;;3.5;5.2;22.28;78.75;3.333333;
83942;17/01/1961;1200;0;;19.4;;;;;;
83942;18/01/1961;0000;;26.2;;4.5;2.4;21.08;88.25;2;
83942;18/01/1961;1200;3.9;;18.4;;;;;;
83942;19/01/1961;0000;;31.4;;10.9;1.7;24.28;76.75;3.333333;
83942;19/01/1961;1200;0.1;;19;;;;;;
83942;20/01/1961;0000;;33.2;;10.1;3.7;25.76;69;2.666667;
83942;20/01/1961;1200;0;;20;;;;;;
83942;21/01/1961;0000;;28.8;;2.1;4.3;22.6;94.5;1.666667;
83942;21/01/1961;1200;0;;20.6;;;;;;
83942;22/01/1961;0000;;24.8;;4.9;1.4;18.56;88.5;2;
83942;22/01/1961;1200;64.3;;16.4;;;;;;
83942;23/01/1961;0000;;27.8;;11.5;0.2;20.64;67.75;2;
83942;23/01/1961;1200;0;;13.2;;;;;;
83942;24/01/1961;0000;;29.2;;10;2.8;21.14;69.25;2.333333;
83942;24/01/1961;1200;0;;15.9;;;;;;
83942;25/01/1961;0000;;20.7;;0;3.4;16.34;90.5;2.333333;
83942;25/01/1961;1200;0.1;;14;;;;;;
83942;26/01/1961;0000;;22;;6.9;1;16.04;75.25;2.666667;
83942;26/01/1961;1200;0.9;;11.8;;;;;;
83942;27/01/1961;0000;;22.6;;5.4;2.3;16.58;73.75;2.666667;
83942;27/01/1961;1200;0;;12.1;;;;;;
83942;28/01/1961;0000;;26;;10.6;2.7;18.64;69;2;
83942;28/01/1961;1200;0;;12.4;;;;;;
83942;29/01/1961;0000;;27;;6.2;3.8;19.68;76.5;2.333333;
83942;29/01/1961;1200;0;;16;;;;;;
83942;30/01/1961;0000;;28.4;;10.2;3.5;21.68;63.25;1.666667;
83942;30/01/1961;1200;0;;16;;;;;;
83942;31/01/1961;0000;;31;;9.8;4.6;23.72;59.5;1.666667;
83942;31/01/1961;1200;0;;18.8;;;;;;
83942;01/02/1961;0000;;32.2;;10.7;5.9;24.84;57;2.666667;
83942;01/02/1961;1200;0;;20.2;;;;;;
83942;02/02/1961;0000;;27.8;;6.9;5.6;21.34;82.25;2;
83942;02/02/1961;1200;8.4;;17.7;;;;;;
83942;03/02/1961;0000;;26.4;;6;2.2;20.8;82.5;2.333333;
83942;03/02/1961;1200;0;;18.2;;;;;;
83942;04/02/1961;0000;;28;;9.2;2.4;21.08;72.75;3;
83942;04/02/1961;1200;0;;15.2;;;;;;
83942;05/02/1961;0000;;26.5;;5.5;3.2;20.7;85;3;
83942;05/02/1961;1200;0;;18.4;;;;;;
83942;06/02/1961;0000;;27;;3.1;2.9;22.38;74.75;3;
83942;06/02/1961;1200;3.2;;18.4;;;;;;
83942;07/02/1961;0000;;23.1;;2.1;3.6;20.74;89.75;2.666667;
83942;07/02/1961;1200;0;;19.4;;;;;;
83942;08/02/1961;0000;;26;;10.3;1.4;20.84;82.75;1.666667;
83942;08/02/1961;1200;5.3;;17.4;;;;;;
83942;09/02/1961;0000;;27.4;;8.2;1.8;20.2;78;2.666667;
83942;09/02/1961;1200;0;;15.4;;;;;;
83942;10/02/1961;0000;;29.2;;9.5;3.6;22.96;72.75;2.666667;
83942;10/02/1961;1200;0;;18;;;;;;
83942;11/02/1961;0000;;24.6;;6.5;3.2;20.56;85.75;2.333333;
83942;11/02/1961;1200;19.7;;19;;;;;;
83942;12/02/1961;0000;;27.2;;11.7;1.9;20.2;55.25;1.333333;
83942;12/02/1961;1200;0;;13.6;;;;;;
83942;13/02/1961;0000;;23.4;;5.4;5.3;18.68;82.5;1.666667;
83942;13/02/1961;1200;0;;16.8;;;;;;
83942;14/02/1961;0000;;24.8;;11.2;1.7;17.48;70;4;
83942;14/02/1961;1200;0.1;;12.4;;;;;;
83942;15/02/1961;0000;;26.8;;11.6;4.8;19.68;65;3.666667;
83942;15/02/1961;1200;0;;14.2;;;;;;
83942;16/02/1961;0000;;28;;10.8;5.5;20.6;65.25;3.333333;
83942;16/02/1961;1200;0;;16.2;;;;;;
83942;17/02/1961;0000;;26.6;;6.1;5.5;20.62;85.5;3;
83942;17/02/1961;1200;0;;16.9;;;;;;
83942;18/02/1961;0000;;29.4;;7.6;2;21.92;78.25;2.666667;
83942;18/02/1961;1200;12.7;;18;;;;;;
83942;19/02/1961;0000;;29.7;;11.2;3.2;22.7;76.25;2;
83942;19/02/1961;1200;10;;18.4;;;;;;
83942;20/02/1961;0000;;29.2;;7.2;3.8;23.48;72;3.333333;
83942;20/02/1961;1200;0;;19.6;;;;;;
83942;21/02/1961;0000;;30;;8.3;4.5;22.2;81.75;2.333333;
83942;21/02/1961;1200;0;;19.6;;;;;;
83942;22/02/1961;0000;;30.4;;7.9;3.2;22.76;77.75;2.666667;
83942;22/02/1961;1200;11.8;;18.6;;;;;;
83942;23/02/1961;0000;;27.4;;6.6;2.7;22.06;86;2;
83942;23/02/1961;1200;2.7;;19.1;;;;;;
83942;24/02/1961;0000;;28.4;;8.6;1.4;22.4;82.25;2;
83942;24/02/1961;1200;0.1;;19.2;;;;;;
83942;25/02/1961;0000;;30.6;;6.8;2.5;23.98;80.5;2;
83942;25/02/1961;1200;0;;20.1;;;;;;
83942;26/02/1961;0000;;22.6;;0.2;1.9;20.76;93.5;1.333333;
83942;26/02/1961;1200;23.6;;19.6;;;;;;
83942;27/02/1961;0000;;19.6;;0;0.5;16.32;98;2;
83942;27/02/1961;1200;21.9;;15;;;;;;
83942;28/02/1961;0000;;23;;9.8;0.1;16.68;83.5;2.666667;
83942;28/02/1961;1200;4.5;;12.4;;;;;;
83942;01/03/1961;0000;;26.2;;10.9;2.1;19.24;75.5;2;
83942;01/03/1961;1200;0.1;;14.4;;;;;;
83942;02/03/1961;0000;;29;;11;2.9;20.92;72.5;1.666667;
83942;02/03/1961;1200;0;;15.6;;;;;;
83942;03/03/1961;0000;;29.6;;10.4;3.4;22.72;70;2;
83942;03/03/1961;1200;0;;16.6;;;;;;
83942;04/03/1961;0000;;27.2;;4.6;3.8;22.08;83.5;2;
83942;04/03/1961;1200;0;;20;;;;;;
83942;05/03/1961;0000;;20.6;;0;1.6;15.48;95.75;2.666667;
83942;05/03/1961;1200;63.6;;13.4;;;;;;
83942;06/03/1961;0000;;17.2;;1.2;0.6;14.44;80;3;
83942;06/03/1961;1200;4.7;;12.4;;;;;;
83942;07/03/1961;0000;;24.4;;7.7;1.9;18.96;70;2.333333;
83942;07/03/1961;1200;0;;14;;;;;;
83942;08/03/1961;0000;;24.8;;4.4;3.2;19.24;88.5;3;
83942;08/03/1961;1200;0.1;;17;;;;;;
83942;09/03/1961;0000;;27.6;;5.5;1.9;21.76;82.5;1.666667;
83942;09/03/1961;1200;8.5;;17.2;;;;;;
83942;10/03/1961;0000;;30.2;;8.5;2.4;23.04;76.75;3.666667;
83942;10/03/1961;1200;0;;20.2;;;;;;
83942;11/03/1961;0000;;21.2;;0;3;19.64;94.25;2.666667;
83942;11/03/1961;1200;2.3;;19;;;;;;
83942;12/03/1961;0000;;24;;4.2;0.5;19.96;95.25;2.333333;
83942;12/03/1961;1200;11.3;;18.6;;;;;;
83942;13/03/1961;0000;;19.9;;0.5;1;18.52;93;3.333333;
83942;13/03/1961;1200;38.4;;17.2;;;;;;
83942;14/03/1961;0000;;24.4;;10;0.5;17.6;78;2;
83942;14/03/1961;1200;9.7;;13.4;;;;;;
