,Precipitacao,Temp Comp Media,TempMaxima,TempMinima,Umidade Relativa Media
1961-01-01,0.0,22.16,27.0,17.4,80.0
1961-01-02,0.8,24.0,31.2,18.2,66.25
1961-01-03,0.0,21.88,28.6,19.6,84.25
1961-01-04,58.4,18.4,24.8,15.4,83.0
1961-01-05,0.1,21.48,28.2,15.6,73.5
1961-01-06,47.6,18.36,21.8,17.2,95.75
1961-01-07,11.1,17.56,24.6,10.6,75.0
1961-01-08,0.0,21.6,29.8,14.4,64.5
1961-01-09,0.0,23.48,31.2,17.6,68.25
1961-01-10,0.0,20.72,24.2,18.2,89.75
1961-01-11,13.6,19.98,25.2,16.7,82.0
1961-01-12,0.0,23.04,30.4,16.2,70.0
1961-01-13,0.0,24.26,30.2,18.5,62.75
1961-01-14,0.0,24.76,30.0,19.8,67.5
1961-01-15,0.0,25.4,30.2,21.0,69.5
1961-01-16,0.0,25.8,32.2,21.9,67.75
1961-01-17,0.0,22.28,29.4,19.4,78.75
1961-01-18,3.9,21.08,26.2,18.4,88.25
1961-01-19,0.1,24.28,31.4,19.0,76.75
1961-01-20,0.0,25.76,33.2,20.0,69.0
1961-01-21,0.0,22.6,28.8,20.6,94.5
1961-01-22,64.3,18.56,24.8,16.4,88.5
1961-01-23,0.0,20.64,27.8,13.2,67.75
1961-01-24,0.0,21.14,29.2,15.9,69.25
1961-01-25,0.1,16.34,20.7,14.0,90.5
1961-01-26,0.9,16.04,22.0,11.8,75.25
1961-01-27,0.0,16.58,22.6,12.1,73.75
1961-01-28,0.0,18.64,26.0,12.4,69.0
1961-01-29,0.0,19.68,27.0,16.0,76.5
1961-01-30,0.0,21.68,28.4,16.0,63.25
1961-01-31,0.0,23.72,31.0,18.8,59.5
1961-02-01,0.0,24.84,32.2,20.2,57.0
1961-02-02,8.4,21.34,27.8,17.7,82.25
1961-02-03,0.0,20.8,26.4,18.2,82.5
1961-02-04,0.0,21.08,28.0,15.2,72.75
1961-02-05,0.0,20.7,26.5,18.4,85.0
1961-02-06,3.2,22.38,27.0,18.4,74.75
1961-02-07,0.0,20.74,23.1,19.4,89.75
1961-02-08,5.3,20.84,26.0,17.4,82.75
1961-02-09,0.0,20.2,27.4,15.4,78.0
1961-02-10,0.0,22.96,29.2,18.0,72.75
1961-02-11,19.7,20.56,24.6,19.0,85.75
1961-02-12,0.0,20.2,27.2,13.6,55.25
1961-02-13,0.0,18.68,23.4,16.8,82.5
1961-02-14,0.1,17.48,24.8,12.4,70.0
1961-02-15,0.0,19.68,26.8,14.2,65.0
1961-02-16,0.0,20.6,28.0,16.2,65.25
1961-02-17,0.0,20.62,26.6,16.9,85.5
1961-02-18,12.7,21.92,29.4,18.0,78.25
1961-02-19,10.0,22.7,29.7,18.4,76.25
1961-02-20,0.0,23.48,29.2,19.6,72.0
1961-02-21,0.0,22.2,30.0,19.6,81.75
1961-02-22,11.8,22.76,30.4,18.6,77.75
1961-02-23,2.7,22.06,27.4,19.1,86.0
1961-02-24,0.1,22.4,28.4,19.2,82.25
1961-02-25,0.0,23.98,30.6,20.1,80.5
1961-02-26,23.6,20.76,22.6,19.6,93.5
1961-02-27,21.9,16.32,19.6,15.0,98.0
1961-02-28,4.5,16.68,23.0,12.4,83.5
1961-03-01,0.1,19.24,26.2,14.4,75.5
1961-03-02,0.0,20.92,29.0,15.6,72.5
1961-03-03,0.0,22.72,29.6,16.6,70.0
1961-03-04,0.0,22.08,27.2,20.0,83.5
1961-03-05,63.6,15.48,20.6,13.4,95.75
1961-03-06,4.7,14.44,17.2,12.4,80.0
1961-03-07,0.0,18.96,24.4,14.0,70.0
1961-03-08,0.1,19.24,24.8,17.0,88.5
1961-03-09,8.5,21.76,27.6,17.2,82.5
1961-03-10,0.0,23.04,30.2,20.2,76.75
1961-03-11,2.3,19.64,21.2,19.0,94.25
1961-03-12,11.3,19.96,24.0,18.6,95.25
1961-03-13,38.4,18.52,19.9,17.2,93.0
1961-03-14,9.7,17.6,24.4,13.4,78.0
1961-03-15,0.0,21.72,27.8,17.0,77.5
1961-03-16,0.8,19.72,24.6,17.4,88.5
1961-03-17,80.9,13.0,17.4,11.2,99.25
1961-03-18,15.8,11.56,13.4,10.4,96.0
1961-03-19,5.6,15.48,21.2,11.4,89.75
1961-03-20,0.9,15.96,17.1,14.4,93.75
1961-03-21,47.7,17.8,22.9,13.9,80.75
1961-03-22,0.0,19.96,27.0,14.6,63.75
1961-03-23,0.0,22.24,29.9,17.3,73.5
1961-03-24,0.0,23.68,30.7,19.1,66.0
1961-03-25,0.0,20.46,28.4,17.1,90.25
1961-03-26,16.7,15.02,18.2,13.8,91.75
1961-03-27,1.5,14.32,20.2,10.8,76.25
1961-03-28,0.0,15.72,22.2,11.2,72.5
1961-03-29,0.0,17.46,23.8,12.3,63.0
1961-03-30,0.0,17.66,23.6,12.6,62.5
1961-03-31,0.0,17.5,23.2,12.9,68.25
1961-04-01,0.0,18.46,23.6,14.6,75.0
1961-04-02,11.4,18.22,23.7,15.6,89.25
1961-04-03,0.0,16.36,20.6,13.6,90.25
1961-04-04,44.5,17.92,22.4,14.7,92.0
1961-04-05,0.4,18.88,26.3,14.7,83.0
1961-04-06,0.2,15.02,22.4,12.4,86.25
1961-04-07,0.0,17.48,25.4,11.0,75.0
1961-04-08,0.0,20.02,26.4,14.3,74.0
1961-04-09,0.0,18.64,23.3,17.1,86.25
1961-04-10,2.3,18.74,20.6,16.4,90.5
1961-04-11,11.0,17.48,20.0,16.4,92.0
1961-04-12,22.4,17.38,19.6,16.4,91.75
1961-04-13,11.0,17.76,21.2,16.4,94.0
1961-04-14,0.2,18.28,23.4,16.0,94.5
1961-04-15,40.3,15.3,17.6,14.4,93.5
1961-04-16,12.8,18.56,22.6,14.6,89.0
1961-04-17,0.8,18.52,20.4,17.8,95.0
1961-04-18,14.7,15.74,17.8,14.5,98.5
1961-04-19,13.8,12.28,16.8,10.6,90.0
1961-04-20,0.0,12.54,19.8,7.2,86.25
1961-04-21,0.0,16.4,23.1,11.4,79.25
1961-04-22,0.0,15.08,17.2,13.7,88.5
1961-04-23,0.5,16.52,21.4,14.1,85.25
1961-04-24,0.0,11.46,17.2,9.4,85.5
1961-04-25,0.1,11.14,18.6,5.8,86.25
1961-04-26,0.0,13.26,19.7,9.9,86.25
1961-04-27,0.2,12.86,18.7,8.8,79.25
1961-04-28,0.0,12.32,19.0,10.0,85.0
1961-04-29,8.1,12.7,19.3,8.4,82.25
1961-04-30,0.0,14.4,22.4,10.0,77.0
1961-05-01,0.0,14.5,22.2,8.9,81.5
1961-05-02,0.0,15.28,20.6,12.6,83.25
1961-05-03,0.2,15.62,22.2,11.2,80.25
1961-05-04,0.0,16.36,23.6,12.2,72.25
1961-05-05,0.0,17.84,25.3,12.8,84.0
1961-05-06,0.0,17.96,23.6,13.6,84.75
1961-05-07,0.1,17.32,21.4,15.6,87.75
1961-05-08,6.4,13.04,16.7,11.2,96.25
1961-05-09,0.1,13.5,21.2,9.0,83.75
1961-05-10,0.4,12.92,18.0,8.4,90.5
1961-05-11,0.0,15.42,21.6,10.3,73.75
1961-05-12,0.0,16.04,22.3,11.8,76.5
1961-05-13,0.0,16.78,24.4,12.7,80.75
1961-05-14,0.0,16.82,23.1,13.8,86.0
1961-05-15,0.0,17.46,22.4,14.9,84.25
1961-05-16,0.7,16.56,17.8,16.1,90.5
1961-05-17,10.0,15.5,17.2,14.6,96.25
1961-05-18,28.2,13.42,14.8,12.7,98.0
1961-05-19,4.9,8.42,12.7,5.8,84.25
1961-05-20,0.4,6.88,13.4,2.4,86.25
1961-05-21,0.0,12.12,20.8,6.2,72.75
1961-05-22,0.0,14.0,21.2,10.2,79.0
1961-05-23,0.0,14.48,21.0,11.0,82.75
1961-05-24,0.1,14.74,22.6,10.7,84.25
1961-05-25,0.4,14.26,22.0,10.2,83.25
1961-05-26,0.0,14.82,21.4,11.1,78.75
1961-05-27,0.0,14.58,20.4,11.2,71.75
1961-05-28,0.0,14.74,19.2,10.3,75.5
1961-05-29,0.0,16.58,23.9,12.4,61.0
1961-05-30,0.0,16.4,22.2,13.8,61.75
1961-05-31,0.0,16.86,24.0,12.0,59.0
1961-06-01,0.0,15.7,19.0,13.7,87.0
1961-06-02,2.5,14.98,20.6,11.7,83.5
1961-06-03,0.0,17.36,23.4,12.2,72.75
1961-06-04,0.0,17.18,23.7,14.6,82.25
1961-06-05,70.0,12.0,14.6,10.6,98.75
1961-06-06,0.6,16.44,21.0,11.8,79.25
1961-06-07,0.0,18.04,23.6,15.2,77.0
1961-06-08,0.0,18.46,24.4,14.8,75.25
1961-06-09,0.0,18.64,24.3,15.7,64.25
1961-06-10,11.0,12.92,18.2,10.8,97.5
1961-06-11,56.1,8.6,10.8,7.6,99.25
1961-06-12,4.0,8.22,8.5,8.0,100.0
1961-06-13,11.2,6.48,8.2,5.6,100.0
1961-06-14,7.8,2.0,5.7,0.7,82.5
1961-06-15,0.0,1.72,8.3,-1.6,83.0
1961-06-16,0.0,2.7,9.7,-2.2,78.5
1961-06-17,0.0,7.38,16.6,0.7,62.75
1961-06-18,0.0,11.16,14.6,6.8,83.5
1961-06-19,6.1,13.8,15.4,12.1,97.25
1961-06-20,68.3,12.14,14.1,11.0,99.0
1961-06-21,3.7,12.3,14.8,10.7,97.25
1961-06-22,0.2,11.12,14.0,10.0,94.75
1961-06-23,0.2,12.42,19.1,8.4,81.75
1961-06-24,0.0,14.0,20.8,8.6,66.5
1961-06-25,0.0,15.06,22.1,10.7,77.75
1961-06-26,0.0,16.86,22.6,12.7,71.75
1961-06-27,0.0,18.28,23.8,15.2,71.25
1961-06-28,0.0,18.92,24.4,15.2,67.75
1961-06-29,0.1,14.4,19.4,11.4,93.75
1961-06-30,2.1,17.18,22.3,12.8,81.5
1961-07-01,0.0,18.72,23.2,15.7,67.5
1961-07-02,0.0,15.5,19.4,14.3,93.75
1961-07-03,5.7,11.3,15.4,9.8,97.25
1961-07-04,2.3,14.3,20.7,8.3,80.75
1961-07-05,0.0,16.8,23.0,13.2,69.25
1961-07-06,0.0,17.58,22.0,16.1,78.75
1961-07-07,11.8,8.22,16.3,5.0,98.5
1961-07-08,43.3,7.46,9.0,6.2,99.0
1961-07-09,4.1,6.92,8.8,5.4,98.5
1961-07-10,0.1,10.9,15.4,6.3,83.0
1961-07-11,0.0,13.52,18.8,9.7,81.5
1961-07-12,0.0,15.78,21.2,12.1,76.0
1961-07-13,0.4,17.1,22.1,14.4,85.0
1961-07-14,13.8,14.5,17.3,12.9,95.5
1961-07-15,9.2,14.08,16.2,13.3,94.5
1961-07-16,6.3,14.32,18.0,12.4,90.75
1961-07-17,10.8,13.98,16.6,12.6,87.5
1961-07-18,0.1,15.28,21.4,11.6,82.5
1961-07-19,0.0,18.52,24.7,14.2,62.5
1961-07-20,0.0,19.16,25.3,14.7,55.75
1961-07-21,0.0,14.22,18.3,11.5,88.75
1961-07-22,13.2,8.56,14.3,5.1,73.5
1961-07-23,0.0,12.32,19.4,6.8,65.25
1961-07-24,0.0,15.4,20.8,10.4,70.0
1961-07-25,0.0,18.52,22.6,14.6,68.25
1961-07-26,28.1,6.9,19.7,3.3,81.5
1961-07-27,0.2,5.44,12.0,0.4,88.0
1961-07-28,0.0,3.78,11.1,-0.3,76.75
1961-07-29,0.0,7.94,17.4,0.3,77.75
1961-07-30,0.0,11.66,18.7,7.2,83.0
1961-07-31,0.0,11.12,18.6,8.7,85.25
1961-08-01,0.0,,,,
1961-08-02,0.0,,,,
1961-08-03,0.0,,,,
