ID,ano,mes,dia,Precipitacao,TempMedia,TempMaxima,TempMinima,URMedia
0,1961.0,1.0,1.0,0.0,22.16,27.0,17.4,80.0
1,1961.0,1.0,2.0,0.8,24.0,31.2,18.2,66.25
2,1961.0,1.0,3.0,0.0,21.88,28.6,19.6,84.25
3,1961.0,1.0,4.0,58.4,18.4,24.8,15.4,83.0
4,1961.0,1.0,5.0,0.1,21.48,28.2,15.6,73.5
5,1961.0,1.0,6.0,47.6,18.36,21.8,17.2,95.75
6,1961.0,1.0,7.0,11.1,17.56,24.6,10.6,75.0
7,1961.0,1.0,8.0,0.0,21.6,29.8,14.4,64.5
8,1961.0,1.0,9.0,0.0,23.48,31.2,17.6,68.25
9,1961.0,1.0,10.0,0.0,20.72,24.2,18.2,89.75
10,1961.0,1.0,11.0,13.6,19.98,25.2,16.7,82.0
11,1961.0,1.0,12.0,0.0,23.04,30.4,16.2,70.0
12,1961.0,1.0,13.0,0.0,24.26,30.2,18.5,62.75
13,1961.0,1.0,14.0,0.0,24.76,30.0,19.8,67.5
14,1961.0,1.0,15.0,0.0,25.4,30.2,21.0,69.5
15,1961.0,1.0,16.0,0.0,25.8,32.2,21.9,67.75
16,1961.0,1.0,17.0,0.0,22.28,29.4,19.4,78.75
17,1961.0,1.0,18.0,3.9,21.08,26.2,18.4,88.25
18,1961.0,1.0,19.0,0.1,24.28,31.4,19.0,76.75
19,1961.0,1.0,20.0,0.0,25.76,33.2,20.0,69.0
20,1961.0,1.0,21.0,0.0,22.6,28.8,20.6,94.5
21,1961.0,1.0,22.0,64.3,18.56,24.8,16.4,88.5
22,1961.0,1.0,23.0,0.0,20.64,27.8,13.2,67.75
23,1961.0,1.0,24.0,0.0,21.14,29.2,15.9,69.25
24,1961.0,1.0,25.0,0.1,16.34,20.7,14.0,90.5
25,1961.0,1.0,26.0,0.9,16.04,22.0,11.8,75.25
26,1961.0,1.0,27.0,0.0,16.58,22.6,12.1,73.75
27,1961.0,1.0,28.0,0.0,18.64,26.0,12.4,69.0
28,1961.0,1.0,29.0,0.0,19.68,27.0,16.0,76.5
