TIME1	TIME	RN	Tterra_Avg	Tagua_Avg	batt_volt_Min	PTemp
21/02/20	07:44:00	119	NAN	NAN	12.58	26.28
21/02/20	07:45:00	120	NAN	NAN	12.58	26.22
21/02/20	07:46:00	121	NAN	NAN	12.58	26.16
21/02/20	07:47:00	122	NAN	NAN	12.58	26.1
21/02/20	07:48:00	123	NAN	NAN	12.58	26.04
21/02/20	07:54:00	0	NAN	NAN	12.58	25.95
21/02/20	07:55:00	1	29.21	NAN	12.58	25.95
21/02/20	07:56:00	2	33.22	NAN	12.58	25.95
21/02/20	07:57:00	3	33.28	NAN	12.58	25.98
21/02/20	07:58:00	4	35.08	33.14	12.58	25.98
21/02/20	07:59:00	5	35.45	33.21	12.58	25.95
21/02/20	08:00:00	6	35.49	31.79	12.58	25.92
21/02/20	08:01:00	7	34.8	32.69	12.58	32.37
21/02/20	08:02:00	8	29.44	26.79	12.58	25.85
21/02/20	08:03:00	9	25.32	29.84	12.56	25.7
21/02/20	08:04:00	10	28.47	25.24	12.55	25.7
21/02/20	08:05:00	11	23.98	23.47	12.56	25.67
21/02/20	08:07:00	12	26.23	26.36	12.58	25.83
21/02/20	08:08:00	13	26.32	26.37	12.58	25.89
21/02/20	08:09:00	14	26.33	26.25	12.58	25.95
21/02/20	08:10:00	15	26.27	26.89	12.58	25.98
21/02/20	08:11:00	16	26.19	25.65	12.58	26.04
21/02/20	08:12:00	17	25.52	25.07	12.58	26.07
21/02/20	08:13:00	18	25.07	24.92	12.58	26.07
21/02/20	08:14:00	19	24.78	24.58	12.58	26.07
21/02/20	08:15:00	20	24.47	24.32	12.58	26.07
21/02/20	08:16:00	21	24.52	24.4	12.58	26.07
21/02/20	08:17:00	22	28.01	25.64	12.58	26.07
21/02/20	08:18:00	23	28.44	25.91	12.58	26.07
21/02/20	08:19:00	24	28.46	26.04	12.58	26.07
21/02/20	08:20:00	25	28.44	26.41	12.58	26.07
21/02/20	08:21:00	26	28.55	26.52	12.58	26.04
21/02/20	08:22:00	27	28.83	26.7	12.58	26.04
21/02/20	08:23:00	28	29.28	26.88	12.58	26.01
21/02/20	08:24:00	29	29.93	27.04	12.58	25.98
21/02/20	08:25:00	30	30.59	27.23	12.58	25.95
21/02/20	08:26:00	31	31.44	27.59	12.58	25.92
21/02/20	08:27:00	32	32.33	27.86	12.58	25.92
21/02/20	08:28:00	33	33.17	28.04	12.58	25.85
21/02/20	08:29:00	34	34.03	28.27	12.58	25.85
21/02/20	08:30:00	35	34.87	28.41	12.58	25.83
21/02/20	08:31:00	36	35.7	28.69	12.58	25.79
21/02/20	08:32:00	37	36.41	28.9	12.58	25.79
21/02/20	08:33:00	38	37.15	29.08	12.58	25.76
21/02/20	08:34:00	39	37.85	29.37	12.58	25.76
21/02/20	08:35:00	40	38.49	29.51	12.58	25.73
21/02/20	08:36:00	41	39.14	29.66	12.58	25.73
21/02/20	08:37:00	42	39.72	29.91	12.58	25.7
21/02/20	08:38:00	43	40.31	30.04	12.58	25.7
21/02/20	08:39:00	44	40.81	30.22	12.58	25.67
21/02/20	08:40:00	45	41.32	30.39	12.58	25.67
21/02/20	08:41:00	46	41.84	30.54	12.58	25.61
21/02/20	08:42:00	47	42.19	30.77	12.58	25.61
21/02/20	08:43:00	48	42.68	30.82	12.58	25.58
21/02/20	08:44:00	49	42.95	31.2	12.58	25.58
21/02/20	08:45:00	50	43.39	31.21	12.58	25.55
21/02/20	08:46:00	51	43.58	31.36	12.58	25.55
21/02/20	08:47:00	52	44.21	31.4	12.58	25.52
21/02/20	08:48:00	53	44.47	31.68	12.58	25.52
21/02/20	08:49:00	54	44.8	31.92	12.58	25.49
21/02/20	08:50:00	55	45.1	31.99	12.58	25.46
21/02/20	08:51:00	56	45.49	32.08	12.58	25.43
21/02/20	08:52:00	57	45.75	31.7	12.58	25.4
21/02/20	08:53:00	58	45.75	31.6	12.58	25.4
21/02/20	08:54:00	59	45.55	31.69	12.58	25.4
21/02/20	08:55:00	60	45.41	31.36	12.58	25.37
21/02/20	08:56:00	61	44.85	31.52	12.58	25.34
21/02/20	08:57:00	62	44.57	31.19	12.58	25.34
21/02/20	08:58:00	63	43.94	31.23	12.58	25.31
21/02/20	08:59:00	64	43.56	31.02	12.58	25.28
21/02/20	09:00:00	65	43.05	30.83	12.58	25.22
21/02/20	09:01:00	66	42.54	30.71	12.58	25.19
21/02/20	09:02:00	67	42.07	30.55	12.58	25.16
21/02/20	09:03:00	68	41.57	30.48	12.58	25.1
21/02/20	09:04:00	69	41.2	30.23	12.58	25.07
21/02/20	09:05:00	70	40.75	29.95	12.58	25.01
21/02/20	09:06:00	71	40.23	29.85	12.58	24.98
21/02/20	09:07:00	72	39.94	29.43	12.58	24.92
21/02/20	09:08:00	73	39.38	29.35	12.58	24.87
21/02/20	09:09:00	74	39.04	29.19	12.58	24.81
21/02/20	09:10:00	75	38.66	29	12.58	24.78
21/02/20	09:11:00	76	38.25	28.87	12.58	24.75
21/02/20	09:12:00	77	37.89	28.7	12.58	24.69
21/02/20	09:13:00	78	37.45	28.61	12.58	24.66
21/02/20	09:14:00	79	37.13	28.36	12.58	24.6
21/02/20	09:15:00	80	36.76	28.24	12.58	24.57
21/02/20	09:16:00	81	36.44	28.04	12.58	24.51
21/02/20	09:17:00	82	36.15	27.8	12.58	24.45
21/02/20	09:18:00	83	35.76	27.73	12.58	24.39
21/02/20	09:19:00	84	35.46	27.58	12.58	24.36
21/02/20	09:20:00	85	35.15	27.44	12.58	24.3
21/02/20	09:21:00	86	34.82	27.26	12.58	24.28
21/02/20	09:22:00	87	34.52	27.2	12.58	24.22
21/02/20	09:23:00	88	34.22	27.07	12.58	24.16
21/02/20	09:24:00	89	33.97	26.88	12.58	24.13
21/02/20	09:25:00	90	33.69	26.73	12.58	24.1
21/02/20	09:26:00	91	33.4	26.6	12.58	24.07
21/02/20	09:27:00	92	33.13	26.51	12.58	24.07
21/02/20	09:28:00	93	32.89	26.41	12.58	24.04
21/02/20	09:29:00	94	32.67	26.26	12.58	24.04
21/02/20	09:30:00	95	32.39	26.19	12.58	23.99
21/02/20	09:31:00	96	32.17	26	12.58	23.96
21/02/20	09:32:00	97	31.96	25.95	12.58	23.93
21/02/20	09:33:00	98	31.71	25.8	12.58	23.9
21/02/20	09:34:00	99	31.66	25.6	12.58	23.87
