"TIMESTAMP","RECORD","batt_volt_Min","radi_Avg","radi_Std"
"2019-08-14 14:11:10",120561,13.87,734.7,3.294
"2019-08-14 14:11:20",120562,13.86,633.9,29.64
"2019-08-14 14:11:30",120563,13.86,765.7,71.38
"2019-08-14 14:11:40",120564,13.86,394.9,333.4
"2019-08-14 14:11:50",120565,13.86,728.5,0.626
"2019-08-14 14:12:00",120566,13.86,728.6,3.106
"2019-08-14 14:12:10",120567,13.86,728.8,1.398
"2019-08-14 14:12:20",120568,13.85,723.1,2.38
"2019-08-14 14:12:30",120569,13.86,722.8,1.429
"2019-08-14 14:12:40",120570,13.86,722.2,1.366
"2019-08-14 14:12:50",120571,13.86,720.2,2.142
"2019-08-14 14:13:00",120572,13.86,718.3,1.829
"2019-08-14 14:13:10",120573,13.86,713.5,3.573
"2019-08-14 14:13:20",120574,13.86,714.7,2.546
"2019-08-14 14:13:30",120575,13.86,717.7,0.879
"2019-08-14 14:13:40",120576,13.86,712.6,2.523
"2019-08-14 14:13:50",120577,13.86,716.1,0.424
"2019-08-14 14:14:00",120578,13.86,717.5,1.657
"2019-08-14 14:14:10",120579,13.86,714.3,2.846
"2019-08-14 14:14:20",120580,13.86,714,0.578
"2019-08-14 14:14:30",120581,13.86,716.6,2.147
"2019-08-14 14:14:40",120582,13.86,714.5,2.138
"2019-08-14 14:14:50",120583,13.86,713.1,0.714
"2019-08-14 14:15:00",120584,13.86,714.4,1.251
"2019-08-14 14:15:10",120585,13.86,713.6,1.193
"2019-08-14 14:15:20",120586,13.86,713.5,2.467
"2019-08-14 14:15:30",120587,13.86,693.9,17.24
"2019-08-14 14:15:40",120588,13.86,714.3,0.676
"2019-08-14 14:15:50",120589,13.85,713.7,0.828
"2019-08-14 14:16:00",120590,13.86,711.4,1.259
"2019-08-14 14:16:10",120591,13.86,710.2,1.3
"2019-08-14 14:16:20",120592,13.86,709.1,0.928
"2019-08-14 14:16:30",120593,13.86,709.8,0.862
"2019-08-14 14:16:40",120594,13.86,710.6,0.593
"2019-08-14 14:16:50",120595,13.86,710.6,0.838
"2019-08-14 14:17:00",120596,13.86,714.3,1.454
"2019-08-14 14:17:10",120597,13.86,716.1,0.738
"2019-08-14 14:17:20",120598,13.86,587.8,259.8
"2019-08-14 14:17:30",120599,13.86,714.9,5.5
"2019-08-14 14:17:40",120600,13.86,720.4,13.67
"2019-08-14 14:17:50",120601,13.86,740.3,4.375
"2019-08-14 14:18:00",120602,13.86,430.5,121
"2019-08-14 14:18:10",120603,13.86,415.2,241.2
"2019-08-14 14:18:20",120604,13.86,4.772,0.265
"2019-08-14 14:18:30",120605,13.86,4.64,0
"2019-08-14 14:18:40",120606,13.86,581.6,288.5
"2019-08-14 14:18:50",120607,13.86,726.9,2.784
"2019-08-14 14:19:00",120608,13.86,715.6,11.72
"2019-08-14 14:19:10",120609,13.86,698.1,42.62
"2019-08-14 14:19:20",120610,13.86,521.6,58.29
"2019-08-14 14:19:30",120611,13.86,443.8,40.57
"2019-08-14 14:19:40",120612,13.86,189.6,279.8
"2019-08-14 14:19:50",120613,13.86,0.663,0.593
"2019-08-14 14:20:00",120614,13.85,39.04,25.23
"2019-08-14 14:20:10",120615,13.86,54.62,2.3
"2019-08-14 14:20:20",120616,13.85,92.7,12.5
"2019-08-14 14:20:30",120617,13.85,99.8,2.893
"2019-08-14 14:20:40",120618,13.85,96.8,0
"2019-08-14 14:20:50",120619,13.85,96.8,0
"2019-08-14 14:21:00",120620,13.85,37.25,45.29
"2019-08-14 14:21:10",120621,13.85,343.1,341.8
"2019-08-14 14:21:20",120622,13.85,684.8,0.625
"2019-08-14 14:21:30",120623,13.85,685,0.607
"2019-08-14 14:21:40",120624,13.85,685.4,0.838
"2019-08-14 14:21:50",120625,13.85,684.7,0.663
"2019-08-14 14:22:00",120626,13.86,683.4,0.663
"2019-08-14 14:22:10",120627,13.86,205.4,312.5
"2019-08-14 14:22:20",120628,13.85,41.23,47.4
"2019-08-14 14:22:30",120629,13.85,93.3,0.265
"2019-08-14 14:22:40",120630,13.85,92.9,0.265
"2019-08-14 14:22:50",120631,13.85,93.2,0.607
"2019-08-14 14:23:00",120632,13.85,94.1,0
"2019-08-14 14:23:10",120633,13.85,94.4,0.53
"2019-08-14 14:23:20",120634,13.85,58.73,47.28
"2019-08-14 14:23:30",120635,13.85,144.6,283.3
"2019-08-14 14:23:40",120636,13.85,710.8,0.947
"2019-08-14 14:23:50",120637,13.85,709.8,1.101
"2019-08-14 14:24:00",120638,13.85,709.9,1.069
"2019-08-14 14:24:10",120639,13.85,709.2,0
"2019-08-14 14:24:20",120640,13.85,708.2,0.798
"2019-08-14 14:24:30",120641,13.85,636.6,211.5
"2019-08-14 14:24:40",120642,13.85,2.651,1.54
"2019-08-14 14:24:50",120643,13.85,2.585,0.692
"2019-08-14 14:25:00",120644,13.85,82.7,27.13
"2019-08-14 14:25:10",120645,13.85,89.5,0.419
"2019-08-14 14:25:20",120646,13.85,88.8,0
"2019-08-14 14:25:30",120647,13.85,88.8,0
"2019-08-14 14:25:40",120648,13.85,88.9,0.199
"2019-08-14 14:25:50",120649,13.85,90.7,1.061
"2019-08-14 14:26:00",120650,13.85,20.08,38.52
"2019-08-14 14:26:10",120651,13.85,0.862,0.304
"2019-08-14 14:26:20",120652,13.85,0.331,0.534
"2019-08-14 14:26:30",120653,13.85,0.199,0.304
"2019-08-14 14:26:40",120654,13.84,0.199,0.304
"2019-08-14 14:26:50",120655,13.82,0.331,0.331
"2019-08-14 14:27:00",120656,13.81,0.597,0.199
"2019-08-14 14:27:10",120657,13.81,0.464,0.304
"2019-08-14 14:27:20",120658,13.8,0.663,0
"2019-08-14 14:27:30",120659,13.8,0.663,0
"2019-08-14 14:27:40",120660,13.79,1.127,0.597
"2019-08-14 14:27:50",120661,13.79,2.254,0.53
"2019-08-14 14:28:00",120662,13.78,1.061,0.325
"2019-08-14 14:28:10",120663,13.77,0.597,0.753
"2019-08-14 14:28:20",120664,13.77,0.464,0.424
"2019-08-14 14:28:30",120665,13.77,0.862,0.304
"2019-08-14 14:28:40",120666,13.76,0.597,0.464
"2019-08-14 14:28:50",120667,13.76,0.994,0.534
"2019-08-14 14:29:00",120668,13.75,1.392,0.199
"2019-08-14 14:29:10",120669,13.75,2.519,1.251
"2019-08-14 14:29:20",120670,13.75,0.994,0.534
"2019-08-14 14:29:30",120671,13.74,2.055,0.862
"2019-08-14 14:29:40",120672,13.74,1.458,0.578
"2019-08-14 14:29:50",120673,13.74,1.657,0.534
"2019-08-14 14:30:00",120674,13.73,0.994,0.534
"2019-08-14 14:30:10",120675,13.73,1.392,0.625
"2019-08-14 14:30:20",120676,13.73,2.187,0.729
"2019-08-14 14:30:30",120677,13.72,1.458,0.265
