TIME1	TIME	CR800Series	Radavg	Radstd
13/03/20	08:21:00	0	480.4	1704
13/03/20	08:22:00	1	444.8	122.6
13/03/20	08:23:00	2	104	10.11
13/03/20	08:24:00	3	264.9	200.1
13/03/20	08:25:00	4	504.9	1754
13/03/20	08:26:00	5	167.7	143.7
13/03/20	08:27:00	6	476.9	133.1
13/03/20	08:28:00	7	159.4	130.3
13/03/20	08:29:00	8	473.8	141.4
13/03/20	08:30:00	9	124.6	75.49
13/03/20	08:31:00	10	547.9	54.58
13/03/20	08:32:00	11	155.3	129
13/03/20	08:33:00	12	451.8	188.4
13/03/20	08:34:00	13	272.3	201.5
13/03/20	08:35:00	14	136	22.28
13/03/20	08:36:00	15	54.11	26.46
13/03/20	08:37:00	16	305.3	212.5
13/03/20	08:38:00	17	33.48	14.47
13/03/20	08:39:00	18	40.31	16.64
13/03/20	08:40:00	19	94.6	138.5
13/03/20	08:41:00	20	377.9	202.5
13/03/20	08:42:00	21	42.53	3.41
13/03/20	08:43:00	22	42.7	1518
13/03/20	08:44:00	23	49.88	54.44
13/03/20	08:45:00	24	521.2	2779
13/03/20	08:46:00	25	524.5	1245
13/03/20	08:47:00	26	164.3	195.4
13/03/20	08:48:00	27	55.34	561
13/03/20	08:49:00	28	470.7	162.7
13/03/20	08:50:00	29	536.6	998
13/03/20	08:51:00	30	360.1	235.3
13/03/20	08:52:00	31	55.39	768
13/03/20	08:53:00	32	434.7	205.4
13/03/20	08:54:00	33	548.7	1576
13/03/20	08:55:00	34	94.9	131.1
13/03/20	08:56:00	35	58.33	2406
13/03/20	08:57:00	36	57.55	1446
13/03/20	08:58:00	37	150.2	177.6
13/03/20	08:59:00	38	321.7	261.5
13/03/20	09:00:00	39	132.7	3021
13/03/20	09:01:00	40	134.4	506
13/03/20	09:02:00	41	135.2	1
13/03/20	09:03:00	42	136	574
13/03/20	09:04:00	43	136.5	1
13/03/20	09:05:00	44	137	587
13/03/20	09:06:00	45	137.9	225
13/03/20	09:07:00	46	138.9	369
13/03/20	09:08:00	47	139.3	309
13/03/20	09:09:00	48	140.5	1
13/03/20	09:10:00	49	140.8	549
13/03/20	09:11:00	50	141.8	1
13/03/20	09:12:00	51	142.1	372
13/03/20	09:13:00	52	143.1	85
13/03/20	09:14:00	53	143.9	0.59
13/03/20	09:15:00	54	144.4	0
13/03/20	09:16:00	55	145.2	594
13/03/20	09:17:00	56	145.9	225
13/03/20	09:18:00	57	147	247
13/03/20	09:19:00	58	147.2	0.3
13/03/20	09:20:00	59	148.4	199
13/03/20	09:21:00	60	148.9	514
13/03/20	09:22:00	61	149.7	0
13/03/20	09:23:00	62	150.8	0.52
13/03/20	09:24:00	63	151.1	119
13/03/20	09:25:00	64	152.3	266
13/03/20	09:26:00	65	152.7	493
13/03/20	09:27:00	66	153.6	288
13/03/20	09:28:00	67	153.7	1
13/03/20	09:29:00	68	154.9	338
13/03/20	09:30:00	69	155.7	547
13/03/20	09:31:00	70	156.4	1
13/03/20	09:32:00	71	156.6	312
13/03/20	09:33:00	72	157.4	0.37
13/03/20	09:34:00	73	158.2	561
13/03/20	09:35:00	74	159	2
13/03/20	09:36:00	75	159.5	399
13/03/20	09:37:00	76	160.4	1
13/03/20	09:38:00	77	161.5	457
13/03/20	09:39:00	78	161.7	2
13/03/20	09:40:00	79	162.2	0.51
13/03/20	09:41:00	80	163	1
13/03/20	09:42:00	81	163.1	199
13/03/20	09:43:00	82	164.2	273
13/03/20	09:44:00	83	164.4	247
13/03/20	09:45:00	84	159.9	15.79
13/03/20	09:46:00	85	149	6112
