"TIMESTAMP","RECORD","batt_volt_Min","PTemp","termopar_Avg","Termistor_Avg","pt100_Avg","termopar_Std","Termistor_Std","pt100_Std"
"2019-05-06 09:00:00",92,12.19,27,27.23,27.23,35.04,0.019,0.015,0.895
"2019-05-06 09:01:00",93,12.19,27.03,27.23,27.26,34.85,0.02,0.018,0.575
"2019-05-06 09:02:00",94,12.18,27.06,27.22,27.28,34.87,0.024,0.014,0.59
"2019-05-06 09:03:00",95,12.19,27.09,27.22,27.29,35.22,0.02,0.016,0.606
"2019-05-06 09:04:00",96,12.19,27.09,21.62,23.29,31.62,6.952,5.031,4.847
"2019-05-06 09:05:00",97,12.19,27.09,12.78,13.13,20.79,0.293,0.659,0.993
"2019-05-06 09:06:00",98,12.19,27.12,12.4,11.57,18.55,0.107,0.17,0.524
"2019-05-06 09:07:00",99,12.19,27.15,12.43,11.26,19.04,0.112,0.063,0.53
"2019-05-06 09:08:00",100,12.19,27.18,11.66,11,18.04,0.871,0.09,0.423
"2019-05-06 09:09:00",101,12.19,27.18,7.633,8.27,15.59,0.203,0.933,1.2
"2019-05-06 09:10:00",102,12.18,27.21,6.985,7.149,14.23,0.793,0.521,0.754
"2019-05-06 09:11:00",103,12.18,27.21,4.386,4.495,11.68,0.159,0.301,0.554
"2019-05-06 09:12:00",104,12.19,27.25,4.402,4.24,11.32,0.199,0.039,0.513
"2019-05-06 09:13:00",105,12.19,27.28,3.393,3.324,10.13,0.125,0.213,0.635
"2019-05-06 09:14:00",106,12.18,27.28,3.179,2.996,9.26,0.283,0.146,0.622
"2019-05-06 09:15:00",107,12.19,27.31,2.881,2.762,9.82,0.13,0.028,0.508
"2019-05-06 09:16:00",108,12.19,27.31,2.526,2.611,9.52,0.596,0.293,0.594
"2019-05-06 09:17:00",109,12.19,27.31,0.874,1.183,8.2,0.365,0.31,0.614
"2019-05-06 09:18:00",110,12.18,27.34,-0.111,0.634,7.574,0.13,0.034,0.595
"2019-05-06 09:19:00",111,12.19,27.34,-0.248,0.64,7.968,0.084,0.026,0.582
"2019-05-06 09:20:00",112,12.18,27.34,-0.235,0.646,7.49,0.179,0.038,0.464
"2019-05-06 09:21:00",113,12.19,27.37,-0.251,0.665,7.048,0.052,0.027,0.351
"2019-05-06 09:22:00",114,12.19,27.37,-0.112,0.671,7.343,0.223,0.026,0.626
"2019-05-06 09:23:00",115,12.19,27.37,-0.34,0.68,7.452,0.365,0.023,0.338
"2019-05-13 07:39:00",0,12.2,23.9,"NAN","NAN","NAN","NAN","NAN","NAN"
"2019-05-13 07:40:00",1,12.19,23.93,"NAN","NAN","NAN","NAN","NAN","NAN"
"2019-05-13 07:41:00",2,12.19,23.96,"NAN","NAN","NAN","NAN","NAN","NAN"
"2019-05-13 07:42:00",3,12.19,23.96,"NAN","NAN","NAN","NAN","NAN","NAN"
"2019-05-13 07:43:00",4,12.19,23.96,"NAN","NAN","NAN","NAN","NAN","NAN"
"2019-05-13 07:44:00",5,12.19,23.99,"NAN","NAN","NAN","NAN","NAN","NAN"
"2019-05-13 07:45:00",6,12.19,24.04,"NAN","NAN","NAN","NAN","NAN","NAN"
"2019-05-13 07:46:00",7,12.19,24.04,"NAN","NAN","NAN","NAN","NAN","NAN"
"2019-05-13 07:59:00",8,12.19,24.84,1.652,2.645,26.58,0.097,0.04,0.641
"2019-05-13 08:00:00",9,12.19,24.87,1.593,2.476,15.87,0.24,0.092,8.56
"2019-05-13 08:25:00",0,12.19,24.75,0.886,0.121,0.183,0.109,0.057,0.41
"2019-05-13 08:26:00",1,12.19,24.78,0.981,0.102,-0.494,0.107,0.038,1.764
"2019-05-13 08:27:00",2,12.19,24.78,1.103,0.095,0.653,0.067,0.043,0.382
"2019-05-13 08:28:00",3,12.19,24.81,0.944,0.131,0.154,0.108,0.044,0.371
"2019-05-13 08:29:00",4,12.19,24.81,1.147,0.089,0.624,0.068,0.05,0.368
"2019-05-13 08:30:00",5,12.19,24.81,1.155,0.115,0.808,0.062,0.024,0.241
"2019-05-13 08:31:00",6,12.19,24.81,1.158,0.113,0.512,0.083,0.043,0.409
"2019-05-13 08:32:00",7,12.19,24.81,1.023,0.141,-0.037,0.08,0.043,0.407
"2019-05-13 08:33:00",8,12.19,24.81,1.032,0.15,0.192,0.115,0.046,0.302
"2019-05-13 08:34:00",9,12.19,24.81,0.246,-0.002,-0.023,0.269,0.096,0.463
"2019-05-13 08:35:00",10,12.19,24.81,0.332,-0.015,-0.15,0.098,0.05,0.651
"2019-05-13 08:36:00",11,12.19,24.81,0.314,0.058,0.247,0.097,0.044,0.384
"2019-05-13 08:37:00",12,12.19,24.84,0.363,0.083,-0.052,0.104,0.048,0.473
"2019-05-13 08:38:00",13,12.19,24.81,0.389,0.109,0.097,0.105,0.043,0.42
"2019-05-13 08:39:00",14,12.19,24.84,0.436,0.12,-0.038,0.099,0.054,0.552
"2019-05-13 08:40:00",15,12.19,24.84,0.469,0.131,0.188,0.101,0.039,0.511
"2019-05-13 08:41:00",16,12.19,24.84,0.455,0.151,0.113,0.097,0.042,0.481
"2019-05-13 08:42:00",17,12.19,24.84,0.511,0.157,0.108,0.09,0.037,0.493
"2019-05-13 08:43:00",18,12.19,24.84,0.502,0.163,0.095,0.104,0.041,0.469
"2019-05-13 08:44:00",19,12.19,24.81,0.497,0.15,-0.168,0.073,0.051,0.562
"2019-05-13 08:45:00",20,12.19,24.84,0.491,0.182,0.042,0.103,0.044,0.44
"2019-05-13 08:46:00",21,12.19,24.84,0.491,0.166,0.223,0.167,0.047,0.5
"2019-05-13 08:47:00",22,12.19,24.81,0.454,0.088,0.188,0.126,0.049,0.481
"2019-05-13 08:48:00",23,12.19,24.84,0.498,0.103,0.109,0.122,0.05,0.446
"2019-05-13 08:49:00",24,12.19,24.84,0.55,0.129,0.301,0.132,0.046,0.401
"2019-05-13 08:50:00",25,12.19,24.87,0.39,0.154,0.13,0.054,0.035,0.073
"2019-05-13 08:51:00",26,12.19,24.87,0.491,0.148,0.234,0.11,0.071,0.218
"2019-05-13 08:52:00",27,12.19,24.87,0.537,0.127,0.099,0.116,0.05,0.343
"2019-05-13 08:53:00",28,12.19,24.87,0.6,0.123,0.344,0.109,0.051,0.429
"2019-05-13 08:54:00",29,12.19,24.87,0.554,0.128,0.081,0.099,0.047,0.325
"2019-05-13 08:55:00",30,12.19,24.89,0.658,0.26,0.409,0.167,0.231,0.568
"2019-05-13 08:56:00",31,12.19,24.92,4.441,1.928,1.196,5.576,0.849,0.574
"2019-05-13 08:57:00",32,12.19,24.92,5.419,4.735,4.489,3.625,2.393,3.114
"2019-05-13 08:58:00",33,12.19,24.95,9.76,9.56,9,0.771,0.386,0.411
"2019-05-13 08:59:00",34,12.19,24.98,9.94,10.42,8.97,0.17,0.163,0.389
"2019-05-13 09:00:00",35,12.19,24.98,10.08,10.86,9.66,0.097,0.099,0.132
"2019-05-13 09:01:00",36,12.19,24.98,10.31,11.09,10.02,0.081,0.057,0.099
"2019-05-13 09:02:00",37,12.19,25.01,10.63,11.24,10.27,0.128,0.052,0.456
"2019-05-13 09:03:00",38,12.19,25.01,10.91,11.39,10.64,0.085,0.046,0.327
"2019-05-13 09:04:00",39,12.19,25.01,10.99,11.53,10.87,0.118,0.048,0.372
"2019-05-13 09:05:00",40,12.19,25.04,12.91,13.67,12.36,3.469,3.23,2.216
"2019-05-13 09:06:00",41,12.19,25.07,18.09,19.51,16.52,2.436,2.463,1.572
"2019-05-13 09:07:00",42,12.19,25.07,19.99,20.45,19.05,0.42,0.177,0.484
"2019-05-13 09:08:00",43,12.19,25.07,20.31,20.99,19.95,0.101,0.143,0.31
"2019-05-13 09:09:00",44,12.19,25.1,20.56,21.35,20.56,0.145,0.081,0.273
"2019-05-13 09:10:00",45,12.19,25.1,20.82,21.57,20.72,0.125,0.075,0.506
"2019-05-13 09:11:00",46,12.19,25.1,27.01,25.28,24.65,2.139,2.018,1.964
"2019-05-13 09:12:00",47,12.19,25.1,30.24,30.24,30.09,0.867,0.213,0.971
"2019-05-13 09:13:00",48,12.19,25.13,30.39,30.61,30.68,0.185,0.086,0.262
"2019-05-13 09:14:00",49,12.19,25.16,30.53,30.76,30.82,0.159,0.051,0.421
"2019-05-13 09:15:00",50,12.19,25.16,30.6,30.9,30.93,0.091,0.048,0.131
"2019-05-13 09:16:00",51,12.19,25.16,32.98,34.04,32.88,2.979,3.13,2.055
"2019-05-13 09:17:00",52,12.19,25.22,38.33,39.4,38.37,1.693,1.815,2.255
"2019-05-13 09:18:00",53,12.19,25.22,39.54,39.93,40.15,0.169,0.068,0.26
"2019-05-13 09:19:00",54,12.19,25.25,39.71,40.04,40.12,0.098,0.055,0.396
"2019-05-13 09:20:00",55,12.19,25.25,39.82,40.12,40.4,0.085,0.037,0.42
"2019-05-13 09:21:00",56,12.19,25.28,39.86,40.2,40.31,0.106,0.032,0.396
"2019-05-13 09:22:00",57,12.19,25.28,39.86,40.25,40.12,0.074,0.029,0.373
"2019-05-13 09:23:00",58,12.19,25.28,39.97,40.29,40.22,0.069,0.02,0.472
"2019-05-13 09:24:00",59,12.19,25.28,40.04,40.43,40.38,0.27,0.416,0.553
"2019-05-13 09:25:00",60,12.19,25.31,46.05,45.98,45.49,2.214,2.094,1.737
"2019-05-13 09:26:00",61,12.19,25.31,47.65,47.97,47.9,0.212,0.132,0.44
"2019-05-13 09:27:00",62,12.19,25.34,47.65,48.22,48.18,0.069,0.037,0.088
"2019-05-13 09:28:00",63,12.19,25.34,41.73,47.06,47.79,9.43,2.032,1.63
"2019-05-20 08:58:00",0,12.19,24.16,21.25,1.645,2.31,0.088,0.162,2.679
"2019-05-20 08:59:00",1,12.19,24.16,7.999,1.374,3.539,9.49,0.357,2.929
"2019-05-20 09:00:00",2,12.19,24.16,0.136,0.235,4.797,0.182,0.137,3.944
"2019-05-20 09:01:00",3,12.19,24.19,-0.478,-0.044,2.262,0.112,0.081,3.25
"2019-05-20 09:02:00",4,12.19,24.19,-0.562,-0.108,2.629,0.097,0.07,2.551
"2019-05-20 09:03:00",5,12.19,24.19,-0.527,-0.147,2.952,0.094,0.065,3.221
"2019-05-20 09:04:00",6,12.19,24.22,-0.508,-0.147,2.4,0.09,0.062,3.271
"2019-05-20 09:05:00",7,12.19,24.22,-0.492,-0.156,2.902,0.094,0.067,3.18
"2019-05-20 09:06:00",8,12.19,24.22,-0.494,-0.148,2.621,0.115,0.072,3.316
