"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2023";"0000";"19,8";"19,9";"19,8";"91,0";"91,0";"91,0";"18,3";"18,4";"18,3";"1015,5";"1015,5";"1015,1";"0,0";"135,0";"0,0";"";"0,0"
"01/10/2023";"0100";"18,3";"19,8";"18,3";"92,0";"92,0";"90,0";"16,9";"18,3";"16,9";"1015,9";"1015,9";"1015,5";"0,5";"149,0";"7,1";"";"1,4"
"01/10/2023";"0200";"18,1";"18,5";"18,0";"92,0";"92,0";"92,0";"16,7";"17,2";"16,6";"1015,7";"1016,0";"1015,6";"0,4";"148,0";"7,9";"";"1,0"
"01/10/2023";"0300";"17,9";"18,2";"17,8";"92,0";"92,0";"91,0";"16,5";"16,9";"16,4";"1015,6";"1015,9";"1015,6";"0,0";"150,0";"7,9";"";"1,2"
"01/10/2023";"0400";"17,6";"18,0";"17,6";"91,0";"92,0";"91,0";"16,1";"16,6";"16,1";"1015,1";"1015,6";"1015,1";"0,7";"168,0";"4,9";"";"0,8"
"01/10/2023";"0500";"17,7";"17,9";"17,6";"91,0";"91,0";"91,0";"16,2";"16,4";"16,1";"1014,3";"1015,1";"1014,3";"0,0";"147,0";"4,9";"";"0,2"
"01/10/2023";"0600";"17,6";"17,8";"17,5";"89,0";"91,0";"89,0";"15,8";"16,3";"15,7";"1013,5";"1014,3";"1013,2";"0,1";"155,0";"5,0";"";"0,0"
"01/10/2023";"0700";"17,9";"17,9";"17,5";"87,0";"89,0";"86,0";"15,7";"15,9";"15,5";"1013,4";"1013,6";"1013,0";"0,0";"323,0";"5,0";"0,70";"0,0"
"01/10/2023";"0800";"17,7";"18,0";"17,7";"90,0";"90,0";"87,0";"16,0";"16,1";"15,7";"1013,4";"1013,5";"1013,2";"0,0";"263,0";"0,0";"";"0,2"
"01/10/2023";"0900";"17,6";"17,8";"17,6";"90,0";"90,0";"90,0";"16,0";"16,2";"15,9";"1013,7";"1013,8";"1013,3";"0,0";"320,0";"0,0";"";"0,2"
"01/10/2023";"1000";"17,9";"18,0";"17,4";"91,0";"91,0";"90,0";"16,4";"16,4";"15,8";"1014,2";"1014,2";"1013,7";"0,0";"301,0";"0,0";"113,90";"0,0"
"01/10/2023";"1100";"19,5";"19,9";"17,8";"79,0";"91,0";"79,0";"15,9";"16,5";"15,8";"1014,5";"1014,8";"1014,2";"2,7";"155,0";"8,5";"1042,30";"0,0"
"01/10/2023";"1200";"19,9";"20,5";"19,3";"79,0";"81,0";"76,0";"16,1";"16,7";"15,3";"1014,9";"1015,0";"1014,5";"3,2";"152,0";"8,5";"1605,40";"0,0"
"01/10/2023";"1300";"20,7";"21,1";"19,8";"73,0";"79,0";"73,0";"15,6";"16,4";"15,3";"1014,9";"1015,1";"1014,9";"3,9";"158,0";"11,8";"2708,20";"0,0"
"01/10/2023";"1400";"20,8";"20,9";"19,9";"74,0";"76,0";"71,0";"16,0";"16,0";"15,2";"1014,6";"1015,1";"1014,6";"4,7";"156,0";"11,2";"2532,20";"0,0"
"01/10/2023";"1500";"21,2";"21,2";"20,1";"73,0";"75,0";"71,0";"16,1";"16,2";"15,0";"1014,0";"1014,6";"1014,0";"4,8";"155,0";"11,2";"3062,00";"0,0"
"01/10/2023";"1600";"21,3";"21,3";"20,3";"71,0";"74,0";"70,0";"15,8";"16,2";"14,8";"1013,6";"1014,1";"1013,6";"4,2";"151,0";"11,1";"3107,10";"0,0"
"01/10/2023";"1700";"20,9";"21,3";"20,6";"70,0";"72,0";"69,0";"15,3";"16,0";"15,0";"1013,0";"1013,6";"1012,9";"4,3";"150,0";"10,2";"3182,80";"0,0"
