LAT;LON;YEAR;MO;DY;PRECTOT;RH2M;PS;T2M;WS50M
-27.59439;-48.54179;1982;1;1;19.08;78.95;98.34;21.05;6.89
-27.59439;-48.54179;1982;1;2;3.77;75.62;98.62;19.57;5.69
-27.59439;-48.54179;1982;1;3;3.48;74.55;98.71;19.63;5.74
-27.59439;-48.54179;1982;1;4;1.58;67.44;98.79;19.49;4.24
-27.59439;-48.54179;1982;1;5;0.17;67.61;98.5;20.7;4.52
-27.59439;-48.54179;1982;1;6;0.42;69.84;98.35;23.07;4.35
-27.59439;-48.54179;1982;1;7;6.02;75.91;98.5;22.26;3.19
-27.59439;-48.54179;1982;1;8;3.41;75.54;98.53;21.68;3.95
-27.59439;-48.54179;1982;1;9;6.3;83.6;98.4;22.92;5.35
-27.59439;-48.54179;1982;1;10;3.15;76.9;98.09;25.82;5.59
-27.59439;-48.54179;1982;1;11;1.22;72.15;97.9;24.18;6.54
-27.59439;-48.54179;1982;1;12;0.11;65.24;98.02;21.8;8.49
-27.59439;-48.54179;1982;1;13;0.02;64.92;98.11;21.33;4.37
-27.59439;-48.54179;1982;1;14;0.43;66.28;98.13;22.36;2.59
-27.59439;-48.54179;1982;1;15;0;62.94;98.37;22.25;3.29
-27.59439;-48.54179;1982;1;16;0.44;68.73;98.46;22.03;4.1
-27.59439;-48.54179;1982;1;17;0.99;72.52;98.49;23.45;5.77
-27.59439;-48.54179;1982;1;18;1.67;75.33;98.83;22.54;3.96
-27.59439;-48.54179;1982;1;19;1.04;69.84;99.06;21.67;4.35
-27.59439;-48.54179;1982;1;20;3.26;72.43;98.88;22.17;4.96
-27.59439;-48.54179;1982;1;21;6.54;76.97;98.52;23.31;6.65
-27.59439;-48.54179;1982;1;22;12.48;73.35;98.21;23.73;6.69
-27.59439;-48.54179;1982;1;23;0.41;64.01;98.31;22.08;7.66
-27.59439;-48.54179;1982;1;24;0.07;66.31;98.8;21.36;4.35
-27.59439;-48.54179;1982;1;25;0;64.45;98.94;21.64;4.24
-27.59439;-48.54179;1982;1;26;0.58;66.62;98.7;23.31;7.29
-27.59439;-48.54179;1982;1;27;0.46;75.46;98.85;24.17;6.9
-27.59439;-48.54179;1982;1;28;3.85;77.42;99;24.57;6.51
-27.59439;-48.54179;1982;1;29;7.97;75.6;98.99;24.26;7.42
-27.59439;-48.54179;1982;1;30;8.91;77.96;98.92;24.23;8
-27.59439;-48.54179;1982;1;31;6.83;75.2;98.89;24.13;7.26
-27.59439;-48.54179;1982;2;1;7.02;78.04;98.81;24.21;8.77
-27.59439;-48.54179;1982;2;2;3.22;79;98.47;24.4;9.17
-27.59439;-48.54179;1982;2;3;12.99;77.36;98.13;25.38;7.73
-27.59439;-48.54179;1982;2;4;28.55;79.86;98.11;24.36;5.64
-27.59439;-48.54179;1982;2;5;26.72;83.5;98.43;20.68;6.94
-27.59439;-48.54179;1982;2;6;1.67;76.7;98.52;21.85;4.31
-27.59439;-48.54179;1982;2;7;0.4;75.49;98.58;23.27;4.6
-27.59439;-48.54179;1982;2;8;0.71;80.03;98.72;24.15;5.51
-27.59439;-48.54179;1982;2;9;7.95;82.67;98.66;24.82;5.8
-27.59439;-48.54179;1982;2;10;7.99;85.44;98.61;24.08;7.27
-27.59439;-48.54179;1982;2;11;3.41;75.3;98.51;26.01;5.49
-27.59439;-48.54179;1982;2;12;5.38;73.05;98.36;27.14;4.11
-27.59439;-48.54179;1982;2;13;3.97;74.93;98.42;26.39;4.52
-27.59439;-48.54179;1982;2;14;17.19;77.25;98.26;26.83;5.25
-27.59439;-48.54179;1982;2;15;3.25;79.82;98.49;24.43;4.12
-27.59439;-48.54179;1982;2;16;9.92;76.36;98.33;25.87;3.89
-27.59439;-48.54179;1982;2;17;6.44;81.03;98.42;25.41;4.4
-27.59439;-48.54179;1982;2;18;3.64;84.59;98.81;24.39;4.41
-27.59439;-48.54179;1982;2;19;5;82.88;98.66;24.14;3.56
-27.59439;-48.54179;1982;2;20;2.99;83.45;98.19;24.73;4.89
-27.59439;-48.54179;1982;2;21;5;82.16;98.05;25.96;6.52
-27.59439;-48.54179;1982;2;22;15.76;79.34;98.15;24.79;5.63
-27.59439;-48.54179;1982;2;23;29.56;83.49;98.4;21.33;5.38
-27.59439;-48.54179;1982;2;24;13.13;81.89;98.34;20.66;6.52
-27.59439;-48.54179;1982;2;25;0.44;78.97;98.39;21.18;3.32
-27.59439;-48.54179;1982;2;26;0.03;80.51;98.61;22.64;3.15
-27.59439;-48.54179;1982;2;27;0.11;79.84;98.82;22.97;4.63
-27.59439;-48.54179;1982;2;28;2.96;79.16;98.82;23.32;4.91
-27.59439;-48.54179;1982;3;1;10.53;83.86;98.67;23.02;3.38
-27.59439;-48.54179;1982;3;2;12.55;82.16;98.73;21.81;6.45
-27.59439;-48.54179;1982;3;3;2.06;80.61;99.03;21.71;6.64
-27.59439;-48.54179;1982;3;4;0.15;73.73;99.22;20.89;4.26
-27.59439;-48.54179;1982;3;5;4.11;79.75;99.02;21.39;4.1
-27.59439;-48.54179;1982;3;6;0.18;79.64;98.57;22.32;4.19
-27.59439;-48.54179;1982;3;7;0.75;80.16;98.54;22.97;4.83
-27.59439;-48.54179;1982;3;8;9.29;83.61;98.66;22.4;4.24
-27.59439;-48.54179;1982;3;9;24.79;88.04;98.47;22.72;5.67
-27.59439;-48.54179;1982;3;10;3.46;84.93;98.35;23.82;3.48
-27.59439;-48.54179;1982;3;11;1.33;80.08;98.42;23.89;3.16
-27.59439;-48.54179;1982;3;12;0.95;79.15;98.67;23.12;3.81
-27.59439;-48.54179;1982;3;13;1.71;78.86;98.74;22.55;3.5
-27.59439;-48.54179;1982;3;14;1.3;82.89;98.44;22.36;4.7
-27.59439;-48.54179;1982;3;15;4.38;82.85;97.83;23.44;6.98
-27.59439;-48.54179;1982;3;16;0;74.42;97.76;24.55;4.31
-27.59439;-48.54179;1982;3;17;0.26;73.24;98.1;24.21;3.62
-27.59439;-48.54179;1982;3;18;6.99;78.07;98.15;23.69;3.03
-27.59439;-48.54179;1982;3;19;5.32;78.88;98.31;22.55;2.97
-27.59439;-48.54179;1982;3;20;1.48;75.8;98.57;22.36;3.08
-27.59439;-48.54179;1982;3;21;2.41;76.26;98.68;22.68;3.74
-27.59439;-48.54179;1982;3;22;5.89;83.24;98.48;22.66;4.75
-27.59439;-48.54179;1982;3;23;10.37;82.75;98.3;22.56;3.59
-27.59439;-48.54179;1982;3;24;16.02;83.99;98.31;22.3;3.45
-27.59439;-48.54179;1982;3;25;8.08;87.09;98.29;22.79;5.81
-27.59439;-48.54179;1982;3;26;0.95;86.86;98.26;22.84;5.4
-27.59439;-48.54179;1982;3;27;0.34;81.95;98.21;24.15;4.78
-27.59439;-48.54179;1982;3;28;17.07;86.07;98.55;21.09;7.3
-27.59439;-48.54179;1982;3;29;19.7;85.47;98.67;18.54;5.56
-27.59439;-48.54179;1982;3;30;4.71;82.38;98.75;20.12;3.97
-27.59439;-48.54179;1982;3;31;0.47;80.21;98.94;21.1;3.79
-27.59439;-48.54179;1982;4;1;0.03;72.67;99.14;21.34;3.14
-27.59439;-48.54179;1982;4;2;0.15;82.99;99.12;21.83;4.72
-27.59439;-48.54179;1982;4;3;0.12;81.3;99.06;22.06;3.37
-27.59439;-48.54179;1982;4;4;2.69;84.63;99;22.01;4.81
-27.59439;-48.54179;1982;4;5;5.25;86.17;98.76;21.19;4.18
-27.59439;-48.54179;1982;4;6;1.08;78.53;98.71;21.12;4.77
-27.59439;-48.54179;1982;4;7;0.14;78.06;98.71;20.79;6.26
-27.59439;-48.54179;1982;4;8;0.43;75.79;98.86;19.41;6.37
-27.59439;-48.54179;1982;4;9;0.31;68.82;99.02;19.3;4.26
-27.59439;-48.54179;1982;4;10;1.55;63.83;99.12;20.1;3.24
-27.59439;-48.54179;1982;4;11;2.83;80.2;99.02;20.52;5.02
-27.59439;-48.54179;1982;4;12;2.78;84.06;98.74;21.03;5.64
-27.59439;-48.54179;1982;4;13;1.23;86.02;98.54;21.57;6.11
-27.59439;-48.54179;1982;4;14;9.3;87.55;98;21.75;5.97
-27.59439;-48.54179;1982;4;15;0.82;79.29;98.08;20.36;7.84
-27.59439;-48.54179;1982;4;16;0.06;72.72;98.8;18.14;6.9
-27.59439;-48.54179;1982;4;17;0.1;74.39;99.15;18.1;4.01
-27.59439;-48.54179;1982;4;18;1.81;75.93;99.27;19.47;4
-27.59439;-48.54179;1982;4;19;6.17;78.76;99.15;19.95;7.34
-27.59439;-48.54179;1982;4;20;1.5;82.3;98.96;20.49;7.38
-27.59439;-48.54179;1982;4;21;0.24;83.54;98.63;21.95;6.1
-27.59439;-48.54179;1982;4;22;0.01;76.86;98.86;20.11;6.3
-27.59439;-48.54179;1982;4;23;0.06;78.32;99.11;19.52;4.27
-27.59439;-48.54179;1982;4;24;0.15;78.42;99.2;19.69;2.99
-27.59439;-48.54179;1982;4;25;0.31;79.97;99.11;19.96;4.45
