ID;Estação;latitude;longitude;altitude
82014;NORMANDIA -RR;3.3;-60.1;100
82017;OIAPOQUE AEROPORTO;3.84;-51.82;39
82022;BOA VISTA AEROPORTO;2.84;-60.68;140
82024;BOA VISTA;2.83;-60.66;90
82026;TIRIOS (BASE AEREA);2.22;-55.93;325
82029;AMAPA;2.05;-50.8;0
82030;AMAPA AEROPORTO;2.07;-50.85;10
82042;CARACARAI;1.83;-61.12;95
82067;IAUARETE;0.6;-69.19;120
82068;IAUARETE AEROPORTO;0.61;-69.2;105
82091;MONTE DOURADO;-0.89;-52.6;206
82092;SERRA DO NAVIO;0.9;-52.02;163
82093;CUPIXI;0.62;-51.78;702
82094;PONTA DO CEU;0.77;-50.1;4
82095;PORTO PLATON;0.7;-51.42;84
82096;CANIVETE (FAROL);0.51;-50.41;3
82098;MACAPA;-0.05;-51.11;15
82099;MACAPA AEROPORTO;0.05;-51.07;17
82100;PARI-CACHOEIRA;-0.17;-69.97;115
82103;TARACUA;0.07;-68.23;105
82105;RIO ICANA;-1.03;-67.53;90
82106;SAO GABRIEL DA CACHOEIRA (UAUPES);-0.13;-67.06;90
82107;SAO GABRIEL DA CACHOEIRA;-0.13;-66.98;79
82108;TAPURUQUARA;-0.42;-65;45
82111;EDUARDO GOMES IN;-3.02;-60.03;
82113;BARCELOS;-0.97;-62.93;40
82141;SOURE;-0.73;-48.52;11
82143;SALINOPOLIS;-0.62;-47.36;14
82145;TRACUATEUA;-1.06;-46.87;36
82167;MOURA;-3.45;-61.63;35
82178;OBIDOS;-1.9;-55.52;37
82181;MONTE ALEGRE;-2;-54.08;146
82184;PORTO DE MOZ;-1.75;-52.24;16
82188;BREVES;-1.68;-50.48;15
82191;BELEM;-1.44;-48.44;10
82193;BELEM AEROPORTO;-1.4;-48.45;16
82198;TURIACU;-1.66;-45.37;44
82200;IPIRANGA;-2.98;-69.58;0
82212;FONTE BOA;-2.52;-66.1;56
82240;PARINTINS;-2.63;-56.73;29
82244;SANTAREM AEROPORTO;-2.42;-54.78;72
82246;BELTERRA;-2.64;-54.94;176
82263;CAMETA;-2.24;-49.5;24
82276;ALCANTARA;-2.32;-44.42;45
82277;FAROL SANTANA;-2.27;-43.62;8
82279;SAO BENTO;-2.68;-44.72;10
82280;SAO LUIS;-2.53;-44.3;
82281;SAO LUIS AEROPORTO;-2.6;-44.23;53
82287;PARNAIBA;-3.09;-41.78;22
82288;PARNAIBA AEROPORTO;-2.88;-41.72;5
82294;ACARAU;-2.88;-40.13;16
82296;LUZILANDIA (LAG. DO PIAUI);-3.47;-42.27;49
82298;ESPERANTINA;-3.9;-42.26;87
82303;SAO PAULO DE OLIVENCA;-3.47;-68.95;94
82317;TEFE;-3.38;-64.73;47
82318;TEFE;-2.37;-64.72;56
82326;CODAJAS;-3.84;-62.06;49
82331;MANAUS;-3.1;-60.02;72
82332;MANAUS AEROPORTO;-3.13;-59.98;84
82333;EDUARDO GOMES;-3.03;-60.05;85
82335;ITACOATIARA AEROPORTO;-3.13;-58.48;43
82336;ITACOATIARA;-3.14;-58.44;40
82353;ALTAMIRA;-3.21;-52.21;74
82354;ALTAMIRA;-3.25;-52.25;112
82360;TUCURUI;-3.77;-49.72;253
82361;TUCURUI;-3.76;-49.67;40
82376;ZE DOCA;-3.27;-45.65;46
82382;CHAPADINHA;-3.74;-43.35;103
82392;SOBRAL;-3.75;-40.35;83
82396;FORTALEZA;-3.73;-38.55;20
82397;FORTALEZA;-3.82;-38.54;26
82398;FORTALEZA AEROPORTO;-3.77;-38.52;25
82400;FERNANDO DE NORONHA;-3.85;-32.42;56
82410;BENJAMIN CONSTANT;-4.38;-70.03;65
82411;TABATINGA;-4.25;-69.93;81
82418;CARAUARI;-4.95;-66.9;66
82425;COARI;-4.09;-63.15;46
82444;ITAITUBA;-4.24;-56;33
82445;ITAITUBA;-4.28;-55.99;45
82460;BACABAL;-4.22;-44.78;25
82474;CALDEIRAO;-4.28;-41.8;160
82476;CAXIAS;-4.87;-43.36;103
82480;PIRIPIRI;-4.28;-41.79;161
82487;GUARAMIRANGA;-4.26;-38.93;870
82491;ARACATI;-4.57;-37.77;19
82493;JAGUARUANA (A339);-4.85;-37.78;12
82532;MANICORE;-5.82;-61.28;53
82533;MANICORE;-5.82;-61.29;50
82562;MARABA;-5.37;-49.13;95
82563;MARABA;-5.37;-49.14;109
82564;IMPERATRIZ;-5.54;-47.48;123
82565;IMPERATRIZ AEROPORTO;-5.52;-47.46;131
82566;Imperatriz;-5.53;-47.5;
82567;PARAUAPEBAS (CARAJAS);-6.12;-50;621
82568;GRAJAU;-5.82;-46.47;163
82571;BARRA DO CORDA;-5.51;-45.24;153
82578;TERESINA;-5.03;-42.8;74
82579;TERESINA AEROPORTO;-5.05;-42.82;69
82583;CRATEUS;-5.19;-40.67;299
82586;QUIXERAMOBIM;-5.17;-39.29;212
82588;MORADA NOVA;-5.14;-38.36;44
82590;APODI;-5.63;-37.82;65
82591;MOSSORO;-5.2;-37.37;23
82592;MOSSORO;-5.18;-37.35;23
82594;MACAU;-5.15;-36.57;6
82595;CALCANHAR;-5.16;-35.49;14
82596;CEARA MIRIM;-5.65;-35.43;61
82598;NATAL;-5.84;-35.21;45
82599;NATAL AEROPORTO;-5.91;-35.23;52
82605;ALTO LONGA;-5.2;-42.25;150
82610;EIRUNEPE;-6.66;-69.87;104
82640;JACAREACANGA;-6.24;-57.73;98
82659;ARAGUAINA;-7.1;-48.2;228
82668;SAO FELIX DO XINGU;-6.63;-51.98;150
82669;SAO FELIX DO PIAUI;-5.95;-42.12;184
82676;COLINAS;-6.03;-44.23;180
82678;FLORIANO;-6.76;-43;127
82683;TAUA;-6.01;-40.3;340
82684;MORRO DOS CAVALOS 82684;-7.85;-41.9;242
82686;IGUATU;-6.4;-39.27;217
82689;SAO GONCALO;-6.84;-38.31;217
82690;SERIDO (CAICO);-6.47;-37.08;170
82691;FLORANIA;-6.12;-36.81;324
82693;CRUZETA;-6.43;-36.79;226
82695;CAMARATUBA;-6.55;-35.13;136
82696;AREIA;-6.98;-35.72;575
82697;GUARABIRA;-6.85;-35.48;101
82704;CRUZEIRO DO SUL;-7.58;-72.77;170
82705;CRUZEIRO DO SUL;-7.58;-72.77;199
82723;LABREA;-7.26;-64.79;60
82727;HUMAITA;-7.52;-63;50
82741;ALTO TAPAJOS 82741;-7.35;-57.52;140
82753;OURICURI;-7.88;-40.09;459
82760;OEIRAS;-7.05;-42.07;251
82764;CAROLINA;-7.33;-47.43;183
82765;CAROLINA;-7.34;-47.46;193
82768;BALSAS;-7.53;-46.05;259
82771;URUCUI;-7.23;-44.55;187
82777;CAMPOS SALES;-7.08;-40.39;583
82779;UMBUZEIRO 82779;-7.7;-35.7;499
82780;PICOS;-7.08;-41.43;208
82781;N DA MATA;-7.73;-35.25;87
82784;BARBALHA;-7.3;-39.27;409
82789;TRIUNFO;-7.83;-38.12;1,020
82791;PATOS;-7.05;-37.27;249
82792;MONTEIRO;-7.89;-37.12;599
82795;CAMPINA GRANDE;-7.23;-35.9;548
82796;CAMPINA GRANDE;-7.27;-35.88;500
82797;SURUBIM;-7.84;-35.8;418
82798;JOAO PESSOA;-7.1;-34.85;7
82800;JOAO PESSOA AEROPORTO;-7.12;-34.95;65
82807;TARAUACA;-8.16;-70.77;190
82808;TARAUACA;-8.15;-70.77;188
82816;BOCADOACRE;-8.72;-67.32;112
82824;PORTO VELHO AEROPORTO;-8.7;-63.9;102
82825;PORTO VELHO;-8.77;-63.92;95
82861;CONCEICAO DO ARAGUAIA;-8.26;-49.26;157
82862;CONCEICAO DO ARAGUAIA;-8.33;-49.3;194
82863;PEDRO AFONSO;-8.97;-48.18;187
82870;VALE DO GURGUEIA (CRISTIANO CASTRO);-8.44;-43.87;265
82879;SAO JOAO DO PIAUI;-8.36;-42.25;235
82882;PAULISTANA;-8.13;-41.14;375
82886;CABROBO;-8.5;-39.32;341
82890;ARCOVERDE;-8.43;-37.06;681
82892;PESQUEIRA;-8.37;-36.71;639
82893;GARANHUNS;-8.91;-36.49;822
82894;PAULO AFONSO AEROPORTO;-9.4;-38.25;269
82895;CARUARU;-8.28;-35.97;529
82899;RECIFE AEROPORTO;-8.12;-34.92;19
82900;RECIFE (CURADO);-8.06;-34.96;7
82913;SENA MADUREIRA 82913;-9.07;-68.67;135
82915;RIO BRANCO;-9.96;-67.87;160
82917;RIO BRANCO AEROPORTO;-9.87;-67.9;143
82927;COTRIGUACU;-9.55;-58.41;250
82930;CACHIMBO AEROPORTO;-9.33;-54.97;537
82965;ALTA FLORESTA AEROPORTO;-9.85;-56.1;288
