"TOA5","IFSC","CR1000","51712","CR1000.Std.25","CPU:IFSCmaio2013-V1.CR1","45149","IFSC60"
"TIMESTAMP","RECORD","Temp_ar_Max","Temp_ar_Min","Umid_ar_Max","Umid_ar_Min","Pressao","Precipitacao_Tot","Vel_WVc(1)","Vel_WVc(2)","Vel_WVc(3)","batt_volt_Min"
"TS","RN","","","","","","","","","",""
"","","Max","Min","Max","Min","Smp","Tot","WVc","WVc","WVc","Min"
"2013-05-24 23:00:00",0,19.94,13.68,107.2,98.6,1019.016,0,0.841,52.39,15.78,13.53
"2013-05-25 00:00:00",1,14.02,13,111,106.3,1018.77,0,0.605,42.02,15.63,13.55
"2013-05-25 01:00:00",2,13.28,12.06,116.2,110.7,1018.361,0,0.008,45.9,1.351,13.55
"2013-05-25 02:00:00",3,12.33,11.25,117.1,115.4,1018.406,0,0,0,0,13.56
"2013-05-25 03:00:00",4,11.52,10.84,120.6,116,1018.421,0,0,0,0,13.56
"2013-05-25 04:00:00",5,11.19,10.44,121.2,119.3,1018.18,0,0.155,129.6,10.14,13.56
"2013-05-25 05:00:00",6,10.91,10.16,121.6,116.7,1018.308,0,0.382,164.2,20.06,13.57
"2013-05-25 06:00:00",7,10.71,9.69,117.7,115,1018.959,0,0.029,149.3,0.936,13.57
"2013-05-25 07:00:00",8,10.17,9.69,116.9,114.7,1019.349,0,0.042,158.2,4.462,13.57
"2013-05-25 08:00:00",9,9.97,9.28,119.7,115.5,1020.459,0,0,0,0,13.58
"2013-05-25 09:00:00",10,12.04,9.35,119.7,97.6,1020.952,0,0,0,0,13.57
"2013-05-25 10:00:00",11,14.97,11.9,97.9,74.67,1021.644,0,0.248,227.2,12.9,13.57
"2013-05-25 11:00:00",12,16.56,14.62,77.92,69.94,1021.423,0,0.81,241.7,53.22,13.56
"2013-05-25 12:00:00",13,17.24,15.82,74.58,66.95,1020.677,0,0.943,237,37.47,13.55
"2013-05-25 13:00:00",14,18.03,16.17,75.9,67.47,1020.073,0,0.955,202.6,46.44,13.55
"2013-05-25 14:00:00",15,18.23,16.65,75.26,66.72,1019.679,0,1.851,207.8,46.52,13.56
"2013-05-25 15:00:00",16,17.35,16.39,77.46,70.45,1019.375,0,2.735,209.4,22.22,13.55
"2013-05-25 16:00:00",17,17.07,15.78,72.42,67.53,1019.308,0,2.725,235.8,25.62,13.56
"2013-05-25 17:00:00",18,16.05,15.28,75.1,71.31,1019.106,0,2.136,230.2,26.99,13.57
"2013-05-25 18:00:00",19,15.55,14.82,77.27,72.75,1019.499,0,1.382,151.2,40.59,13.57
"2013-05-25 19:00:00",20,15.24,14.82,77.33,72.11,1019.947,0,1.293,160,30.8,13.57
"2013-05-25 20:00:00",21,15.38,14.97,75.73,72.86,1020.643,0,0.981,227.5,39.44,13.58
"2013-05-25 21:00:00",22,15.38,15.04,78.18,74.37,1021.144,0,0.892,224.5,26,13.59
"2013-05-25 22:00:00",23,15.38,14.84,82,77.9,1021.394,0,0.632,179.9,29.24,13.59
"2013-05-25 23:00:00",24,15.32,14.5,87.3,78.45,1021.645,0,0.533,142.5,13.75,13.59
"2013-05-26 00:00:00",25,14.98,14.09,90,83.8,1021.4,0,0.564,131.6,12.97,13.6
"2013-05-26 01:00:00",26,14.7,14.09,90.2,85.3,1021.27,0,0.527,114.4,11.63,13.6
"2013-05-26 02:00:00",27,14.84,14.36,87.2,83.4,1020.905,0,0.917,144.5,14.09,13.6
"2013-05-26 03:00:00",28,14.84,13.89,94.4,83.4,1020.302,0,1.179,158.3,13.77,13.6
