REGIAO:;S
UF:;SC
ESTACAO:;FLORIANOPOLIS
CODIGO (WMO):;A806
LATITUDE:;-27,6025
LONGITUDE:;-48,61999999
ALTITUDE:;4,87
DATA DE FUNDACAO:;22/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1016,6;1016,6;1016,2;;23,2;17,6;23,2;23;18,1;17,4;73;70;71;120;5,6;0;
2024/01/01;0100 UTC;,6;1017,5;1017,5;1016,6;;23,1;18;23,4;23;18,1;17,2;73;69;73;132;0;0;
2024/01/01;0200 UTC;,4;1017,6;1017,7;1017,5;;21,7;18,4;23,1;21,6;18,4;17,8;82;73;81;191;0;0;
2024/01/01;0300 UTC;,2;1017,4;1017,7;1017,3;;21,8;19,2;22,2;21,7;19,3;18,4;85;81;85;146;3,2;0;
2024/01/01;0400 UTC;0;1016,8;1017,4;1016,8;;21,5;18,5;21,8;21,3;19,1;18,5;85;83;83;151;3,8;0;
2024/01/01;0500 UTC;0;1016,2;1016,8;1016,2;;21,5;18,6;21,6;21,3;18,6;18,3;84;82;84;146;0;0;
2024/01/01;0600 UTC;0;1015,6;1016,2;1015,6;;21,1;18,5;21,5;21,1;18,6;18,4;85;83;85;184;0;0;
2024/01/01;0700 UTC;0;1015,6;1015,7;1015,5;;21,1;18,4;21,3;21,1;18,7;18,4;85;85;85;224;0;0;
2024/01/01;0800 UTC;,4;1015,9;1015,9;1015,6;;20,6;18,4;21;20,6;18,5;18,2;87;85;87;321;0;0;
2024/01/01;0900 UTC;1,2;1016,2;1016,3;1015,9;7,8;20,3;18,5;20,6;20,3;18,6;18,4;90;87;90;263;0;0;
2024/01/01;1000 UTC;0;1016,5;1016,5;1016,1;163,1;20,6;18,8;20,6;20,2;18,9;18,5;90;90;90;280;0;0;
2024/01/01;1100 UTC;1;1016,7;1016,7;1016,5;288,4;21;19,4;21,1;20,4;19,4;18,6;91;89;90;279;0;0;
2024/01/01;1200 UTC;0;1016,7;1016,7;1016,5;753,9;21,8;20;21,8;20,7;20;19;91;89;90;270;0;0;
2024/01/01;1300 UTC;0;1016,5;1016,7;1016,5;1121,1;23,2;19,7;23,5;21,5;20,6;19,6;90;81;81;341;,4;0;
2024/01/01;1400 UTC;,2;1016,6;1016,6;1016,2;953,1;22,9;19,6;24,3;22,8;20,5;19,2;82;77;81;46;2,3;0;
2024/01/01;1500 UTC;,2;1016,2;1016,6;1016,2;1646,2;23,1;20,1;24,3;22,9;20,7;19,5;83;78;83;350;4,1;0;
2024/01/01;1600 UTC;0;1015,8;1016,2;1015,8;1684;25,1;20,6;25,1;22,5;21,2;19,5;85;75;76;29;2,5;0;
2024/01/01;1700 UTC;,6;1015;1015,8;1015;1424,9;24,7;20,8;25,3;23,7;21,6;19,3;82;72;79;14;0;0;
2024/01/01;1800 UTC;0;1014,3;1015;1014,3;1840,9;25,8;19,6;26,1;24,6;21,2;19,2;79;68;69;17;0;0;
2024/01/01;1900 UTC;0;1013,5;1014,3;1013,5;2482,5;25,4;19,4;27;25,3;20,2;19;70;63;69;1;6,9;,6;
2024/01/01;2000 UTC;0;1013,1;1013,5;1013,1;1441,4;25,3;19,4;26,2;25,3;20,4;19,2;72;68;70;356;7,1;,4;
2024/01/01;2100 UTC;0;1012,8;1013,1;1012,7;496,7;24,7;20,1;25,4;24,5;20,1;19,3;76;69;76;8;6;,3;
2024/01/01;2200 UTC;0;1013;1013,5;1012,9;127,7;24,6;20;24,7;24,5;20,1;19,8;77;75;76;21;6,1;0;
2024/01/01;2300 UTC;,2;1013,7;1013,7;1012,9;3,1;24,7;20,3;24,7;24,6;20,3;19,9;76;74;76;10;3,9;,1;
2024/01/02;0000 UTC;1,4;1014,2;1014,3;1013,6;;23,1;20,6;24,7;23;20,7;20,2;86;76;86;323;5,9;0;
2024/01/02;0100 UTC;0;1015;1015;1014,2;,4;24,5;20;24,5;23,1;20,8;20;86;76;76;30;3,8;0;
2024/01/02;0200 UTC;0;1014,5;1015,1;1014,5;,8;24,6;20;24,6;24,4;20,1;19,9;77;75;76;10;3,7;0;
2024/01/02;0300 UTC;0;1014,2;1014,5;1014,2;;24,7;19,5;24,8;24,5;20;19,5;76;73;73;21;7,1;,1;
2024/01/02;0400 UTC;0;1013,6;1014,3;1013,6;;24,2;19,4;24,9;24,2;19,7;19,4;75;72;75;335;7,1;0;
2024/01/02;0500 UTC;0;1013,1;1013,6;1013,1;;24,7;19,2;24,7;24,2;19,5;19,2;75;72;72;1;5,6;,2;
2024/01/02;0600 UTC;0;1012,3;1013,1;1012,3;;23,6;19,5;24,9;23,5;19,6;19,2;78;71;78;321;5,6;0;
2024/01/02;0700 UTC;0;1012,5;1012,5;1012,2;;23,2;19,6;24;23,2;19,6;19,5;81;76;81;260;0;0;
2024/01/02;0800 UTC;,2;1013;1013;1012,5;;22,7;19,9;23,2;22,7;19,9;19,6;84;81;84;268;0;0;
