REGIAO:;S
UF:;SC
ESTACAO:;Laguna  - Farol de Santa Marta
CODIGO (WMO):;A866
LATITUDE:;-28,60444444
LONGITUDE:;-48,81333333
ALTITUDE:;34,36
DATA DE FUNDACAO:;01/06/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1008,1;1008,2;1007,7;0;21,9;21,4;22;21,6;21,5;21;97;96;97;36;14,1;11,9;
2023/01/01;0100 UTC;0;1008,5;1008,6;1008;0;21,8;21,2;22;21,7;21,5;21,1;97;96;96;27;15,5;12,8;
2023/01/01;0200 UTC;0;1008,3;1008,6;1008,2;0;21,9;21,1;22,1;21,8;21,5;21;97;95;95;26;16,9;13,6;
2023/01/01;0300 UTC;0;1008,1;1008,3;1007,9;0;21,8;20,8;22,3;21,7;21,4;20,8;96;94;94;28;17;13,2;
2023/01/01;0400 UTC;0;1008;1008,1;1008;0;21,6;20,8;21,8;21,3;20,8;20,4;95;94;95;23;15,6;10,3;
2023/01/01;0500 UTC;0;1007,3;1008,1;1007,3;0;21,2;20,4;21,6;21,2;20,9;20,4;96;95;95;34;14,8;12,1;
2023/01/01;0600 UTC;0;1007,5;1007,5;1007,3;0;21,1;20,3;21,5;21,1;20,7;20,3;96;95;95;24;14,7;10,2;
2023/01/01;0700 UTC;0;1007,5;1007,7;1007,4;0;21,2;20,5;21,6;20,9;20,8;20,1;96;95;95;21;12;9,2;
2023/01/01;0800 UTC;0;1008;1008;1007,4;0;21,5;20,8;21,5;20,7;20,9;20;96;95;96;4;11,1;6,6;
2023/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;1000 UTC;0;1009,1;1009,1;1008,6;675,6;21,9;21,1;21,9;20,8;21,2;20,2;97;95;95;27;9,1;7,2;
2023/01/01;1100 UTC;0;1009,2;1009,3;1009,1;1528,9;22,6;21,2;22,6;21,9;21,3;20,8;95;91;92;29;8,8;7,3;
2023/01/01;1200 UTC;0;1009,5;1009,5;1009,2;2318,4;23;21,4;23,2;22,5;21,6;21;92;90;90;36;11,2;9,1;
2023/01/01;1300 UTC;0;1009,3;1009,5;1009,2;3029,4;23,4;21,8;23,8;23;22,1;21,3;92;89;91;33;11,5;9,2;
2023/01/01;1400 UTC;0;1009;1009,4;1009;3552,1;24,4;22,5;24,5;23,4;22,6;21,8;91;88;89;38;11,1;9,3;
2023/01/01;1500 UTC;0;1008,3;1009;1008,2;3906,4;24,8;22,5;25;24,3;22,9;22,2;90;86;87;45;14,6;11,6;
2023/01/01;1600 UTC;0;1007,8;1008,4;1007,8;4012,6;25,1;22,7;25,2;24,8;22,8;22,4;88;86;86;46;14,6;11,4;
2023/01/01;1700 UTC;0;1007,5;1007,9;1007,2;3864,4;25;22,5;25,3;24,9;22,9;22,4;87;85;86;46;15,7;11,5;
2023/01/01;1800 UTC;0;1006,9;1007,4;1006,8;3487,8;25;22,8;25,3;24,7;22,9;22,4;88;86;87;43;14,5;10,9;
2023/01/01;1900 UTC;0;1006,6;1006,9;1006,6;2896;24,6;22,3;25;24,6;22,8;22,3;88;87;87;42;13,7;10,5;
2023/01/01;2000 UTC;0;1006,1;1006,6;1006,1;1950,2;24;22,3;24,7;23,9;22,6;22,2;91;87;91;42;13,9;11,1;
2023/01/01;2100 UTC;0;1006,3;1006,4;1006;759;23,3;22,1;24;23,3;22,4;22,1;93;90;93;38;14,7;12,1;
2023/01/01;2200 UTC;0;1006;1006,4;1005,9;353,2;22,9;22;23,3;22,7;22,2;21,8;95;93;95;40;15,9;11,4;
2023/01/01;2300 UTC;0;1006;1006;1005,9;6,1;22,7;21,8;22,9;22,7;22,1;21,8;95;95;95;33;17,2;14,6;
2023/01/02;0000 UTC;0;1006,1;1006,2;1006;0;22,5;21,8;22,7;22,4;21,9;21,6;96;95;96;32;18,3;15,4;
2023/01/02;0100 UTC;0;1006,9;1006,9;1006,1;0;22,5;21,8;22,7;22,4;22,1;21,7;97;96;96;29;18,3;15;
2023/01/02;0200 UTC;0;1007,4;1007,7;1006,8;0;22,8;22,1;23;22,4;22,3;21,7;96;95;96;22;18,2;13,6;
2023/01/02;0300 UTC;0;1007,5;1007,9;1007,3;0;23;22,2;23,2;22,6;22,5;21,8;96;95;95;13;17,5;13;
2023/01/02;0400 UTC;0;1006,4;1007,6;1006,4;0;21,7;21,1;23,2;21,7;22,3;21;96;94;96;32;16,6;13,1;
2023/01/02;0500 UTC;0;1005,6;1006,4;1005,5;0;22;21,3;22,3;21,7;21,8;21,1;97;95;96;23;16,8;12,8;
2023/01/02;0600 UTC;0;1004,7;1005,6;1004,7;0;21,9;21,2;22,3;21,7;21,6;21;97;96;96;28;16,3;13,7;
2023/01/02;0700 UTC;0;1004,4;1004,8;1004,3;0;21,8;21,2;22,5;21,7;21,9;21;97;95;96;26;18,2;14;
2023/01/02;0800 UTC;0;1004,1;1004,5;1003,9;0;21,8;21;22,5;21,8;21,9;21;97;95;95;23;17,1;11,8;
2023/01/02;0900 UTC;0;1004,2;1004,5;1004;48,2;21,6;20,8;21,8;21,1;21,1;20,3;96;95;95;22;16;13,3;
2023/01/02;1000 UTC;0;1004,1;1004,4;1004;374,1;21,4;20,7;22;21,1;21,1;20,3;96;93;96;27;15,8;13,5;
2023/01/02;1100 UTC;0;1004,1;1004,5;1003,8;1378,7;22,1;20,9;22,4;21,4;21,3;20,7;96;92;93;32;19;14,9;
2023/01/02;1200 UTC;0;1004;1004,1;1003,8;1625,9;22,8;21,2;22,8;21,9;21,3;20,7;94;91;91;27;18;14,3;
2023/01/02;1300 UTC;0;1003;1004;1003;2504,2;23,1;20,9;24;22,5;21,4;20,4;91;84;87;31;18,8;16,3;
2023/01/02;1400 UTC;0;1002,6;1003,2;1002,5;3400,4;23;21;23,6;22,9;21,5;20,8;89;87;89;33;19,4;16;
2023/01/02;1500 UTC;0;1002,2;1002,6;1002,1;3805,5;23,5;21,4;23,6;22,9;21,6;21;90;88;88;33;18,9;15,5;
2023/01/02;1600 UTC;0;1001,7;1002,3;1001,6;4052,9;23,8;21,5;24,2;23,4;21,9;21,3;89;86;87;33;19,5;15,2;
2023/01/02;1700 UTC;0;1000,9;1001,7;1000,8;2521,8;22,6;21,3;24,1;22,4;21,8;20,9;92;86;92;29;19,7;15,8;
2023/01/02;1800 UTC;0;1000,1;1001,2;1000,1;843,5;22,5;21,3;22,8;22,3;21,5;20,9;93;91;93;33;20,4;14,7;
2023/01/02;1900 UTC;0;999,5;1000,4;999,4;1192;22,8;21,2;23,2;22,2;21,7;20,8;93;90;91;27;19,8;15;
2023/01/02;2000 UTC;0;999,2;999,6;999,2;1419,5;23,4;21,6;23,4;22,5;21,6;20,6;91;88;90;30;19,9;15,1;
2023/01/02;2100 UTC;0;998,9;999,5;998,7;1042,9;22,3;21,2;23,5;22;21,5;20,7;94;88;93;28;19,9;14,5;
2023/01/02;2200 UTC;0;999;999,1;998,6;199,8;22;21;22,8;21,5;21,9;20,7;96;93;94;29;19,5;15,2;
2023/01/02;2300 UTC;0;999,1;999,2;998,8;10,4;22;20,8;22,3;21,7;21,1;20,3;94;91;93;28;19,5;16;
2023/01/03;0000 UTC;0;1000;1000;999,1;0;21,3;20,7;22;21,1;21;20,4;96;93;96;28;19,4;14,4;
2023/01/03;0100 UTC;0;1000;1000,1;999,7;0;21,6;20,9;21,8;21,2;21,1;20,5;97;95;96;29;19,1;16;
2023/01/03;0200 UTC;0;999,5;1000,3;999,5;0;21,4;20,6;21,7;21,3;21;20,5;96;95;95;21;19,1;14,6;
2023/01/03;0300 UTC;0;999,5;1000;999,5;0;22;20,8;22,4;21,3;21,4;20,5;96;92;93;18;17,3;12,5;
2023/01/03;0400 UTC;0;998,6;999,6;998,6;0;21,5;20,5;22,1;21,2;21;20,1;95;92;94;11;15,2;9,7;
2023/01/03;0500 UTC;0;999,1;999,1;998,2;0;21,5;20,7;21,9;21,4;21;20,5;95;94;95;350;11,3;5,9;
2023/01/03;0600 UTC;0;998,8;999,4;998,7;0;21,2;20,4;23,7;21,1;22,8;20,1;96;93;95;217;8,6;6;
2023/01/03;0700 UTC;0;999;999,1;998,7;0;22,1;21,5;22,1;21,2;21,5;20,5;96;95;96;221;8,1;4,6;
2023/01/03;0800 UTC;0;999,8;999,8;999;0;23,3;22;23,4;21,8;22,3;21;96;92;92;245;6,3;3;
2023/01/03;0900 UTC;0;1000,9;1000,9;999,6;37,5;23,2;21,8;23,5;23,1;22;21,7;92;91;92;267;4,9;1,8;
2023/01/03;1000 UTC;0;1001,9;1001,9;1000,9;399,6;24,6;22,3;24,8;23,2;22,9;21,8;92;87;87;268;4,5;2;
2023/01/03;1100 UTC;0;1002,2;1002,4;1001,9;538;22,8;21,1;24,6;22,8;22,3;21,1;90;86;90;231;12,1;7,9;
2023/01/03;1200 UTC;,2;1003,2;1003,2;1002,2;781;21,1;19,9;22,8;21;21,1;19,9;93;90;93;238;13,3;9,2;
2023/01/03;1300 UTC;0;1003,8;1003,8;1003,2;577,3;20,9;19,4;21,1;20,8;19,8;19,3;93;91;91;237;13,3;9;
2023/01/03;1400 UTC;;;;;;;;;;;;;;;;;;
2023/01/03;1500 UTC;0;1003,9;1003,9;1003,4;2724,4;21,7;19,5;23,3;21,7;20,5;19,4;87;83;87;233;12,6;7,5;
2023/01/03;1600 UTC;0;1003,3;1003,9;1003,3;2462;22,2;19,9;23,2;21,6;20,8;19,5;89;85;87;224;9,9;7,3;
2023/01/03;1700 UTC;0;1003;1003,4;1002,9;3426,3;23,4;20,3;24,3;22,2;21,2;19,9;88;81;83;218;9,4;5,1;
2023/01/03;1800 UTC;0;1002,6;1003;1002,5;3394,7;24;21;24,3;23,2;21,4;20,1;85;81;83;210;6,2;3,9;
2023/01/03;1900 UTC;0;1001,9;1002,7;1001,8;1222,6;22,1;20,1;24,2;22;21,1;19,8;88;82;88;204;6,2;5,4;
