Date;IPCA
05/2000;0.09
06/2000;0.08
07/2000;0.78
08/2000;1.99
09/2000;0.45
10/2000;0.18
11/2000;0.17
12/2000;0.60
01/2001;0.63
02/2001;0.50
03/2001;0.36
04/2001;0.50
05/2001;0.49
06/2001;0.38
07/2001;0.94
08/2001;1.18
09/2001;0.38
10/2001;0.37
11/2001;0.99
12/2001;0.55
01/2002;0.62
02/2002;0.44
03/2002;0.40
04/2002;0.78
05/2002;0.42
06/2002;0.33
07/2002;0.77
08/2002;1.00
09/2002;0.62
10/2002;0.90
11/2002;2.08
12/2002;3.05
01/2003;1.98
02/2003;2.19
03/2003;1.14
04/2003;1.14
05/2003;0.85
06/2003;0.22
07/2003;-0.18
08/2003;0.27
09/2003;0.57
10/2003;0.66
11/2003;0.17
12/2003;0.46
01/2004;0.68
02/2004;0.90
03/2004;0.40
04/2004;0.21
05/2004;0.54
06/2004;0.56
07/2004;0.93
08/2004;0.79
09/2004;0.49
10/2004;0.32
11/2004;0.63
12/2004;0.84
01/2005;0.68
02/2005;0.74
03/2005;0.35
04/2005;0.74
05/2005;0.83
06/2005;0.12
07/2005;0.11
08/2005;0.28
09/2005;0.16
10/2005;0.56
11/2005;0.78
12/2005;0.38
01/2006;0.51
02/2006;0.52
03/2006;0.37
04/2006;0.17
05/2006;0.27
06/2006;-0.15
07/2006;-0.02
08/2006;0.19
09/2006;0.05
10/2006;0.29
11/2006;0.37
12/2006;0.35
01/2007;0.52
02/2007;0.46
03/2007;0.41
04/2007;0.22
05/2007;0.26
06/2007;0.29
07/2007;0.24
08/2007;0.42
09/2007;0.29
10/2007;0.24
11/2007;0.23
12/2007;0.70
01/2008;0.70
02/2008;0.64
03/2008;0.23
04/2008;0.59
05/2008;0.56
06/2008;0.90
07/2008;0.63
08/2008;0.35
09/2008;0.26
10/2008;0.30
11/2008;0.49
12/2008;0.29
01/2009;0.40
02/2009;0.63
03/2009;0.11
04/2009;0.36
05/2009;0.59
06/2009;0.38
07/2009;0.22
08/2009;0.23
09/2009;0.19
10/2009;0.18
11/2009;0.44
12/2009;0.38
01/2010;0.52
02/2010;0.94
03/2010;0.55
04/2010;0.48
05/2010;0.63
06/2010;0.19
07/2010;-0.09
08/2010;-0.05
09/2010;0.31
10/2010;0.62
11/2010;0.86
12/2010;0.69
01/2011;0.76
02/2011;0.97
03/2011;0.60
04/2011;0.77
05/2011;0.70
06/2011;0.23
07/2011;0.10
08/2011;0.27
09/2011;0.53
10/2011;0.42
11/2011;0.46
12/2011;0.56
01/2012;0.65
02/2012;0.53
03/2012;0.25
04/2012;0.43
05/2012;0.51
06/2012;0.18
07/2012;0.33
08/2012;0.39
09/2012;0.48
10/2012;0.65
11/2012;0.54
12/2012;0.69
01/2013;0.88
02/2013;0.68
03/2013;0.49
04/2013;0.51
05/2013;0.46
06/2013;0.38
07/2013;0.07
08/2013;0.16
09/2013;0.27
10/2013;0.48
11/2013;0.57
12/2013;0.75
01/2014;0.67
02/2014;0.70
03/2014;0.73
04/2014;0.78
05/2014;0.58
06/2014;0.47
07/2014;0.17
08/2014;0.14
09/2014;0.39
10/2014;0.48
11/2014;0.38
12/2014;0.79
01/2015;0.89
02/2015;1.33
03/2015;1.24
04/2015;1.07
05/2015;0.60
06/2015;0.99
07/2015;0.59
08/2015;0.43
09/2015;0.39
10/2015;0.66
11/2015;0.85
12/2015;1.18
01/2016;0.92
02/2016;1.42
03/2016;0.43
04/2016;0.51
05/2016;0.86
06/2016;0.40
07/2016;0.54
08/2016;0.45
09/2016;0.23
10/2016;0.19
11/2016;0.26
12/2016;0.19
01/2017;0.31
02/2017;0.54
03/2017;0.15
04/2017;0.21
05/2017;0.24
06/2017;0.16
07/2017;-0.18
08/2017;0.35
09/2017;0.11
10/2017;0.34
11/2017;0.32
12/2017;0.35
01/2018;0.39
02/2018;0.38
03/2018;0.10
04/2018;0.21
05/2018;0.14
06/2018;1.11
07/2018;0.64
08/2018;0.13
09/2018;0.09
10/2018;0.58
11/2018;0.19
12/2018;-0.16
01/2019;0.30
02/2019;0.34
03/2019;0.54
04/2019;0.72
05/2019;0.35
06/2019;0.06
07/2019;0.09
08/2019;0.08
09/2019;0.09
10/2019;0.09
11/2019;0.14
12/2019;1.05
01/2020;0.71
02/2020;0.22
03/2020;0.02
04/2020;-0.01
05/2020;-0.59
06/2020;0.02
07/2020;0.30
08/2020;0.23
09/2020;0.45
10/2020;0.94
11/2020;0.81
12/2020;1.06
01/2021;0.78
02/2021;0.48
03/2021;0.93
04/2021;0.60
05/2021;0.44
06/2021;0.83
07/2021;0.72
08/2021;0.89
09/2021;1.14
10/2021;1.20
11/2021;1.17
12/2021;0.78
01/2022;0.58
02/2022;0.99
03/2022;0.95
04/2022;1.73
05/2022;0.59
06/2022;0.69
07/2022;0.13
08/2022;-0.73
09/2022;-0.37
10/2022;0.16
11/2022;0.53
12/2022;0.52
01/2023;0.55
02/2023;0.76
03/2023;0.69
04/2023;0.57
05/2023;0.51
06/2023;0.04
07/2023;-0.07
08/2023;0.28
09/2023;0.35
10/2023;0.21
11/2023;0.33
12/2023;0.40
01/2024;0.31
02/2024;0.78
03/2024;0.36
04/2024;0.21
05/2024;0.44
06/2024;0.39
07/2024;0.30
08/2024;0.19
09/2024;0.13
10/2024;0.54
11/2024;0.62
12/2024;0.34
01/2025;0.11
02/2025;1.23
03/2025;0.64
04/2025;0.43
05/2025;0.36
06/2025;0.26
07/2025;0.33
08/2025;-0.14
09/2025;0.48
10/2025;0.18
11/2025;0.20
12/2025;0.25
01/2026;0.20
02/2026;0.84
03/2026;0.44
04/2026;0.89
