"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2023";"0000";"19,2";"19,4";"19,2";"97,0";"97,0";"97,0";"18,8";"18,9";"18,8";"1006,5";"1006,6";"1006,4";"0,2";"12,0";"1,0";"";"0,0"
"01/10/2023";"0100";"19,3";"19,3";"19,1";"97,0";"97,0";"97,0";"18,8";"18,9";"18,7";"1006,6";"1006,8";"1006,4";"0,0";"20,0";"1,0";"";"0,0"
"01/10/2023";"0200";"19,2";"19,3";"19,1";"98,0";"98,0";"97,0";"18,8";"18,9";"18,7";"1006,6";"1006,7";"1006,5";"0,0";"185,0";"1,6";"";"0,0"
"01/10/2023";"0300";"19,1";"19,3";"19,1";"98,0";"98,0";"98,0";"18,8";"18,9";"18,8";"1006,0";"1006,6";"1006,0";"0,4";"225,0";"1,3";"";"0,0"
"01/10/2023";"0400";"19,1";"19,1";"19,0";"98,0";"98,0";"98,0";"18,7";"18,8";"18,7";"1005,3";"1006,0";"1005,3";"0,0";"203,0";"1,3";"";"0,0"
"01/10/2023";"0500";"19,0";"19,1";"19,0";"98,0";"98,0";"98,0";"18,7";"18,7";"18,7";"1004,6";"1005,3";"1004,6";"0,0";"227,0";"0,0";"";"1,0"
"01/10/2023";"0600";"19,0";"19,1";"19,0";"98,0";"98,0";"98,0";"18,7";"18,8";"18,7";"1004,1";"1004,6";"1004,0";"0,6";"220,0";"1,6";"";"0,4"
"01/10/2023";"0700";"19,0";"19,0";"19,0";"98,0";"98,0";"98,0";"18,7";"18,7";"18,6";"1004,0";"1004,2";"1003,8";"0,0";"322,0";"1,9";"";"0,2"
"01/10/2023";"0800";"19,0";"19,0";"19,0";"98,0";"98,0";"98,0";"18,7";"18,7";"18,7";"1004,2";"1004,2";"1003,9";"0,0";"167,0";"1,4";"";"0,8"
"01/10/2023";"0900";"19,0";"19,0";"18,9";"98,0";"98,0";"98,0";"18,6";"18,7";"18,6";"1004,7";"1004,8";"1004,2";"0,0";"140,0";"1,0";"";"0,6"
