codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A806,01/01/2020,23,24.5,24.9,24.3,86,87,84,22.0,22.5,21.8,1005.2,1005.5,1004.9,1.1,292,3.4,0.344,0.4
A806,01/01/2020,04,25.4,26.2,25.4,80,80,76,21.7,21.7,21.4,1007.4,1007.9,1007.4,3.4,347,7.9,-2.58,0.0
A806,01/01/2020,06,25.7,25.7,25.4,78,82,78,21.6,22.2,21.6,1006.3,1006.5,1006.3,1.9,336,5.6,-2.13,0.0
A806,01/01/2020,19,25.6,27.4,25.3,84,84,76,22.6,23.3,22.2,1002.9,1004.2,1002.8,1.6,326,6.0,211.0,1.0
A806,01/01/2020,20,26.6,26.9,25.5,76,84,76,22.0,23.0,21.9,1002.9,1002.9,1002.3,1.1,288,5.1,775.0,0.0
A806,01/01/2020,21,25.6,26.9,25.6,81,81,76,22.0,23.1,22.0,1004.6,1004.6,1002.8,1.8,316,5.7,163.6,0.2
A806,01/01/2020,11,26.3,26.3,25.8,75,78,75,21.6,21.8,21.2,1006.1,1006.1,1005.8,2.5,348,6.0,319.4,0.0
A806,01/01/2020,22,24.9,25.6,24.9,84,84,80,21.9,22.3,21.6,1005.4,1005.7,1004.6,0.9,319,5.7,5.342,1.8
A806,01/01/2020,07,25.6,25.8,25.6,77,78,76,21.2,21.6,21.2,1005.8,1006.3,1005.8,1.7,337,5.0,-2.55,0.0
A806,01/01/2020,05,25.4,25.4,25.3,82,82,80,22.0,22.1,21.7,1006.5,1007.4,1006.5,2.3,3,7.9,-2.76,0.0
A806,01/01/2020,08,25.7,25.7,25.6,78,78,76,21.4,21.4,21.2,1005.6,1005.9,1005.6,1.4,337,3.8,-3.06,0.0
A806,01/01/2020,09,25.7,25.7,25.5,78,79,78,21.6,21.6,21.4,1005.7,1005.7,1005.6,2.2,348,4.6,12.26,0.0
A806,01/01/2020,10,25.9,26.0,25.6,78,79,76,21.6,21.6,21.3,1005.8,1005.8,1005.5,2.5,359,6.0,154.7,0.0
A806,01/01/2020,01,26.5,26.5,26.3,74,76,74,21.5,21.8,21.5,1009.3,1009.5,1008.5,2.0,353,6.1,-2.45,0.0
A806,01/01/2020,12,27.3,27.3,26.3,71,75,71,21.7,21.9,21.4,1005.8,1006.2,1005.8,2.6,358,4.9,875.1,0.0
A806,01/01/2020,13,29.7,29.7,27.4,62,72,62,21.7,22.2,21.3,1005.5,1005.9,1005.5,1.9,27,4.8,1997.,0.0
A806,01/01/2020,14,30.0,30.3,29.2,61,65,60,21.6,22.3,21.2,1005.1,1005.5,1005.0,2.0,3,4.8,2202.,0.0
A806,01/01/2020,00,26.3,26.6,26.3,75,77,73,21.6,21.9,21.3,1008.5,1008.7,1007.7,3.1,351,6.1,-2.63,0.0
A806,01/01/2020,02,26.2,26.5,26.2,75,75,74,21.4,21.6,21.3,1008.6,1009.3,1008.5,3.1,360,7.4,-1.99,0.0
A806,01/01/2020,17,27.9,31.8,27.9,75,75,56,23.0,23.5,21.8,1003.3,1004.0,1003.3,3.2,352,7.2,1004.,0.0
A806,01/01/2020,15,32.4,32.5,30.1,54,61,54,21.8,22.2,21.0,1004.7,1005.1,1004.7,2.1,17,5.5,3697.,0.0
A806,01/01/2020,16,31.8,33.2,31.4,56,57,52,22.0,22.7,21.3,1004.0,1004.7,1004.0,2.4,7,5.8,3922.,0.0
A806,01/01/2020,03,26.2,26.3,26.2,76,76,75,21.6,21.6,21.4,1007.9,1008.6,1007.9,2.3,358,6.7,-2.04,0.0
A806,01/01/2020,18,27.3,28.5,27.3,76,76,73,22.7,23.7,22.7,1002.9,1003.3,1002.9,2.2,11,7.4,639.8,0.0
A806,02/01/2020,23,23.7,24.0,23.4,77,83,77,19.4,20.6,19.4,1011.6,1011.6,1011.0,4.5,162,12.8,5.874,0.0
A806,02/01/2020,03,24.4,25.4,24.4,82,85,81,21.2,22.6,21.1,1006.0,1006.7,1006.0,1.3,232,9.2,-3.21,0.8
A806,02/01/2020,09,24.1,24.1,23.4,85,86,82,21.4,21.4,20.8,1006.3,1006.3,1005.5,0.8,175,3.8,30.20,0.0
A806,02/01/2020,11,24.8,24.9,24.4,81,83,80,21.2,21.6,21.0,1007.9,1007.9,1007.3,4.6,160,10.4,634.3,0.0
A806,02/01/2020,00,24.1,24.5,24.0,87,87,86,21.7,22.1,21.5,1005.6,1005.6,1005.1,1.4,281,4.5,-2.88,0.0
A806,02/01/2020,02,25.1,25.2,24.4,84,86,83,22.1,22.3,21.6,1006.6,1006.8,1006.0,4.6,151,9.8,-0.44,0.0
A806,02/01/2020,12,25.4,25.4,24.7,78,81,77,21.2,21.3,20.7,1008.4,1008.5,1007.9,4.9,156,10.9,1158.,0.0
A806,02/01/2020,10,24.4,24.9,24.1,82,85,82,21.1,21.7,21.1,1007.3,1007.3,1006.3,4.5,150,9.5,269.6,0.0
A806,02/01/2020,13,25.5,25.7,25.2,76,78,75,20.9,21.4,20.7,1008.9,1008.9,1008.4,5.4,148,11.2,1604.,0.0
A806,02/01/2020,14,26.4,26.5,25.3,69,77,69,20.3,21.3,20.2,1008.9,1009.0,1008.8,4.8,153,11.9,2223.,0.0
A806,02/01/2020,15,26.2,26.6,26.0,72,73,69,20.8,21.0,20.2,1009.1,1009.2,1008.9,5.9,148,12.7,2003.,0.0
A806,02/01/2020,04,23.4,24.4,23.4,89,89,82,21.5,21.7,21.3,1005.1,1006.0,1005.1,2.4,292,4.3,-2.96,2.0
A806,02/01/2020,16,28.7,28.8,26.1,58,73,58,19.7,21.0,19.2,1008.9,1009.1,1008.9,4.8,153,10.9,2862.,0.0
A806,02/01/2020,17,25.9,29.4,25.9,72,73,52,20.4,21.3,18.3,1009.1,1009.2,1008.8,7.1,152,12.7,2583.,0.0
A806,02/01/2020,18,27.2,27.4,25.7,66,75,65,20.3,21.0,20.0,1009.3,1009.5,1009.0,5.2,163,13.9,1796.,0.0
A806,02/01/2020,19,25.7,27.5,25.7,71,75,65,20.0,21.5,20.0,1008.7,1009.3,1008.7,6.1,154,12.6,2570.,0.0
A806,02/01/2020,20,25.4,26.1,25.4,72,73,70,20.1,20.6,19.9,1009.3,1009.3,1008.7,5.3,155,12.6,1310.,0.0
A806,02/01/2020,21,24.7,25.6,24.7,75,75,72,19.9,20.6,19.7,1010.0,1010.1,1009.2,6.4,151,13.5,634.2,0.0
A806,02/01/2020,01,24.3,24.5,24.0,85,86,85,21.7,21.9,21.5,1006.0,1006.1,1005.6,0.5,328,2.7,-1.52,0.0
A806,02/01/2020,22,24.0,24.9,24.0,79,79,73,20.2,20.5,19.5,1011.0,1011.0,1010.0,6.1,158,13.3,193.5,0.0
A806,02/01/2020,05,23.5,23.6,23.2,87,89,87,21.2,21.4,21.2,1004.1,1005.1,1004.0,2.1,290,7.5,-3.20,0.4
A806,02/01/2020,06,23.7,23.8,23.4,86,87,85,21.2,21.3,21.0,1003.8,1004.1,1003.7,0.3,243,4.8,-2.88,0.4
A806,02/01/2020,07,23.9,24.3,23.6,85,86,85,21.3,21.9,21.1,1004.4,1004.4,1003.8,0.7,100,6.9,-2.64,0.0
A806,02/01/2020,08,23.6,23.9,23.5,85,88,85,21.0,21.5,21.0,1005.5,1005.5,1004.4,1.4,241,4.9,-3.53,0.0
A806,03/01/2020,05,22.1,22.9,22.0,86,87,83,19.6,20.3,19.6,1012.2,1012.5,1012.2,3.7,164,10.2,-1.87,0.6
A806,03/01/2020,06,22.0,22.7,21.8,87,87,85,19.7,20.3,19.5,1012.0,1012.3,1012.0,2.8,163,9.3,-2.57,0.4
A806,03/01/2020,07,22.4,22.6,22.0,83,87,83,19.4,19.8,19.4,1012.4,1012.4,1011.9,3.4,161,8.6,-3.08,0.0
A806,03/01/2020,12,24.7,24.9,23.9,74,77,73,19.7,20.3,18.9,1015.0,1015.0,1014.6,3.8,155,9.1,2265.,0.0
A806,03/01/2020,08,22.5,22.7,22.4,82,84,82,19.2,19.7,19.2,1012.9,1012.9,1012.3,2.7,163,7.7,-3.47,0.0
A806,03/01/2020,00,23.3,24.0,22.7,81,86,77,19.9,20.5,19.5,1012.5,1012.5,1011.5,4.8,165,12.2,-2.54,0.2
A806,03/01/2020,09,22.5,22.8,22.2,82,85,81,19.2,19.8,19.2,1013.5,1013.5,1012.9,3.3,156,8.4,45.28,0.0
A806,03/01/2020,03,23.6,23.6,23.2,79,83,78,19.8,20.3,19.2,1012.8,1013.0,1012.8,3.6,165,10.0,-3.53,0.0
A806,03/01/2020,10,24.1,24.1,22.5,75,82,74,19.3,19.7,18.8,1014.0,1014.0,1013.4,3.6,174,8.6,509.7,0.0
A806,03/01/2020,11,23.9,24.3,23.4,74,78,73,19.0,19.7,18.8,1014.6,1014.6,1014.0,4.2,166,9.6,1373.,0.0
A806,03/01/2020,13,24.0,24.7,23.0,72,78,72,18.6,19.8,18.4,1015.7,1015.7,1015.0,4.4,168,11.1,2141.,0.0
A806,03/01/2020,14,24.5,24.8,23.2,76,80,68,20.1,20.2,18.4,1015.6,1015.8,1015.5,3.1,171,9.4,2490.,0.0
