codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A857,01/01/2020,20,26.3,27.2,26.3,72,78,69,20.8,22.1,20.7,932.1,932.7,932.0,3.0,261,8.2,2254.,0.0
A857,01/01/2020,22,25.4,26.1,25.4,76,77,74,20.9,21.3,20.9,932.5,932.5,932.1,0.4,275,3.5,586.5,0.0
A857,01/01/2020,00,22.9,23.2,22.9,88,88,83,20.8,20.8,20.0,935.3,935.4,934.8,1.4,80,2.5,-3.46,0.0
A857,01/01/2020,13,24.2,24.9,24.2,85,85,77,21.5,21.6,20.4,936.0,936.0,935.1,4.3,268,5.9,1121.,0.0
A857,01/01/2020,14,21.5,24.2,21.4,94,94,84,20.5,21.7,20.1,935.9,936.2,935.9,2.5,273,8.7,370.5,1.6
A857,01/01/2020,15,22.3,22.3,21.5,92,97,92,20.8,21.4,20.5,935.3,936.0,935.3,1.1,341,4.3,552.4,2.0
A857,01/01/2020,16,23.6,23.8,22.3,92,95,86,22.3,22.3,21.0,935.2,935.3,935.0,0.0,78,2.9,1106.,0.0
A857,01/01/2020,17,23.9,24.0,23.2,87,93,87,21.6,22.3,21.4,934.5,935.2,934.5,0.6,245,2.0,640.8,0.0
A857,01/01/2020,23,23.9,25.4,23.9,83,83,76,20.9,21.2,20.9,933.1,933.2,932.5,1.6,254,2.1,34.09,0.0
A857,01/01/2020,02,23.2,23.4,23.0,80,83,80,19.6,20.1,19.6,935.7,935.8,935.4,0.9,58,2.6,-3.54,0.0
A857,01/01/2020,18,25.0,25.0,23.7,84,88,83,22.1,22.2,21.1,933.9,934.6,933.9,1.3,288,2.7,1354.,0.0
A857,01/01/2020,19,26.4,26.9,24.4,77,85,73,22.0,22.6,21.4,932.8,933.9,932.8,3.5,283,5.7,2617.,0.0
A857,01/01/2020,01,23.0,23.2,22.7,83,90,83,20.1,21.0,20.0,935.4,935.5,935.3,1.2,53,2.6,-3.48,0.0
A857,01/01/2020,21,26.1,26.5,25.5,74,76,72,21.1,21.4,20.8,932.2,932.3,932.1,2.1,248,5.0,1090.,0.0
A857,01/01/2020,03,23.5,23.6,22.8,78,82,78,19.6,19.7,19.6,935.4,935.7,935.4,1.8,9,3.0,-3.54,0.0
A857,01/01/2020,04,23.6,23.6,23.4,77,78,77,19.3,19.6,19.3,934.9,935.4,934.9,1.9,1,4.0,-3.54,0.0
A857,01/01/2020,05,23.2,23.7,23.2,79,79,76,19.3,19.3,19.2,934.5,935.0,934.5,1.6,324,2.7,-3.50,0.0
