codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A302,01/01/2020,21,25.0,25.1,24.8,,,,,,,1012.2,1012.2,1011.4,4.3,96,5.4,2.532,0.6
A302,01/01/2020,01,25.3,25.5,25.0,,,,,,,1010.5,1011.0,1010.5,2.8,134,6.2,12.25,2.2
A302,01/01/2020,02,25.3,25.3,25.1,,,,,,,1010.0,1010.5,1010.0,3.4,159,4.7,18.09,0.0
A302,01/01/2020,03,25.6,25.6,25.3,,,,,,,1009.3,1010.0,1009.3,2.8,179,4.8,25.96,0.4
A302,01/01/2020,18,25.2,25.3,24.9,100,,,25.2,,,1009.9,1009.9,1009.2,3.0,57,4.0,136.8,0.2
A302,01/01/2020,19,25.3,25.5,25.2,,,,,,,1010.7,1010.7,1009.9,3.1,96,4.5,53.37,0.2
A302,01/01/2020,20,24.9,25.4,24.8,,,,,,,1011.4,1011.4,1010.7,3.6,89,5.4,1.534,2.2
A302,01/01/2020,04,25.5,25.8,25.5,,,,,,,1009.2,1009.3,1009.0,4.0,172,5.1,34.45,0.2
A302,01/01/2020,09,26.6,26.9,26.3,100,100,100,26.6,26.9,26.3,1011.3,1011.3,1010.6,2.4,187,3.4,568.8,0.0
A302,01/01/2020,05,25.8,25.8,25.5,100,,,25.8,,,1009.3,1009.4,1009.2,3.8,172,5.3,41.89,0.2
A302,01/01/2020,06,26.0,26.0,25.8,100,100,100,26.0,26.0,25.8,1009.2,1009.3,1009.2,2.6,135,4.8,54.21,0.0
A302,01/01/2020,07,26.1,26.2,25.7,100,100,100,26.1,26.2,25.7,1009.9,1009.9,1009.2,1.6,186,3.6,63.83,0.0
A302,01/01/2020,08,26.3,26.4,26.1,100,100,100,26.3,26.4,26.1,1010.6,1010.6,1009.9,2.1,201,3.5,153.4,0.0
A302,01/01/2020,22,24.8,25.2,24.8,,,,,,,1012.5,1012.5,1012.2,5.6,116,8.4,3.977,0.6
A302,01/01/2020,10,25.0,26.8,25.0,100,100,100,25.0,26.8,25.0,1011.7,1011.8,1011.3,5.5,160,9.1,368.1,2.0
A302,01/01/2020,11,26.6,26.6,24.9,,,,,,,1011.7,1011.7,1011.6,2.9,146,6.9,1181.,0.6
A302,01/01/2020,12,26.5,27.4,26.5,100,100,86,26.5,27.4,23.9,1011.6,1011.7,1011.6,3.4,163,4.9,1405.,0.0
A302,01/01/2020,13,25.7,26.6,25.6,100,100,100,25.7,26.6,25.6,1011.2,1011.6,1011.2,2.2,191,5.1,982.9,0.4
A302,01/01/2020,14,24.2,25.7,23.5,,100,93,,25.7,23.0,1010.9,1011.3,1010.8,7.4,343,11.9,942.1,0.0
A302,01/01/2020,00,25.1,25.6,25.0,,,,,,,1011.0,1011.0,1010.9,4.8,133,9.2,9.899,1.0
A302,01/01/2020,15,24.7,24.7,23.8,,,,,,,1010.1,1010.9,1010.0,6.7,339,9.4,1413.,0.0
A302,01/01/2020,16,24.8,24.8,24.4,,,,,,,1009.5,1010.2,1009.4,3.7,331,8.3,500.0,0.2
A302,01/01/2020,17,24.9,25.2,24.6,,,,,,,1009.2,1009.5,1009.2,2.2,15,4.8,211.0,0.2
A302,02/01/2020,07,26.2,26.2,25.9,100,100,100,26.2,26.2,25.9,1009.7,1009.7,1009.2,5.4,85,7.5,-3.41,0.0
A302,02/01/2020,09,27.0,27.0,26.3,100,100,100,27.0,27.0,26.3,1010.9,1010.9,1010.4,7.1,93,8.9,851.7,0.0
A302,02/01/2020,21,27.6,27.7,27.5,,,,,,,1011.0,1011.0,1010.2,6.1,87,8.3,-3.60,0.0
A302,02/01/2020,00,25.0,25.1,24.8,,,,,,,1011.9,1012.3,1011.9,3.6,121,6.5,5.693,0.0
A302,02/01/2020,10,27.4,27.5,27.0,100,100,100,27.4,27.5,27.0,1010.9,1011.2,1010.9,6.7,106,8.5,1658.,0.0
A302,02/01/2020,01,25.3,25.3,25.0,,,,,,,1011.5,1011.9,1011.5,3.8,84,5.4,4.142,0.0
A302,02/01/2020,11,28.4,28.4,27.4,98,100,97,28.0,28.0,27.4,1010.5,1010.9,1010.5,4.8,92,8.5,2717.,0.0
A302,02/01/2020,12,28.6,29.0,28.3,,98,92,,27.9,27.3,1010.3,1010.6,1010.3,4.8,113,6.1,2691.,0.0
A302,02/01/2020,08,26.3,26.4,26.0,100,100,100,26.3,26.4,26.1,1010.4,1010.4,1009.5,7.3,82,9.1,144.4,0.0
A302,02/01/2020,13,29.6,29.8,28.6,,,,,,,1010.0,1010.3,1010.0,3.8,128,6.1,2507.,0.0
A302,02/01/2020,14,30.0,30.2,29.5,,,,,,,1009.5,1010.1,1009.5,4.2,121,5.3,2530.,0.0
A302,02/01/2020,15,30.0,30.3,29.7,,,,,,,1008.8,1009.5,1008.8,4.5,117,5.7,2851.,0.0
A302,02/01/2020,02,25.6,25.6,25.2,,,,,,,1010.6,1011.5,1010.6,5.0,87,6.7,3.397,0.0
A302,02/01/2020,16,29.7,30.2,29.5,,,,,,,1008.6,1008.8,1008.6,4.3,107,6.1,2613.,0.0
A302,02/01/2020,17,29.1,29.7,29.1,,,,,,,1008.6,1008.7,1008.5,4.8,111,6.1,1762.,0.0
A302,02/01/2020,18,28.5,29.2,28.5,,,,,,,1009.1,1009.1,1008.6,4.9,94,6.0,1120.,0.0
A302,02/01/2020,19,27.9,28.6,27.8,,,,,,,1009.5,1009.5,1009.1,5.5,91,6.9,283.8,0.0
A302,02/01/2020,20,27.6,27.9,27.5,,,,,,,1010.2,1010.3,1009.5,6.4,92,7.8,-1.98,0.0
A302,02/01/2020,03,25.7,26.0,25.5,100,100,83,25.7,25.9,22.5,1009.7,1010.6,1009.7,5.4,84,7.5,0.391,0.0
A302,02/01/2020,04,25.9,26.0,25.7,100,100,100,25.9,26.0,25.8,1009.5,1009.7,1009.5,6.5,100,8.5,-3.57,0.0
A302,02/01/2020,05,25.8,26.0,25.7,100,100,100,25.8,26.0,25.7,1009.2,1009.5,1009.1,5.3,95,8.4,-3.59,0.0
A302,02/01/2020,22,27.5,27.7,27.2,,,,,,,1011.5,1011.6,1011.0,5.9,90,7.6,-3.52,0.0
