"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2025";"0000";"27,2";"28,0";"27,2";"59,0";"59,0";"57,0";"18,5";"18,8";"18,5";"996,4";"996,4";"995,5";"3,9";"107,0";"10,0";"";"0,0"
"01/10/2025";"0100";"26,4";"27,1";"26,4";"63,0";"63,0";"59,0";"18,6";"18,6";"18,5";"996,9";"996,9";"996,4";"4,2";"104,0";"9,5";"";"0,0"
"01/10/2025";"0200";"26,1";"26,4";"26,1";"63,0";"63,0";"62,0";"18,5";"18,7";"18,5";"996,8";"996,9";"996,8";"4,3";"110,0";"11,5";"";"0,0"
"01/10/2025";"0300";"25,7";"26,1";"25,7";"63,0";"63,0";"62,0";"18,1";"18,5";"18,1";"996,4";"996,8";"996,4";"4,6";"122,0";"9,3";"";"0,0"
"01/10/2025";"0400";"25,3";"25,7";"25,1";"64,0";"65,0";"63,0";"17,9";"18,1";"17,9";"995,9";"996,4";"995,9";"2,8";"102,0";"8,7";"";"0,0"
"01/10/2025";"0500";"25,2";"25,4";"25,2";"63,0";"64,0";"63,0";"17,7";"17,9";"17,7";"995,4";"995,9";"995,4";"3,1";"111,0";"8,1";"";"0,0"
"01/10/2025";"0600";"24,5";"25,2";"24,5";"63,0";"64,0";"63,0";"17,1";"17,8";"17,1";"995,2";"995,4";"995,2";"3,4";"123,0";"7,1";"";"0,0"
"01/10/2025";"0700";"23,8";"24,4";"23,8";"65,0";"66,0";"63,0";"16,8";"17,1";"16,8";"995,6";"995,6";"995,1";"1,8";"138,0";"6,9";"";"0,0"
"01/10/2025";"0800";"23,6";"24,0";"23,6";"65,0";"65,0";"63,0";"16,5";"16,8";"16,5";"995,8";"995,8";"995,6";"2,0";"123,0";"6,1";"";"0,0"
"01/10/2025";"0900";"23,3";"23,6";"22,9";"66,0";"67,0";"65,0";"16,6";"16,6";"16,4";"996,4";"996,4";"995,8";"1,2";"133,0";"3,9";"25,70";"0,0"
"01/10/2025";"1000";"25,9";"25,9";"23,3";"56,0";"66,0";"56,0";"16,5";"16,7";"16,3";"997,3";"997,3";"996,4";"2,0";"139,0";"3,3";"624,50";"0,0"
