"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2025";"0000";"27,2";"27,3";"26,8";"85,0";"86,0";"80,0";"24,5";"24,5";"23,4";"1006,0";"1006,0";"1005,4";"1,3";"240,0";"3,4";"";"0,0"
"01/10/2025";"0100";"26,5";"27,2";"26,5";"85,0";"86,0";"85,0";"23,8";"24,5";"23,8";"1006,5";"1006,5";"1006,0";"0,7";"217,0";"3,4";"";"0,0"
"01/10/2025";"0200";"26,4";"26,7";"26,3";"83,0";"86,0";"80,0";"23,2";"23,8";"22,9";"1007,4";"1007,4";"1006,5";"0,9";"199,0";"2,4";"";"0,0"
"01/10/2025";"0300";"26,2";"26,6";"25,9";"85,0";"88,0";"83,0";"23,6";"23,9";"23,3";"1006,7";"1007,5";"1006,7";"0,8";"208,0";"2,5";"";"0,0"
"01/10/2025";"0400";"25,5";"26,3";"25,5";"90,0";"90,0";"85,0";"23,6";"23,7";"23,5";"1006,6";"1006,9";"1006,6";"0,2";"257,0";"1,8";"";"0,0"
"01/10/2025";"0500";"25,1";"25,5";"25,1";"91,0";"92,0";"90,0";"23,6";"23,8";"23,6";"1005,9";"1006,7";"1005,9";"0,3";"241,0";"1,0";"";"0,0"
"01/10/2025";"0600";"25,1";"25,2";"25,0";"92,0";"93,0";"91,0";"23,8";"23,8";"23,6";"1005,3";"1005,9";"1005,3";"0,5";"246,0";"1,5";"";"0,0"
"01/10/2025";"0700";"25,3";"25,5";"25,1";"92,0";"92,0";"91,0";"23,9";"24,1";"23,6";"1005,1";"1005,3";"1005,0";"0,3";"220,0";"1,7";"";"0,0"
"01/10/2025";"0800";"24,9";"25,3";"24,9";"95,0";"95,0";"92,0";"24,0";"24,1";"23,9";"1005,5";"1005,5";"1005,0";"0,3";"269,0";"1,4";"";"0,0"
"01/10/2025";"0900";"25,2";"25,2";"24,9";"95,0";"96,0";"95,0";"24,4";"24,4";"24,0";"1006,2";"1006,2";"1005,5";"0,5";"15,0";"0,8";"";"0,0"
"01/10/2025";"1000";"25,2";"25,3";"24,9";"95,0";"96,0";"95,0";"24,2";"24,4";"24,1";"1006,8";"1006,8";"1006,2";"0,7";"45,0";"1,2";"6,90";"0,0"
"01/10/2025";"1100";"26,8";"26,8";"25,2";"88,0";"95,0";"88,0";"24,8";"25,1";"24,2";"1007,9";"1007,9";"1006,7";"0,3";"264,0";"1,1";"234,40";"0,0"
"01/10/2025";"1200";"28,2";"28,5";"26,8";"73,0";"88,0";"72,0";"22,9";"24,6";"22,8";"1008,6";"1008,6";"1007,9";"1,1";"227,0";"3,2";"712,60";"0,0"
"01/10/2025";"1300";"30,4";"30,4";"28,2";"72,0";"78,0";"70,0";"24,8";"25,2";"22,3";"1009,2";"1009,2";"1008,6";"1,1";"244,0";"3,9";"1764,70";"0,0"
"01/10/2025";"1400";"29,9";"30,9";"29,9";"70,0";"73,0";"66,0";"23,9";"25,0";"23,1";"1009,1";"1009,5";"1009,1";"1,3";"219,0";"4,9";"1950,50";"0,0"
