codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A899,01/01/2020,20,22.7,22.8,22.4,85,87,84,20.0,20.4,19.8,1009.2,1009.2,1008.9,10.3,162,14.4,2007.,0.0
A899,01/01/2020,01,21.8,22.8,21.8,97,97,96,21.2,22.2,21.2,1003.9,1003.9,1003.1,5.8,79,11.3,-1.76,5.8
A899,01/01/2020,22,22.1,22.7,22.1,85,86,83,19.5,20.1,19.3,1010.0,1010.0,1009.4,8.9,155,12.9,732.1,0.0
A899,01/01/2020,13,23.1,23.5,22.2,88,91,87,21.1,21.4,20.5,1007.9,1007.9,1007.1,9.3,157,13.8,1566.,0.0
A899,01/01/2020,14,22.7,23.6,22.6,89,90,87,20.8,21.5,20.6,1008.3,1008.3,1007.9,10.5,165,13.6,2116.,0.0
A899,01/01/2020,02,21.4,21.9,21.4,97,97,97,20.9,21.4,20.9,1004.0,1004.3,1003.8,5.4,81,9.4,-1.12,18.4
A899,01/01/2020,15,22.9,23.3,22.5,87,90,86,20.7,21.2,20.6,1008.5,1008.6,1008.2,11.2,168,13.6,2227.,0.0
A899,01/01/2020,16,23.1,23.4,22.7,87,89,86,20.8,21.2,20.5,1008.9,1008.9,1008.5,10.5,167,13.6,2410.,0.0
A899,01/01/2020,17,22.5,23.3,21.9,91,93,87,20.9,21.1,20.5,1009.2,1009.2,1008.9,11.5,168,14.1,1343.,0.0
A899,01/01/2020,00,22.6,23.2,22.6,96,96,95,21.9,22.4,21.8,1003.3,1003.3,1002.2,3.2,76,7.1,-1.90,1.2
A899,01/01/2020,03,21.5,21.5,21.3,98,98,97,21.1,21.1,20.9,1004.4,1004.4,1004.0,3.8,94,7.9,-1.65,2.0
A899,01/01/2020,19,22.6,22.7,21.8,87,91,87,20.3,20.8,20.1,1009.0,1009.3,1009.0,11.2,164,15.2,1663.,0.0
A899,01/01/2020,23,21.8,22.2,21.7,87,88,85,19.5,19.8,19.5,1010.8,1010.8,1010.0,8.6,155,12.1,106.7,0.0
A899,01/01/2020,18,22.1,22.7,21.7,90,93,89,20.4,21.0,20.2,1009.2,1009.3,1009.1,12.1,166,15.5,1294.,0.2
A899,01/01/2020,21,22.5,22.9,22.2,84,86,84,19.7,20.3,19.6,1009.4,1009.5,1009.2,9.5,158,13.4,1366.,0.0
A899,01/01/2020,04,21.7,21.7,21.4,98,98,98,21.4,21.4,21.0,1004.2,1004.5,1004.2,1.6,119,5.6,-1.16,0.0
A899,01/01/2020,05,21.9,22.0,21.7,98,98,98,21.6,21.7,21.4,1004.2,1004.3,1004.2,7.4,141,9.6,-0.61,0.0
