"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2022";"0000";"24,0";"24,3";"24,0";"87,0";"87,0";"84,0";"21,6";"21,6";"21,3";"1011,3";"1011,3";"1010,8";"2,1";"194,0";"3,4";"";"0,0"
"01/06/2022";"0100";"23,8";"24,0";"23,8";"87,0";"87,0";"87,0";"21,5";"21,8";"21,5";"1011,6";"1011,7";"1011,3";"1,8";"138,0";"3,5";"";"0,0"
"01/06/2022";"0200";"23,5";"23,9";"23,5";"87,0";"87,0";"86,0";"21,2";"21,5";"21,2";"1011,6";"1011,7";"1011,5";"3,4";"179,0";"5,3";"";"0,0"
"01/06/2022";"0300";"23,0";"23,5";"23,0";"85,0";"87,0";"85,0";"20,3";"21,2";"20,3";"1011,3";"1011,6";"1011,3";"3,3";"165,0";"5,4";"";"0,0"
"01/06/2022";"0400";"22,6";"23,0";"22,6";"87,0";"87,0";"85,0";"20,3";"20,3";"20,1";"1011,3";"1011,4";"1011,1";"2,0";"198,0";"5,2";"";"0,0"
"01/06/2022";"0500";"22,4";"22,6";"22,4";"87,0";"87,0";"87,0";"20,1";"20,4";"20,1";"1010,8";"1011,3";"1010,8";"3,0";"205,0";"5,4";"";"0,0"
"01/06/2022";"0600";"22,1";"22,4";"22,0";"90,0";"90,0";"87,0";"20,3";"20,3";"20,1";"1010,6";"1010,8";"1010,5";"2,0";"171,0";"5,4";"";"0,0"
"01/06/2022";"0700";"22,0";"22,1";"22,0";"91,0";"91,0";"90,0";"20,4";"20,5";"20,3";"1011,0";"1011,0";"1010,6";"1,3";"219,0";"3,6";"";"0,0"
"01/06/2022";"0800";"21,7";"22,0";"21,7";"92,0";"92,0";"91,0";"20,4";"20,4";"20,3";"1011,5";"1011,5";"1011,0";"1,3";"253,0";"2,2";"";"0,0"
"01/06/2022";"0900";"21,6";"21,7";"21,6";"93,0";"93,0";"92,0";"20,4";"20,4";"20,3";"1011,7";"1011,8";"1011,5";"0,8";"202,0";"2,2";"";"0,0"
"01/06/2022";"1000";"21,7";"21,7";"21,4";"94,0";"94,0";"93,0";"20,7";"20,7";"20,2";"1012,2";"1012,2";"1011,7";"1,2";"213,0";"1,8";"121,00";"0,0"
"01/06/2022";"1100";"22,1";"22,2";"21,7";"90,0";"94,0";"90,0";"20,4";"20,9";"20,4";"1013,1";"1013,1";"1012,2";"1,5";"217,0";"3,1";"426,30";"0,0"
"01/06/2022";"1200";"24,0";"24,0";"22,1";"73,0";"90,0";"73,0";"18,8";"20,6";"18,6";"1013,6";"1013,6";"1013,1";"2,3";"203,0";"4,2";"1461,00";"0,0"
"01/06/2022";"1300";"24,8";"24,8";"23,9";"68,0";"73,0";"68,0";"18,5";"19,0";"18,3";"1013,5";"1013,6";"1013,5";"1,4";"261,0";"4,2";"1088,30";"0,0"
"01/06/2022";"1400";"26,3";"26,4";"24,8";"59,0";"69,0";"59,0";"17,7";"18,9";"17,7";"1012,7";"1013,5";"1012,7";"2,0";"287,0";"4,4";"1931,30";"0,0"
"01/06/2022";"1500";"26,3";"27,0";"26,0";"58,0";"61,0";"56,0";"17,4";"18,1";"17,3";"1011,9";"1012,7";"1011,9";"2,7";"290,0";"4,6";"1675,90";"0,0"
"01/06/2022";"1600";"27,9";"28,1";"26,2";"50,0";"59,0";"47,0";"16,5";"17,8";"15,7";"1010,7";"1011,9";"1010,7";"2,8";"293,0";"5,8";"1653,80";"0,0"
"01/06/2022";"1700";"28,0";"28,8";"27,9";"47,0";"50,0";"45,0";"15,6";"16,6";"15,3";"1010,1";"1010,7";"1010,1";"3,0";"299,0";"6,5";"2102,20";"0,0"
"01/06/2022";"1800";"29,0";"29,0";"27,7";"44,0";"48,0";"43,0";"15,5";"15,7";"15,1";"1009,7";"1010,1";"1009,7";"2,1";"291,0";"4,4";"1640,60";"0,0"
"01/06/2022";"1900";"28,8";"29,5";"28,5";"44,0";"46,0";"42,0";"15,4";"16,1";"14,8";"1009,6";"1009,7";"1009,3";"1,2";"285,0";"3,7";"1130,00";"0,0"
"01/06/2022";"2000";"26,4";"28,8";"26,4";"59,0";"59,0";"43,0";"17,8";"18,1";"15,0";"1009,4";"1009,7";"1009,4";"3,6";"77,0";"7,3";"281,20";"0,0"
"01/06/2022";"2100";"24,3";"26,4";"24,3";"75,0";"75,0";"59,0";"19,5";"19,5";"17,8";"1010,3";"1010,3";"1009,4";"3,4";"85,0";"6,2";"4,30";"0,0"
"01/06/2022";"2200";"23,2";"24,3";"23,2";"84,0";"84,0";"75,0";"20,3";"20,3";"19,5";"1011,1";"1011,1";"1010,3";"3,0";"94,0";"5,1";"";"0,0"
"01/06/2022";"2300";"22,6";"23,2";"22,6";"87,0";"87,0";"84,0";"20,3";"20,4";"20,3";"1011,5";"1011,5";"1011,0";"2,3";"104,0";"4,2";"";"0,0"
"02/06/2022";"0000";"22,6";"22,6";"22,5";"90,0";"90,0";"87,0";"20,8";"20,8";"20,3";"1011,9";"1011,9";"1011,5";"1,0";"90,0";"3,0";"";"0,0"
"02/06/2022";"0100";"22,3";"22,8";"22,3";"89,0";"90,0";"89,0";"20,4";"21,0";"20,3";"1012,1";"1012,1";"1011,9";"1,3";"218,0";"2,2";"";"0,0"
"02/06/2022";"0200";"21,5";"22,4";"21,5";"90,0";"90,0";"88,0";"19,8";"20,5";"19,8";"1011,9";"1012,1";"1011,9";"0,9";"239,0";"2,6";"";"0,0"
"02/06/2022";"0300";"21,6";"21,7";"21,5";"92,0";"92,0";"90,0";"20,2";"20,3";"19,8";"1011,9";"1012,0";"1011,9";"1,3";"243,0";"1,9";"";"0,0"
"02/06/2022";"0400";"21,4";"21,6";"21,2";"94,0";"94,0";"92,0";"20,4";"20,6";"20,0";"1011,6";"1011,9";"1011,6";"0,7";"238,0";"1,9";"";"0,0"
"02/06/2022";"0500";"21,3";"21,7";"21,3";"96,0";"96,0";"94,0";"20,7";"20,9";"20,5";"1011,0";"1011,6";"1011,0";"0,9";"286,0";"1,5";"";"0,0"
"02/06/2022";"0600";"22,0";"22,1";"21,2";"97,0";"97,0";"96,0";"21,6";"21,7";"20,6";"1010,5";"1011,0";"1010,5";"1,9";"305,0";"2,8";"";"0,0"
"02/06/2022";"0700";"21,5";"22,3";"21,5";"98,0";"98,0";"97,0";"21,1";"21,9";"21,1";"1010,1";"1010,5";"1010,1";"1,4";"340,0";"3,5";"";"0,0"
"02/06/2022";"0800";"22,3";"22,3";"21,4";"99,0";"99,0";"98,0";"22,1";"22,1";"21,1";"1010,3";"1010,3";"1010,1";"2,3";"300,0";"3,0";"";"0,0"
"02/06/2022";"0900";"22,0";"22,3";"22,0";"97,0";"99,0";"97,0";"21,4";"22,1";"21,4";"1010,4";"1010,4";"1010,2";"2,8";"306,0";"3,8";"";"0,0"
"02/06/2022";"1000";"22,2";"22,2";"21,9";"93,0";"97,0";"93,0";"21,1";"21,5";"21,0";"1010,8";"1010,8";"1010,4";"2,3";"300,0";"4,4";"162,00";"0,0"
"02/06/2022";"1100";"23,2";"23,2";"22,2";"82,0";"93,0";"82,0";"19,9";"21,1";"19,7";"1011,4";"1011,4";"1010,8";"3,5";"311,0";"5,6";"833,50";"0,0"
"02/06/2022";"1200";"24,0";"24,1";"23,1";"73,0";"81,0";"73,0";"18,8";"19,8";"18,8";"1011,9";"1011,9";"1011,4";"4,6";"311,0";"6,1";"1566,10";"0,0"
"02/06/2022";"1300";"25,2";"25,4";"24,0";"68,0";"73,0";"67,0";"18,9";"19,3";"18,8";"1011,5";"1012,0";"1011,5";"4,8";"306,0";"7,2";"2182,30";"0,0"
"02/06/2022";"1400";"26,4";"26,6";"25,1";"61,0";"68,0";"60,0";"18,2";"19,1";"18,2";"1011,0";"1011,6";"1011,0";"5,1";"308,0";"6,8";"2495,40";"0,0"
"02/06/2022";"1500";"27,8";"28,0";"26,3";"55,0";"63,0";"55,0";"18,0";"18,8";"18,0";"1010,1";"1011,0";"1010,1";"4,3";"307,0";"7,0";"2663,90";"0,0"
"02/06/2022";"1600";"29,0";"29,0";"27,7";"51,0";"56,0";"48,0";"17,9";"18,2";"16,9";"1009,0";"1010,1";"1009,0";"4,7";"310,0";"6,9";"2522,40";"0,0"
"02/06/2022";"1700";"29,7";"30,0";"29,0";"46,0";"51,0";"45,0";"16,8";"17,6";"16,6";"1008,3";"1009,0";"1008,3";"5,3";"315,0";"7,9";"2302,60";"0,0"
"02/06/2022";"1800";"29,9";"30,0";"29,6";"45,0";"47,0";"43,0";"16,7";"17,1";"16,0";"1007,9";"1008,4";"1007,9";"4,8";"317,0";"7,9";"1737,60";"0,0"
"02/06/2022";"1900";"29,7";"30,1";"29,5";"45,0";"48,0";"43,0";"16,5";"17,3";"15,9";"1008,1";"1008,1";"1007,9";"3,7";"330,0";"6,7";"1044,70";"0,0"
"02/06/2022";"2000";"27,7";"29,7";"27,7";"54,0";"54,0";"45,0";"17,4";"17,4";"16,2";"1008,4";"1008,4";"1008,0";"3,0";"15,0";"5,0";"316,70";"0,0"
"02/06/2022";"2100";"26,2";"27,7";"26,2";"61,0";"61,0";"54,0";"18,1";"18,2";"17,5";"1009,1";"1009,1";"1008,4";"1,6";"38,0";"4,4";"3,30";"0,0"
"02/06/2022";"2200";"24,2";"26,2";"24,2";"80,0";"80,0";"61,0";"20,5";"20,5";"18,1";"1009,7";"1009,7";"1009,1";"3,0";"52,0";"4,8";"";"0,0"
"02/06/2022";"2300";"23,6";"24,2";"23,6";"87,0";"87,0";"80,0";"21,3";"21,3";"20,6";"1010,3";"1010,3";"1009,7";"2,8";"51,0";"5,2";"";"0,0"
"03/06/2022";"0000";"23,2";"23,6";"23,1";"89,0";"89,0";"87,0";"21,3";"21,5";"21,2";"1010,7";"1010,7";"1010,3";"1,4";"357,0";"4,6";"";"0,0"
"03/06/2022";"0100";"22,6";"23,2";"22,6";"92,0";"92,0";"89,0";"21,2";"21,3";"21,0";"1010,8";"1010,9";"1010,7";"1,2";"337,0";"2,4";"";"0,0"
"03/06/2022";"0200";"22,6";"22,7";"22,5";"93,0";"93,0";"92,0";"21,4";"21,5";"21,1";"1010,8";"1011,0";"1010,8";"1,7";"325,0";"2,3";"";"0,0"
"03/06/2022";"0300";"22,6";"22,6";"22,4";"95,0";"95,0";"93,0";"21,7";"21,7";"21,3";"1010,9";"1011,0";"1010,8";"2,6";"324,0";"3,7";"";"0,0"
"03/06/2022";"0400";"22,9";"23,0";"22,5";"97,0";"97,0";"95,0";"22,4";"22,4";"21,7";"1011,3";"1011,3";"1010,9";"2,3";"306,0";"4,2";"";"0,0"
"03/06/2022";"0500";"22,8";"23,1";"22,8";"98,0";"98,0";"97,0";"22,5";"22,6";"22,4";"1011,3";"1011,5";"1011,3";"1,9";"188,0";"4,4";"";"0,0"
"03/06/2022";"0600";"22,5";"22,9";"22,5";"98,0";"98,0";"98,0";"22,1";"22,6";"22,1";"1011,0";"1011,3";"1010,9";"0,9";"124,0";"2,9";"";"0,0"
"03/06/2022";"0700";"22,9";"22,9";"22,5";"98,0";"98,0";"98,0";"22,5";"22,5";"22,1";"1011,0";"1011,0";"1010,8";"1,3";"151,0";"2,1";"";"0,0"
"03/06/2022";"0800";"22,6";"23,0";"22,6";"95,0";"98,0";"95,0";"21,8";"22,5";"21,8";"1011,2";"1011,2";"1011,0";"1,3";"208,0";"2,6";"";"0,0"
"03/06/2022";"0900";"22,1";"22,6";"22,1";"85,0";"95,0";"85,0";"19,5";"21,7";"19,5";"1011,5";"1011,5";"1011,2";"1,9";"187,0";"3,3";"1,20";"0,2"
"03/06/2022";"1000";"22,4";"22,4";"21,7";"84,0";"87,0";"84,0";"19,5";"19,7";"19,2";"1012,3";"1012,3";"1011,4";"0,6";"121,0";"2,7";"147,60";"0,0"
"03/06/2022";"1100";"23,4";"23,7";"22,4";"74,0";"84,0";"74,0";"18,6";"20,1";"18,5";"1012,4";"1012,4";"1012,2";"1,3";"219,0";"2,1";"691,40";"0,0"
"03/06/2022";"1200";"24,6";"24,7";"23,4";"66,0";"74,0";"66,0";"17,8";"18,8";"17,7";"1012,7";"1012,7";"1012,4";"1,1";"201,0";"2,1";"1360,60";"0,0"
"03/06/2022";"1300";"25,7";"25,8";"24,6";"63,0";"68,0";"63,0";"18,2";"18,7";"17,6";"1012,8";"1012,9";"1012,7";"1,8";"188,0";"4,3";"1588,90";"0,0"
"03/06/2022";"1400";"26,4";"27,4";"25,6";"58,0";"64,0";"54,0";"17,6";"18,4";"16,5";"1012,4";"1012,8";"1012,4";"1,8";"235,0";"4,3";"2250,80";"0,0"
"03/06/2022";"1500";"27,6";"27,8";"26,3";"54,0";"60,0";"50,0";"17,3";"18,0";"16,2";"1011,8";"1012,4";"1011,8";"2,8";"295,0";"4,6";"2579,90";"0,0"
"03/06/2022";"1600";"28,9";"29,1";"27,6";"49,0";"55,0";"47,0";"17,1";"17,8";"16,5";"1010,9";"1011,8";"1010,9";"1,5";"222,0";"4,6";"2599,70";"0,0"
"03/06/2022";"1700";"29,4";"29,9";"28,6";"50,0";"51,0";"44,0";"18,0";"18,0";"16,2";"1010,4";"1010,9";"1010,3";"3,0";"133,0";"6,3";"1920,50";"0,0"
