"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"27,9";"28,0";"27,8";"83,0";"83,0";"82,0";"24,6";"24,7";"24,6";"1007,3";"1007,3";"1006,4";"1,6";"86,0";"4,3";"";"0,0"
"01/01/2025";"0100";"27,7";"28,0";"27,7";"82,0";"83,0";"82,0";"24,4";"24,6";"24,4";"1007,7";"1007,7";"1007,3";"1,8";"81,0";"4,8";"";"0,0"
"01/01/2025";"0200";"27,4";"27,7";"27,3";"84,0";"84,0";"82,0";"24,4";"24,5";"24,4";"1007,8";"1007,8";"1007,7";"1,2";"84,0";"4,1";"";"0,0"
"01/01/2025";"0300";"26,8";"27,4";"26,7";"87,0";"88,0";"84,0";"24,5";"24,5";"24,3";"1007,3";"1007,8";"1007,3";"0,6";"62,0";"2,7";"";"0,0"
"01/01/2025";"0400";"26,8";"26,8";"26,5";"89,0";"90,0";"87,0";"24,7";"24,8";"24,4";"1006,9";"1007,3";"1006,9";"1,9";"70,0";"3,4";"";"0,0"
"01/01/2025";"0500";"26,7";"26,9";"26,7";"89,0";"89,0";"88,0";"24,7";"24,8";"24,7";"1006,5";"1006,9";"1006,5";"1,0";"100,0";"3,4";"";"0,0"
"01/01/2025";"0600";"26,2";"26,7";"26,2";"91,0";"91,0";"89,0";"24,6";"24,8";"24,6";"1006,5";"1006,6";"1006,4";"0,1";"152,0";"2,4";"";"0,0"
"01/01/2025";"0700";"25,6";"26,2";"25,6";"94,0";"94,0";"91,0";"24,5";"24,7";"24,4";"1006,3";"1006,6";"1006,3";"0,0";"231,0";"0,8";"";"0,0"
"01/01/2025";"0800";"25,4";"25,6";"25,4";"94,0";"94,0";"94,0";"24,4";"24,5";"24,3";"1006,2";"1006,3";"1006,0";"0,0";"102,0";"0,9";"";"0,0"
"01/01/2025";"0900";"25,1";"25,4";"25,1";"95,0";"96,0";"94,0";"24,4";"24,5";"24,2";"1006,6";"1006,7";"1006,2";"0,1";"141,0";"1,5";"0,30";"0,0"
"01/01/2025";"1000";"25,5";"25,6";"25,1";"95,0";"96,0";"95,0";"24,7";"24,8";"24,3";"1007,1";"1007,1";"1006,6";"0,0";"105,0";"1,5";"91,80";"0,0"
"01/01/2025";"1100";"27,2";"27,2";"25,5";"86,0";"95,0";"86,0";"24,7";"25,1";"24,6";"1007,8";"1007,8";"1007,1";"0,6";"109,0";"2,0";"537,50";"0,0"
"01/01/2025";"1200";"30,7";"30,7";"27,2";"68,0";"86,0";"68,0";"24,1";"25,0";"24,1";"1007,9";"1008,0";"1007,8";"3,5";"97,0";"7,5";"1522,30";"0,0"
"01/01/2025";"1300";"31,8";"31,9";"30,2";"61,0";"70,0";"61,0";"23,4";"24,4";"23,0";"1008,3";"1008,3";"1007,9";"4,7";"104,0";"9,7";"2521,60";"0,0"
"01/01/2025";"1400";"31,0";"32,1";"30,8";"64,0";"65,0";"60,0";"23,3";"23,9";"22,9";"1008,2";"1008,5";"1008,2";"4,5";"75,0";"8,9";"1883,20";"0,0"
"01/01/2025";"1500";"32,2";"32,7";"30,8";"60,0";"67,0";"58,0";"23,6";"24,2";"23,1";"1007,7";"1008,2";"1007,7";"4,9";"71,0";"9,8";"1646,20";"0,0"
"01/01/2025";"1600";"31,9";"33,1";"31,2";"63,0";"66,0";"58,0";"24,1";"24,3";"23,6";"1006,8";"1007,7";"1006,8";"5,5";"70,0";"10,4";"2415,90";"0,0"
"01/01/2025";"1700";"32,2";"32,8";"31,7";"62,0";"65,0";"60,0";"24,2";"24,4";"23,9";"1005,9";"1006,8";"1005,9";"5,6";"72,0";"11,2";"2484,80";"0,0"
"01/01/2025";"1800";"31,9";"33,0";"31,5";"63,0";"65,0";"60,0";"23,9";"24,4";"23,9";"1005,1";"1005,9";"1005,0";"6,0";"67,0";"11,8";"2369,00";"0,0"
"01/01/2025";"1900";"31,6";"32,3";"31,1";"64,0";"66,0";"61,0";"23,9";"24,4";"23,5";"1004,8";"1005,1";"1004,7";"5,1";"71,0";"10,5";"1254,20";"0,0"
"01/01/2025";"2000";"30,3";"31,6";"30,3";"69,0";"71,0";"64,0";"24,1";"24,4";"23,9";"1005,0";"1005,0";"1004,8";"5,1";"71,0";"10,4";"651,20";"0,0"
"01/01/2025";"2100";"28,8";"30,4";"28,8";"78,0";"78,0";"69,0";"24,6";"24,6";"24,2";"1005,3";"1005,3";"1005,0";"4,5";"74,0";"10,1";"100,80";"0,0"
"01/01/2025";"2200";"28,2";"28,8";"28,2";"82,0";"82,0";"78,0";"24,8";"24,9";"24,6";"1005,8";"1005,8";"1005,2";"3,1";"76,0";"9,0";"4,40";"0,0"
"01/01/2025";"2300";"28,0";"28,2";"28,0";"82,0";"82,0";"81,0";"24,7";"24,8";"24,7";"1006,2";"1006,2";"1005,7";"3,1";"75,0";"6,4";"";"0,0"
"02/01/2025";"0000";"28,0";"28,0";"27,9";"82,0";"83,0";"82,0";"24,6";"24,8";"24,6";"1007,0";"1007,0";"1006,2";"3,2";"80,0";"6,9";"";"0,0"
"02/01/2025";"0100";"27,8";"28,0";"27,7";"83,0";"83,0";"82,0";"24,6";"24,6";"24,5";"1007,2";"1007,2";"1007,0";"2,8";"80,0";"6,4";"";"0,0"
"02/01/2025";"0200";"27,7";"27,8";"27,6";"84,0";"84,0";"83,0";"24,7";"24,7";"24,5";"1007,0";"1007,2";"1007,0";"2,6";"75,0";"6,1";"";"0,0"
"02/01/2025";"0300";"27,7";"27,7";"27,6";"83,0";"85,0";"83,0";"24,6";"24,9";"24,6";"1006,7";"1007,1";"1006,7";"2,8";"67,0";"5,3";"";"0,0"
"02/01/2025";"0400";"27,6";"27,8";"27,6";"83,0";"83,0";"82,0";"24,5";"24,6";"24,4";"1006,9";"1006,9";"1006,7";"2,7";"75,0";"6,5";"";"0,0"
"02/01/2025";"0500";"27,3";"27,6";"27,3";"83,0";"83,0";"82,0";"24,2";"24,5";"24,1";"1006,3";"1006,9";"1006,3";"1,9";"80,0";"5,2";"";"0,0"
"02/01/2025";"0600";"26,9";"27,3";"26,9";"85,0";"85,0";"83,0";"24,1";"24,3";"24,1";"1006,0";"1006,4";"1005,9";"2,3";"84,0";"4,4";"";"0,0"
"02/01/2025";"0700";"26,7";"26,9";"26,7";"86,0";"86,0";"84,0";"24,1";"24,1";"24,0";"1005,7";"1006,0";"1005,7";"1,9";"80,0";"4,3";"";"0,0"
"02/01/2025";"0800";"26,4";"26,7";"26,4";"87,0";"87,0";"85,0";"24,1";"24,1";"24,0";"1006,0";"1006,0";"1005,7";"1,4";"74,0";"4,8";"";"0,0"
"02/01/2025";"0900";"26,3";"26,4";"26,2";"87,0";"88,0";"86,0";"23,9";"24,1";"23,8";"1006,4";"1006,4";"1006,0";"1,7";"83,0";"3,5";"";"0,0"
"02/01/2025";"1000";"27,1";"27,1";"26,3";"85,0";"87,0";"85,0";"24,4";"24,4";"23,8";"1007,0";"1007,0";"1006,4";"1,3";"68,0";"3,4";"139,60";"0,0"
"02/01/2025";"1100";"28,4";"28,5";"27,1";"81,0";"85,0";"79,0";"24,7";"24,8";"24,4";"1007,6";"1007,6";"1007,0";"2,7";"79,0";"5,9";"519,40";"0,0"
"02/01/2025";"1200";"29,8";"30,3";"28,3";"74,0";"81,0";"71,0";"24,7";"25,0";"24,1";"1008,1";"1008,1";"1007,6";"4,4";"62,0";"8,5";"1151,40";"0,0"
"02/01/2025";"1300";"30,7";"31,4";"29,7";"69,0";"75,0";"68,0";"24,5";"25,1";"24,3";"1008,2";"1008,3";"1008,1";"4,4";"70,0";"11,2";"1788,40";"0,0"
"02/01/2025";"1400";"31,7";"32,1";"30,7";"62,0";"70,0";"61,0";"23,4";"24,7";"23,2";"1008,2";"1008,3";"1008,0";"6,0";"73,0";"11,8";"2027,10";"0,0"
"02/01/2025";"1500";"32,6";"32,6";"31,4";"59,0";"63,0";"59,0";"23,6";"23,7";"23,1";"1007,8";"1008,3";"1007,8";"5,7";"76,0";"11,9";"2056,90";"0,0"
"02/01/2025";"1600";"32,7";"33,6";"31,9";"58,0";"61,0";"54,0";"23,2";"23,7";"23,1";"1007,3";"1007,9";"1007,1";"5,5";"76,0";"11,9";"2710,60";"0,0"
"02/01/2025";"1700";"33,0";"34,1";"32,3";"57,0";"59,0";"55,0";"23,4";"23,7";"23,1";"1006,3";"1007,3";"1006,2";"5,6";"80,0";"11,5";"2685,30";"0,0"
"02/01/2025";"1800";"32,4";"33,1";"32,1";"60,0";"62,0";"56,0";"23,8";"23,9";"22,8";"1005,2";"1006,4";"1005,2";"5,6";"73,0";"11,1";"2248,90";"0,0"
"02/01/2025";"1900";"31,2";"32,5";"31,2";"66,0";"67,0";"60,0";"24,2";"24,3";"23,6";"1004,8";"1005,2";"1004,8";"5,6";"70,0";"11,2";"1329,10";"0,0"
"02/01/2025";"2000";"30,4";"31,2";"30,3";"70,0";"70,0";"66,0";"24,3";"24,5";"24,0";"1004,6";"1004,9";"1004,6";"4,9";"65,0";"10,6";"671,00";"0,0"
"02/01/2025";"2100";"29,2";"30,4";"29,2";"76,0";"76,0";"69,0";"24,6";"24,6";"24,1";"1005,0";"1005,0";"1004,6";"4,1";"69,0";"9,6";"214,80";"0,0"
"02/01/2025";"2200";"28,5";"29,2";"28,5";"78,0";"78,0";"74,0";"24,3";"24,6";"23,9";"1005,4";"1005,4";"1004,8";"3,3";"77,0";"8,0";"10,40";"0,0"
"02/01/2025";"2300";"28,2";"28,6";"28,2";"80,0";"80,0";"78,0";"24,4";"24,5";"24,3";"1006,0";"1006,1";"1005,4";"2,9";"69,0";"6,4";"";"0,0"
"03/01/2025";"0000";"28,1";"28,2";"28,0";"82,0";"82,0";"80,0";"24,7";"24,7";"24,4";"1006,8";"1006,8";"1006,0";"2,7";"73,0";"6,4";"";"0,0"
"03/01/2025";"0100";"27,8";"28,1";"27,8";"83,0";"83,0";"82,0";"24,7";"24,7";"24,6";"1007,2";"1007,2";"1006,7";"2,1";"78,0";"6,1";"";"0,0"
"03/01/2025";"0200";"27,7";"27,8";"27,6";"84,0";"84,0";"83,0";"24,7";"24,7";"24,6";"1007,4";"1007,5";"1007,1";"2,8";"74,0";"5,5";"";"0,0"
"03/01/2025";"0300";"27,5";"27,7";"27,5";"85,0";"85,0";"84,0";"24,8";"24,8";"24,7";"1007,2";"1007,5";"1007,2";"1,9";"72,0";"5,5";"";"0,0"
"03/01/2025";"0400";"27,6";"27,7";"27,5";"84,0";"86,0";"84,0";"24,8";"24,9";"24,7";"1006,9";"1007,3";"1006,9";"1,8";"77,0";"4,3";"";"0,0"
"03/01/2025";"0500";"27,4";"27,7";"27,4";"86,0";"86,0";"84,0";"24,8";"24,9";"24,7";"1006,2";"1006,9";"1006,2";"1,9";"74,0";"3,8";"";"0,0"
"03/01/2025";"0600";"27,2";"27,5";"27,1";"86,0";"86,0";"85,0";"24,6";"24,8";"24,5";"1005,5";"1006,2";"1005,5";"1,9";"66,0";"4,3";"";"0,0"
"03/01/2025";"0700";"27,1";"27,2";"27,1";"86,0";"86,0";"85,0";"24,5";"24,6";"24,5";"1005,4";"1005,6";"1005,3";"2,0";"74,0";"4,3";"";"0,0"
"03/01/2025";"0800";"26,7";"27,1";"26,7";"88,0";"88,0";"86,0";"24,5";"24,5";"24,5";"1005,6";"1005,6";"1005,3";"0,6";"66,0";"3,8";"";"0,0"
"03/01/2025";"0900";"26,2";"26,7";"26,2";"90,0";"90,0";"88,0";"24,5";"24,5";"24,4";"1006,5";"1006,5";"1005,6";"0,1";"84,0";"2,0";"0,20";"0,0"
