ano	GPD	Pop
1990	10518	149003225
1991	1049	151648007
1992	10265	154259382
1993	10566	156849086
1994	1095	159432717
1995	11251	162019889
1996	11318	164614682
1997	1152	167209046
1998	11384	169785253
1999	11269	172318674
2000	11597	174790339
2001	11599	177196051
2002	11797	179537523
2003	11782	181809244
2004	12312	184006479
2005	12562	186127108
2006	12918	188167353
2007	13561	190130445
2008	1411	192030362
2009	13958	193886505
2010	14868	195713637
2011	15318	197514541
2012	15474	199287292
2013	158	201035904
2014	15744	202763744
2015	15059	204471759
2016	14446	206163056
2017	1452	207833825
2018	14663	209469320
2019	14759	211049519
2020	14059	212559409
