"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/05/2025";"0000";"27,7";"29,3";"27,7";"63,0";"63,0";"57,0";"20,1";"20,4";"19,9";"971,4";"971,4";"970,6";"0,0";"77,0";"0,0";"";""
"01/05/2025";"0100";"27,4";"27,7";"27,2";"65,0";"65,0";"63,0";"20,2";"20,3";"20,0";"971,7";"971,7";"971,4";"0,0";"141,0";"0,0";"";""
"01/05/2025";"0200";"27,1";"27,6";"26,9";"69,0";"69,0";"65,0";"20,9";"20,9";"20,2";"972,4";"972,4";"971,7";"0,0";"124,0";"0,0";"";""
"01/05/2025";"0300";"26,9";"27,5";"26,9";"75,0";"75,0";"69,0";"22,1";"22,1";"21,0";"972,4";"972,5";"972,4";"0,0";"148,0";"0,0";"";""
"01/05/2025";"0400";"26,3";"27,0";"26,3";"79,0";"79,0";"75,0";"22,2";"22,3";"22,0";"972,3";"972,5";"972,3";"0,0";"169,0";"0,0";"";""
"01/05/2025";"0500";"25,8";"26,3";"25,8";"75,0";"79,0";"75,0";"20,9";"22,3";"20,9";"972,2";"972,3";"972,1";"0,0";"169,0";"6,7";"";""
"01/05/2025";"0600";"25,0";"25,8";"25,0";"80,0";"80,0";"75,0";"21,4";"21,4";"20,9";"972,5";"972,5";"972,2";"0,0";"173,0";"5,7";"";""
"01/05/2025";"0700";"24,3";"25,0";"24,3";"83,0";"83,0";"80,0";"21,2";"21,4";"21,2";"973,2";"973,2";"972,5";"0,0";"162,0";"0,0";"";""
"01/05/2025";"0800";"23,4";"24,3";"23,4";"87,0";"87,0";"83,0";"21,1";"21,3";"21,1";"974,0";"974,0";"973,2";"0,0";"114,0";"0,0";"";""
"01/05/2025";"0900";"23,6";"23,7";"23,0";"89,0";"90,0";"87,0";"21,6";"21,8";"21,1";"974,8";"974,8";"974,0";"0,0";"105,0";"0,0";"91,90";""
"01/05/2025";"1000";"24,8";"25,2";"23,6";"87,0";"89,0";"85,0";"22,5";"22,6";"21,6";"975,7";"975,7";"974,8";"0,0";"159,0";"0,0";"662,80";""
"01/05/2025";"1100";"26,5";"26,6";"24,8";"80,0";"87,0";"80,0";"22,8";"23,2";"22,3";"976,0";"976,1";"975,7";"0,0";"153,0";"0,0";"971,30";""
"01/05/2025";"1200";"29,7";"29,7";"26,5";"66,0";"80,0";"66,0";"22,7";"23,2";"22,4";"975,9";"976,0";"975,8";"0,0";"145,0";"0,0";"2341,40";""
"01/05/2025";"1300";"29,0";"29,7";"28,3";"68,0";"70,0";"65,0";"22,4";"22,7";"21,7";"975,4";"975,9";"975,4";"0,0";"182,0";"4,4";"1515,80";""
"01/05/2025";"1400";"30,4";"30,9";"29,0";"59,0";"68,0";"59,0";"21,5";"22,7";"21,5";"974,7";"975,4";"974,7";"0,2";"217,0";"7,0";"2562,50";""
"01/05/2025";"1500";"31,7";"31,9";"29,6";"54,0";"61,0";"53,0";"21,2";"22,1";"20,3";"973,7";"974,7";"973,7";"0,0";"179,0";"7,0";"2667,80";""
"01/05/2025";"1600";"32,4";"32,5";"31,2";"49,0";"54,0";"48,0";"20,4";"21,3";"19,9";"972,8";"973,7";"972,8";"0,1";"183,0";"7,1";"3169,90";""
"01/05/2025";"1700";"32,7";"32,9";"31,5";"49,0";"51,0";"48,0";"20,6";"20,8";"19,7";"971,8";"972,8";"971,8";"0,0";"204,0";"6,9";"2642,30";""
"01/05/2025";"1800";"33,1";"33,5";"32,3";"45,0";"49,0";"45,0";"19,7";"20,5";"19,2";"971,3";"971,8";"971,3";"0,0";"196,0";"6,3";"2028,50";""
"01/05/2025";"1900";"33,0";"33,3";"32,6";"43,0";"46,0";"42,0";"18,7";"20,0";"18,7";"971,6";"971,7";"971,3";"0,1";"152,0";"5,8";"1206,20";""
"01/05/2025";"2000";"31,6";"33,0";"31,6";"46,0";"46,0";"43,0";"18,6";"19,1";"18,6";"971,8";"971,9";"971,6";"0,0";"131,0";"5,8";"318,10";""
"01/05/2025";"2100";"29,1";"31,6";"29,1";"55,0";"55,0";"46,0";"19,0";"19,0";"18,5";"972,0";"972,0";"971,7";"0,0";"136,0";"3,3";"";""
"01/05/2025";"2200";"27,5";"29,1";"27,5";"59,0";"59,0";"55,0";"18,8";"19,1";"18,8";"972,3";"972,3";"972,0";"0,0";"104,0";"0,0";"";""
"01/05/2025";"2300";"26,2";"27,5";"26,2";"61,0";"61,0";"59,0";"18,1";"18,8";"18,1";"972,8";"972,8";"972,3";"0,0";"47,0";"0,0";"";""
"02/05/2025";"0000";"25,6";"26,2";"25,6";"65,0";"65,0";"61,0";"18,5";"18,6";"17,9";"973,0";"973,1";"972,8";"0,0";"197,0";"0,0";"";""
"02/05/2025";"0100";"24,8";"25,6";"24,6";"66,0";"67,0";"65,0";"18,1";"18,6";"17,8";"973,2";"973,3";"973,0";"0,0";"92,0";"0,0";"";""
"02/05/2025";"0200";"24,9";"25,8";"24,8";"66,0";"67,0";"64,0";"18,2";"18,6";"18,2";"973,6";"973,7";"973,2";"0,0";"110,0";"0,0";"";""
"02/05/2025";"0300";"26,4";"26,6";"24,6";"70,0";"70,0";"66,0";"20,5";"20,5";"18,2";"973,5";"973,7";"973,4";"0,3";"169,0";"7,5";"";""
"02/05/2025";"0400";"25,3";"26,4";"25,3";"74,0";"74,0";"70,0";"20,5";"20,5";"20,4";"973,2";"973,5";"973,2";"0,0";"165,0";"5,6";"";""
"02/05/2025";"0500";"24,8";"25,3";"24,8";"78,0";"78,0";"74,0";"20,7";"20,7";"20,4";"973,1";"973,3";"973,1";"0,0";"158,0";"0,0";"";""
"02/05/2025";"0600";"24,1";"24,8";"24,1";"82,0";"82,0";"78,0";"20,9";"20,9";"20,6";"973,2";"973,3";"973,1";"0,0";"156,0";"0,0";"";""
"02/05/2025";"0700";"23,0";"24,1";"23,0";"88,0";"88,0";"82,0";"20,9";"21,0";"20,8";"973,7";"973,7";"973,2";"0,0";"115,0";"0,0";"";""
"02/05/2025";"0800";"22,4";"23,0";"22,3";"93,0";"93,0";"88,0";"21,1";"21,3";"20,8";"974,4";"974,4";"973,7";"0,0";"148,0";"0,0";"";""
"02/05/2025";"0900";"23,6";"23,6";"22,4";"89,0";"93,0";"89,0";"21,8";"21,8";"21,2";"975,0";"975,0";"974,4";"0,0";"168,0";"0,0";"96,90";""
"02/05/2025";"1000";"25,8";"26,1";"23,6";"79,0";"89,0";"79,0";"21,9";"22,6";"21,7";"975,9";"976,0";"975,0";"0,1";"149,0";"7,0";"780,60";""
"02/05/2025";"1100";"27,2";"27,6";"25,4";"71,0";"82,0";"70,0";"21,4";"22,1";"21,1";"976,4";"976,4";"975,9";"0,2";"146,0";"7,0";"1679,00";""
"02/05/2025";"1200";"28,0";"28,0";"26,8";"68,0";"72,0";"68,0";"21,6";"21,8";"21,1";"976,7";"976,7";"976,4";"0,0";"150,0";"7,9";"1437,00";""
"02/05/2025";"1300";"28,8";"29,2";"28,0";"66,0";"68,0";"64,0";"21,9";"21,9";"21,2";"976,5";"976,7";"976,5";"0,2";"179,0";"7,4";"1864,20";""
