"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2024";"0000";"23,6";"24,1";"23,5";"85,0";"86,0";"83,0";"21,0";"21,5";"20,8";"951,9";"951,9";"951,3";"3,5";"103,0";"8,4";"";"0,0"
"01/01/2024";"0100";"23,8";"23,8";"23,5";"83,0";"85,0";"82,0";"20,7";"21,0";"20,4";"952,3";"952,5";"951,9";"1,7";"355,0";"7,2";"";"0,0"
"01/01/2024";"0200";"22,5";"23,8";"22,5";"92,0";"92,0";"83,0";"21,1";"21,5";"20,6";"953,4";"953,4";"952,3";"3,8";"342,0";"7,0";"";"1,0"
"01/01/2024";"0300";"22,1";"22,5";"22,1";"91,0";"93,0";"91,0";"20,5";"21,2";"20,5";"953,3";"953,5";"953,2";"0,9";"11,0";"6,8";"";"2,8"
"01/01/2024";"0400";"22,2";"22,2";"21,8";"92,0";"93,0";"91,0";"20,8";"20,9";"20,4";"952,9";"953,3";"952,9";"1,6";"29,0";"2,7";"";"3,4"
"01/01/2024";"0500";"22,5";"22,6";"22,1";"90,0";"92,0";"89,0";"20,7";"21,0";"20,6";"951,6";"952,9";"951,6";"2,5";"38,0";"4,1";"";"0,6"
"01/01/2024";"0600";"22,4";"22,8";"22,4";"88,0";"90,0";"88,0";"20,3";"20,7";"20,3";"950,6";"951,6";"950,6";"2,3";"55,0";"5,3";"";"0,6"
"01/01/2024";"0700";"22,4";"22,7";"22,3";"89,0";"89,0";"85,0";"20,4";"20,4";"20,1";"949,6";"950,6";"949,6";"3,1";"80,0";"6,3";"";"0,6"
"01/01/2024";"0800";"22,5";"22,6";"22,4";"89,0";"89,0";"87,0";"20,6";"20,6";"20,4";"949,6";"949,7";"949,6";"2,2";"90,0";"4,5";"";"0,0"
"01/01/2024";"0900";"22,1";"23,0";"22,1";"89,0";"89,0";"84,0";"20,2";"20,7";"20,1";"950,2";"950,2";"949,6";"0,7";"307,0";"4,2";"";"0,0"
