"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"26,0";"28,0";"26,0";"56,0";"61,0";"49,0";"16,5";"17,9";"16,3";"948,3";"948,4";"948,2";"0,9";"342,0";"1,5";"";"0,0"
"01/01/2025";"0100";"25,7";"26,1";"24,7";"56,0";"60,0";"53,0";"16,2";"16,9";"15,8";"948,8";"948,8";"948,3";"1,0";"348,0";"1,8";"";"0,0"
"01/01/2025";"0200";"24,4";"26,1";"23,2";"61,0";"66,0";"53,0";"16,4";"16,9";"15,8";"949,2";"949,2";"948,8";"1,4";"19,0";"2,6";"";"0,0"
"01/01/2025";"0300";"22,6";"24,5";"22,6";"69,0";"70,0";"61,0";"16,7";"17,2";"16,3";"949,4";"949,4";"949,2";"1,9";"28,0";"2,2";"";"0,0"
"01/01/2025";"0400";"22,6";"24,4";"22,6";"67,0";"69,0";"60,0";"16,2";"16,7";"16,0";"949,1";"949,4";"949,1";"1,5";"40,0";"2,2";"";"0,0"
"01/01/2025";"0500";"23,7";"23,8";"21,0";"62,0";"75,0";"62,0";"16,0";"16,6";"16,0";"949,0";"949,2";"949,0";"1,7";"46,0";"2,4";"";"0,0"
"01/01/2025";"0600";"21,9";"23,6";"21,7";"71,0";"72,0";"62,0";"16,4";"16,4";"15,8";"948,7";"949,0";"948,7";"1,2";"45,0";"2,0";"";"0,0"
"01/01/2025";"0700";"21,7";"22,8";"20,9";"75,0";"76,0";"71,0";"17,1";"17,4";"16,4";"948,7";"948,8";"948,6";"2,5";"93,0";"3,5";"";"0,0"
"01/01/2025";"0800";"22,3";"22,4";"21,4";"73,0";"76,0";"73,0";"17,2";"17,4";"17,0";"949,0";"949,0";"948,7";"2,6";"83,0";"3,5";"";"0,0"
"01/01/2025";"0900";"21,6";"22,6";"21,5";"74,0";"76,0";"70,0";"16,8";"17,3";"16,7";"949,7";"949,7";"948,9";"1,7";"79,0";"3,8";"0,10";"0,0"
"01/01/2025";"1000";"24,2";"24,2";"21,3";"67,0";"78,0";"67,0";"17,6";"17,8";"16,8";"950,5";"950,5";"949,7";"1,6";"330,0";"2,6";"167,00";"0,0"
"01/01/2025";"1100";"25,4";"26,2";"24,2";"66,0";"67,0";"61,0";"18,5";"18,8";"17,2";"951,5";"951,5";"950,5";"1,2";"34,0";"2,6";"717,00";"0,0"
"01/01/2025";"1200";"28,2";"28,4";"25,4";"64,0";"67,0";"62,0";"20,6";"21,1";"18,5";"951,6";"951,7";"951,5";"3,2";"329,0";"6,0";"1597,70";"0,0"
"01/01/2025";"1300";"28,9";"29,1";"28,1";"62,0";"64,0";"61,0";"20,9";"21,4";"20,3";"952,1";"952,2";"951,6";"2,7";"327,0";"7,1";"2411,00";"0,0"
"01/01/2025";"1400";"29,0";"30,0";"28,7";"61,0";"64,0";"59,0";"20,7";"21,9";"20,5";"952,2";"952,3";"952,1";"3,9";"321,0";"6,5";"2660,00";"0,0"
"01/01/2025";"1500";"30,9";"31,0";"29,0";"56,0";"62,0";"54,0";"21,0";"21,8";"19,9";"951,3";"952,2";"951,3";"2,2";"317,0";"6,4";"3103,40";"0,0"
"01/01/2025";"1600";"29,3";"31,9";"29,3";"56,0";"57,0";"50,0";"19,7";"21,7";"19,2";"951,1";"951,3";"951,0";"4,0";"306,0";"10,2";"2507,60";"0,0"
"01/01/2025";"1700";"30,4";"30,4";"28,5";"50,0";"59,0";"45,0";"18,9";"20,6";"15,8";"950,7";"951,2";"950,7";"3,1";"356,0";"10,6";"3393,50";"0,0"
"01/01/2025";"1800";"30,4";"31,9";"29,4";"52,0";"53,0";"47,0";"19,6";"20,8";"17,6";"949,4";"950,7";"949,4";"3,8";"340,0";"6,5";"3285,20";"0,0"
"01/01/2025";"1900";"27,9";"31,3";"27,9";"55,0";"56,0";"46,0";"18,0";"20,8";"16,6";"949,9";"950,0";"949,2";"4,7";"319,0";"13,1";"2780,50";"0,0"
"01/01/2025";"2000";"26,2";"27,9";"24,8";"58,0";"66,0";"55,0";"17,4";"19,3";"16,8";"948,2";"949,9";"948,0";"1,6";"354,0";"9,2";"908,30";"0,0"
"01/01/2025";"2100";"30,1";"30,1";"26,2";"43,0";"59,0";"39,0";"16,2";"17,8";"14,2";"947,2";"948,2";"947,2";"1,1";"26,0";"2,8";"1393,00";"0,0"
