ano,mes,dia,chuva
1980,1,1,NaN
1980,1,2,0
1980,1,3,0
1980,1,4,0
1980,1,5,0
1980,1,6,0
1980,1,7,19.1
1980,1,8,3.8
1980,1,9,9.5
1980,1,10,NaN
1980,1,11,1.9
1980,1,12,0
1980,1,13,0
1980,1,14,0
1980,1,15,0
1980,1,16,0
1980,1,17,3
1980,1,18,6.7
1980,1,19,2.1
1980,1,20,0
1980,1,21,1.7
1980,1,22,NaN
1980,1,23,0
1980,1,24,NaN
1980,1,25,13.9
1980,1,26,0
1980,1,27,0
1980,1,28,0
1980,1,29,1.3
1980,1,30,0
1980,1,31,0
1980,2,1,0
1980,2,2,0
1980,2,3,0
1980,2,4,NaN
1980,2,5,0
1980,2,6,0
1980,2,7,0
1980,2,8,0
1980,2,9,0
1980,2,10,0
1980,2,11,NaN
1980,2,12,0.2
1980,2,13,0
1980,2,14,0
1980,2,15,0
1980,2,16,0
1980,2,17,36
1980,2,18,23.9
1980,2,19,0
1980,2,20,0.1
1980,2,21,NaN
1980,2,22,0
1980,2,23,0
1980,2,24,1.5
1980,2,25,4.5
1980,2,26,17.1
1980,2,27,0.7
1980,2,28,9.4
1980,2,29,8.1
1980,3,1,NaN
1980,3,2,5.1
1980,3,3,0
1980,3,4,53.1
1980,3,5,14.3
1980,3,6,0
1980,3,7,3.6
1980,3,8,2.1
1980,3,9,NaN
1980,3,10,0
1980,3,11,0
1980,3,12,16
1980,3,13,6.1
1980,3,14,NaN
1980,3,15,NaN
1980,3,16,0
1980,3,17,0
1980,3,18,4.9
1980,3,19,0
1980,3,20,0
1980,3,21,0
1980,3,22,0
1980,3,23,0
1980,3,24,0
1980,3,25,0
1980,3,26,0
1980,3,27,0.5
1980,3,28,40.1
1980,3,29,0
1980,3,30,5.9
1980,3,31,0
1980,4,1,0
1980,4,2,NaN
1980,4,3,NaN
1980,4,4,0
1980,4,5,0.8
1980,4,6,0
1980,4,7,0
1980,4,8,0
1980,4,9,0
1980,4,10,NaN
1980,4,11,0
1980,4,12,4.3
1980,4,13,24
1980,4,14,7.6
1980,4,15,NaN
1980,4,16,0
1980,4,17,0
1980,4,18,NaN
1980,4,19,NaN
1980,4,20,NaN
1980,4,21,0
