"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2025";"0000";"29,9";"30,3";"29,7";"45,0";"47,0";"44,0";"16,6";"17,7";"16,6";"995,7";"995,7";"995,1";"0,0";"94,0";"0,0";"";"0,0"
"01/09/2025";"0100";"29,8";"30,6";"29,8";"46,0";"46,0";"43,0";"16,9";"16,9";"16,2";"996,2";"996,2";"995,7";"0,0";"100,0";"0,0";"";"0,0"
"01/09/2025";"0200";"31,0";"31,0";"29,7";"40,0";"46,0";"40,0";"15,8";"16,9";"15,6";"996,8";"996,8";"996,2";"0,0";"109,0";"0,0";"";"0,0"
"01/09/2025";"0300";"30,6";"31,3";"30,5";"37,0";"40,0";"37,0";"14,4";"15,8";"14,3";"997,3";"997,3";"996,7";"0,0";"102,0";"0,0";"";"0,0"
"01/09/2025";"0400";"29,9";"30,6";"29,9";"40,0";"40,0";"37,0";"14,8";"14,8";"14,1";"997,6";"997,6";"997,2";"0,0";"79,0";"0,0";"";"0,0"
"01/09/2025";"0500";"29,4";"30,0";"29,4";"42,0";"43,0";"40,0";"15,1";"15,4";"14,7";"997,3";"997,6";"997,3";"0,0";"48,0";"0,0";"";"0,0"
"01/09/2025";"0600";"27,8";"29,6";"27,8";"52,0";"52,0";"41,0";"17,0";"17,1";"15,0";"997,4";"997,7";"997,2";"0,0";"122,0";"0,0";"";"0,0"
"01/09/2025";"0700";"27,9";"28,4";"27,8";"49,0";"52,0";"49,0";"16,2";"17,0";"16,2";"996,8";"997,4";"996,8";"0,0";"127,0";"0,0";"";"0,0"
"01/09/2025";"0800";"27,9";"28,2";"27,5";"47,0";"50,0";"45,0";"15,4";"16,3";"15,2";"996,8";"996,9";"996,7";"0,0";"64,0";"0,0";"";"0,0"
"01/09/2025";"0900";"27,2";"28,8";"27,1";"47,0";"50,0";"44,0";"15,0";"15,7";"14,8";"997,8";"997,8";"996,8";"0,0";"101,0";"0,0";"";"0,0"
"01/09/2025";"1000";"27,7";"28,0";"27,2";"45,0";"48,0";"44,0";"14,8";"15,2";"14,5";"998,5";"998,6";"997,8";"0,0";"111,0";"0,0";"0,80";"0,0"
"01/09/2025";"1100";"29,5";"29,5";"27,7";"45,0";"46,0";"41,0";"16,3";"16,3";"14,7";"999,7";"999,7";"998,5";"0,0";"343,0";"0,0";"237,30";"0,0"
"01/09/2025";"1200";"27,7";"29,8";"27,7";"49,0";"49,0";"40,0";"16,1";"16,3";"14,6";"1000,9";"1001,0";"999,7";"0,0";"172,0";"0,7";"554,40";"0,0"
"01/09/2025";"1300";"27,6";"27,9";"26,8";"52,0";"55,0";"50,0";"16,8";"17,3";"16,2";"1001,5";"1001,7";"1000,9";"0,0";"130,0";"0,5";"1047,10";"0,0"
"01/09/2025";"1400";"29,8";"30,1";"27,6";"46,0";"52,0";"45,0";"16,9";"18,6";"16,4";"1001,7";"1001,8";"1001,5";"0,0";"84,0";"0,5";"2483,60";"0,0"
"01/09/2025";"1500";"30,6";"30,6";"28,6";"43,0";"51,0";"43,0";"16,7";"17,5";"16,4";"1001,3";"1001,8";"1001,3";"0,0";"90,0";"0,8";"2267,30";"0,0"
"01/09/2025";"1600";"31,3";"32,0";"29,8";"38,0";"44,0";"36,0";"15,3";"16,7";"14,8";"1000,2";"1001,3";"1000,1";"0,0";"91,0";"1,5";"2379,80";"0,0"
"01/09/2025";"1700";"30,6";"31,5";"29,9";"39,0";"43,0";"37,0";"15,1";"16,1";"15,0";"1000,0";"1000,2";"999,6";"0,0";"100,0";"0,4";"795,50";"0,0"
"01/09/2025";"1800";"29,1";"30,7";"29,1";"46,0";"46,0";"38,0";"16,3";"16,3";"14,7";"999,5";"1000,1";"999,5";"0,0";"95,0";"0,2";"145,30";"0,0"
"01/09/2025";"1900";"29,1";"30,0";"28,1";"47,0";"51,0";"39,0";"16,6";"17,1";"14,6";"999,3";"999,5";"998,7";"0,0";"108,0";"0,0";"348,60";"0,0"
"01/09/2025";"2000";"30,6";"31,2";"29,1";"41,0";"47,0";"38,0";"15,8";"16,6";"14,9";"998,3";"999,5";"998,3";"0,0";"85,0";"0,2";"1713,90";"0,0"
"01/09/2025";"2100";"29,2";"30,7";"29,2";"47,0";"48,0";"40,0";"16,7";"17,0";"15,6";"998,2";"998,3";"997,8";"0,0";"96,0";"0,2";"768,60";"0,0"
"01/09/2025";"2200";"27,5";"29,5";"27,5";"55,0";"55,0";"45,0";"17,6";"17,6";"16,5";"998,5";"998,5";"998,2";"0,0";"98,0";"0,2";"86,10";"0,0"
"01/09/2025";"2300";"27,2";"28,8";"27,1";"54,0";"56,0";"46,0";"17,1";"17,7";"16,0";"999,7";"999,7";"998,5";"0,0";"97,0";"0,2";"";"0,0"
"02/09/2025";"0000";"28,4";"28,6";"26,8";"45,0";"56,0";"45,0";"15,4";"17,1";"15,4";"999,8";"999,8";"999,6";"0,0";"118,0";"0,2";"";"0,0"
"02/09/2025";"0100";"26,3";"28,4";"25,7";"56,0";"58,0";"45,0";"16,7";"17,1";"15,3";"999,8";"999,9";"999,6";"0,0";"86,0";"0,1";"";"0,0"
"02/09/2025";"0200";"25,5";"26,3";"25,4";"61,0";"62,0";"56,0";"17,5";"17,7";"16,8";"1000,2";"1000,2";"999,5";"0,0";"99,0";"0,1";"";"0,0"
"02/09/2025";"0300";"25,6";"26,9";"25,5";"56,0";"61,0";"49,0";"16,0";"17,5";"15,1";"1000,4";"1000,5";"1000,2";"0,0";"306,0";"0,0";"";"0,0"
"02/09/2025";"0400";"26,4";"26,4";"24,4";"48,0";"63,0";"48,0";"14,4";"17,2";"14,4";"1000,0";"1000,4";"999,9";"0,0";"115,0";"0,0";"";"0,0"
"02/09/2025";"0500";"26,3";"26,6";"25,4";"51,0";"57,0";"46,0";"15,2";"16,5";"13,9";"999,8";"1000,0";"999,7";"0,0";"105,0";"0,0";"";"0,0"
"02/09/2025";"0600";"26,5";"27,2";"25,9";"49,0";"53,0";"44,0";"14,9";"15,7";"13,9";"999,0";"999,8";"999,0";"0,0";"107,0";"0,1";"";"0,0"
"02/09/2025";"0700";"27,2";"27,2";"26,3";"42,0";"50,0";"41,0";"13,0";"15,1";"12,9";"998,7";"999,0";"998,6";"0,0";"118,0";"0,2";"";"0,0"
"02/09/2025";"0800";"22,7";"27,2";"22,5";"66,0";"67,0";"41,0";"16,1";"16,3";"12,9";"998,6";"999,0";"998,6";"0,0";"99,0";"0,0";"";"0,0"
"02/09/2025";"0900";"22,3";"22,9";"22,1";"69,0";"71,0";"66,0";"16,4";"17,0";"16,1";"998,9";"999,0";"998,4";"0,0";"249,0";"0,0";"";"0,0"
"02/09/2025";"1000";"21,9";"22,3";"21,8";"74,0";"74,0";"69,0";"17,1";"17,1";"16,1";"999,5";"999,5";"998,9";"0,0";"16,0";"0,0";"0,30";"0,0"
"02/09/2025";"1100";"23,0";"23,0";"21,8";"70,0";"75,0";"70,0";"17,4";"17,4";"17,0";"1000,3";"1000,3";"999,5";"0,0";"270,0";"0,0";"219,40";"0,0"
"02/09/2025";"1200";"24,7";"24,7";"22,8";"68,0";"73,0";"68,0";"18,4";"18,5";"17,2";"1000,7";"1000,7";"1000,3";"0,0";"346,0";"0,0";"943,20";"0,0"
"02/09/2025";"1300";"28,2";"28,5";"24,7";"51,0";"68,0";"49,0";"17,3";"19,0";"16,1";"1000,9";"1000,9";"1000,5";"0,0";"360,0";"0,0";"1879,10";"0,0"
"02/09/2025";"1400";"31,3";"31,3";"27,7";"39,0";"51,0";"37,0";"15,6";"17,2";"14,7";"1000,7";"1001,0";"1000,7";"0,0";"50,0";"0,0";"2525,30";"0,0"
"02/09/2025";"1500";"32,7";"33,3";"30,7";"34,0";"40,0";"34,0";"14,9";"16,4";"14,7";"1000,1";"1000,7";"1000,1";"0,0";"41,0";"0,0";"2921,50";"0,0"
"02/09/2025";"1600";"34,7";"34,8";"32,5";"33,0";"36,0";"31,0";"16,1";"16,6";"14,1";"999,0";"1000,1";"999,0";"0,0";"35,0";"0,2";"3098,20";"0,0"
"02/09/2025";"1700";"35,6";"35,8";"33,9";"32,0";"34,0";"30,0";"16,4";"17,0";"14,4";"997,7";"999,0";"997,7";"0,0";"27,0";"0,1";"3019,50";"0,0"
"02/09/2025";"1800";"35,1";"35,7";"34,3";"33,0";"36,0";"32,0";"16,5";"18,0";"15,1";"996,4";"997,7";"996,4";"0,0";"43,0";"0,1";"2673,80";"0,0"
"02/09/2025";"1900";"35,1";"35,5";"34,5";"32,0";"36,0";"32,0";"16,2";"17,9";"15,6";"995,5";"996,4";"995,5";"0,0";"60,0";"0,0";"2140,30";"0,0"
"02/09/2025";"2000";"34,5";"35,3";"34,4";"38,0";"38,0";"32,0";"17,9";"18,4";"16,0";"995,2";"995,5";"995,2";"0,0";"52,0";"0,0";"1541,60";"0,0"
"02/09/2025";"2100";"33,1";"34,5";"33,1";"41,0";"41,0";"37,0";"18,0";"18,8";"17,7";"995,1";"995,3";"995,1";"0,0";"91,0";"0,0";"715,30";"0,0"
