"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"25,3";"25,3";"25,1";"78,0";"78,0";"75,0";"21,1";"21,1";"20,3";"1013,3";"1013,3";"1013,0";"2,0";"10,0";"7,4";"";"0,0"
"01/01/2025";"0100";"24,9";"25,3";"24,9";"78,0";"79,0";"78,0";"20,9";"21,2";"20,9";"1013,6";"1013,6";"1013,1";"1,8";"42,0";"4,8";"";"0,0"
"01/01/2025";"0200";"24,9";"25,0";"24,9";"79,0";"79,0";"78,0";"21,0";"21,0";"20,9";"1014,1";"1014,3";"1013,6";"1,3";"16,0";"4,9";"";"0,0"
"01/01/2025";"0300";"24,4";"25,0";"24,2";"85,0";"86,0";"79,0";"21,7";"21,8";"20,9";"1013,6";"1014,1";"1013,6";"0,7";"6,0";"6,0";"";"8,2"
"01/01/2025";"0400";"24,3";"24,4";"24,3";"84,0";"85,0";"83,0";"21,4";"21,8";"21,2";"1012,6";"1013,6";"1012,6";"1,8";"45,0";"4,8";"1,40";"1,0"
"01/01/2025";"0500";"24,4";"24,4";"24,2";"83,0";"84,0";"83,0";"21,3";"21,5";"21,3";"1012,5";"1012,6";"1012,5";"2,0";"21,0";"5,7";"";"0,0"
"01/01/2025";"0600";"24,4";"24,5";"24,4";"82,0";"83,0";"81,0";"21,0";"21,4";"21,0";"1012,1";"1012,5";"1012,1";"1,9";"360,0";"5,2";"";"0,0"
"01/01/2025";"0700";"24,3";"24,5";"24,3";"84,0";"84,0";"81,0";"21,4";"21,4";"21,0";"1011,7";"1012,1";"1011,6";"2,1";"345,0";"5,2";"";"0,0"
"01/01/2025";"0800";"23,5";"24,4";"23,5";"85,0";"85,0";"83,0";"20,9";"21,4";"20,9";"1012,2";"1012,2";"1011,6";"0,6";"314,0";"4,7";"";"0,0"
"01/01/2025";"0900";"23,7";"23,7";"23,4";"87,0";"88,0";"85,0";"21,5";"21,5";"20,9";"1012,6";"1012,6";"1012,2";"0,9";"304,0";"1,9";"41,00";"0,0"
"01/01/2025";"1000";"24,2";"24,3";"23,7";"84,0";"88,0";"84,0";"21,4";"21,5";"21,1";"1013,2";"1013,2";"1012,6";"1,4";"297,0";"2,9";"258,30";"0,0"
"01/01/2025";"1100";"24,6";"24,6";"24,1";"79,0";"84,0";"79,0";"20,6";"21,2";"20,6";"1013,2";"1013,5";"1013,1";"1,9";"350,0";"4,3";"436,50";"0,0"
"01/01/2025";"1200";"26,2";"26,2";"24,6";"73,0";"79,0";"72,0";"21,0";"21,3";"20,4";"1013,4";"1013,5";"1013,2";"2,0";"340,0";"5,0";"1284,30";"0,0"
"01/01/2025";"1300";"27,9";"28,0";"26,1";"65,0";"73,0";"62,0";"20,7";"21,1";"18,9";"1013,2";"1013,4";"1013,2";"2,1";"23,0";"7,2";"3023,10";"0,0"
"01/01/2025";"1400";"28,3";"28,3";"27,4";"62,0";"67,0";"62,0";"20,4";"21,3";"19,7";"1012,9";"1013,3";"1012,8";"2,1";"20,0";"6,6";"3114,70";"0,0"
"01/01/2025";"1500";"28,5";"28,8";"27,7";"65,0";"67,0";"60,0";"21,3";"21,8";"19,8";"1011,9";"1012,9";"1011,9";"2,9";"23,0";"8,0";"3658,00";"0,0"
"01/01/2025";"1600";"28,5";"28,9";"28,2";"64,0";"69,0";"63,0";"20,9";"22,2";"20,8";"1011,3";"1012,0";"1011,3";"3,9";"40,0";"8,6";"3749,70";"0,0"
"01/01/2025";"1700";"28,4";"28,9";"28,2";"65,0";"67,0";"61,0";"21,1";"21,8";"20,2";"1010,2";"1011,3";"1010,2";"4,1";"36,0";"9,2";"3628,40";"0,0"
"01/01/2025";"1800";"27,3";"28,7";"27,3";"70,0";"70,0";"63,0";"21,2";"21,8";"20,6";"1010,0";"1010,2";"1009,9";"3,2";"22,0";"8,7";"2705,40";"0,0"
"01/01/2025";"1900";"27,0";"27,5";"27,0";"72,0";"72,0";"69,0";"21,5";"21,7";"21,1";"1009,6";"1010,1";"1009,6";"3,3";"35,0";"9,2";"1639,40";"0,0"
"01/01/2025";"2000";"26,1";"27,0";"26,1";"74,0";"74,0";"72,0";"21,0";"21,5";"20,8";"1009,9";"1010,0";"1009,4";"2,8";"11,0";"8,6";"633,20";"0,0"
"01/01/2025";"2100";"25,8";"26,1";"25,7";"74,0";"74,0";"72,0";"20,8";"21,1";"20,4";"1010,4";"1010,4";"1009,9";"2,6";"25,0";"8,5";"250,20";"0,0"
"01/01/2025";"2200";"25,7";"25,9";"25,6";"76,0";"76,0";"74,0";"21,1";"21,3";"20,9";"1011,0";"1011,0";"1010,3";"2,8";"39,0";"6,8";"66,50";"0,0"
"01/01/2025";"2300";"25,6";"25,7";"25,6";"77,0";"77,0";"76,0";"21,4";"21,4";"21,0";"1011,9";"1012,0";"1010,9";"2,5";"17,0";"7,9";"0,20";"0,0"
"02/01/2025";"0000";"25,6";"25,6";"25,5";"76,0";"77,0";"76,0";"21,0";"21,4";"21,0";"1013,2";"1013,2";"1011,8";"2,7";"339,0";"8,2";"";"0,0"
"02/01/2025";"0100";"24,9";"25,6";"24,9";"81,0";"81,0";"76,0";"21,4";"21,5";"20,7";"1013,2";"1013,4";"1012,9";"1,5";"32,0";"5,9";"";"1,2"
"02/01/2025";"0200";"23,0";"24,9";"22,8";"87,0";"87,0";"81,0";"20,8";"22,0";"20,5";"1013,1";"1013,8";"1013,1";"1,6";"149,0";"7,5";"";"1,0"
"02/01/2025";"0300";"23,0";"23,3";"23,0";"87,0";"87,0";"85,0";"20,8";"21,0";"20,3";"1012,7";"1013,1";"1012,5";"1,2";"284,0";"4,8";"";"0,0"
"02/01/2025";"0400";"22,9";"23,0";"22,5";"90,0";"90,0";"87,0";"21,2";"21,2";"20,6";"1011,4";"1012,7";"1011,4";"1,3";"315,0";"3,1";"";"0,0"
"02/01/2025";"0500";"23,7";"23,9";"22,9";"89,0";"90,0";"89,0";"21,8";"22,0";"21,2";"1010,3";"1011,4";"1010,3";"1,9";"326,0";"5,5";"";"0,0"
"02/01/2025";"0600";"24,0";"24,0";"23,6";"88,0";"89,0";"88,0";"21,9";"21,9";"21,7";"1009,1";"1010,3";"1009,0";"1,3";"334,0";"4,6";"";"0,0"
"02/01/2025";"0700";"23,7";"24,0";"23,7";"88,0";"89,0";"88,0";"21,6";"22,1";"21,6";"1008,8";"1009,1";"1008,7";"1,8";"329,0";"4,7";"";"0,2"
"02/01/2025";"0800";"23,5";"23,7";"23,5";"86,0";"88,0";"86,0";"21,1";"21,6";"21,1";"1008,6";"1008,8";"1008,5";"2,0";"334,0";"4,3";"";"0,0"
"02/01/2025";"0900";"23,4";"23,5";"23,3";"88,0";"88,0";"86,0";"21,3";"21,3";"21,0";"1009,2";"1009,2";"1008,6";"1,8";"295,0";"3,9";"36,50";"0,0"
"02/01/2025";"1000";"24,8";"24,9";"23,4";"79,0";"88,0";"79,0";"21,0";"21,3";"20,9";"1009,6";"1009,6";"1009,3";"2,3";"301,0";"5,0";"464,50";"0,0"
"02/01/2025";"1100";"25,3";"25,4";"24,7";"78,0";"81,0";"78,0";"21,3";"21,5";"21,0";"1010,0";"1010,1";"1009,5";"0,9";"319,0";"4,5";"496,90";"0,0"
"02/01/2025";"1200";"26,0";"26,0";"25,3";"75,0";"79,0";"74,0";"21,2";"21,4";"20,7";"1010,2";"1010,2";"1010,0";"1,9";"329,0";"4,3";"853,10";"0,0"
"02/01/2025";"1300";"26,3";"26,3";"25,9";"77,0";"77,0";"74,0";"21,9";"21,9";"21,0";"1010,4";"1010,6";"1010,2";"0,3";"277,0";"4,2";"596,30";"0,0"
"02/01/2025";"1400";"25,1";"26,4";"25,1";"82,0";"82,0";"74,0";"21,8";"22,4";"20,7";"1011,0";"1011,0";"1010,4";"3,7";"153,0";"7,7";"276,10";"0,0"
"02/01/2025";"1500";"24,7";"25,0";"23,9";"81,0";"84,0";"81,0";"21,2";"21,8";"20,5";"1010,7";"1011,0";"1010,5";"1,5";"167,0";"9,6";"465,20";"0,0"
"02/01/2025";"1600";"25,9";"25,9";"24,6";"77,0";"84,0";"77,0";"21,5";"22,5";"20,9";"1008,6";"1010,7";"1008,6";"2,1";"122,0";"5,1";"1783,30";"0,8"
"02/01/2025";"1700";"27,2";"27,5";"25,7";"65,0";"76,0";"64,0";"20,0";"21,3";"19,9";"1007,2";"1008,6";"1007,2";"2,3";"21,0";"5,6";"3352,90";"0,0"
"02/01/2025";"1800";"28,4";"28,4";"27,2";"62,0";"67,0";"59,0";"20,3";"21,1";"19,3";"1006,2";"1007,2";"1006,2";"2,6";"31,0";"6,1";"3599,30";"0,0"
"02/01/2025";"1900";"27,4";"28,7";"27,2";"66,0";"67,0";"60,0";"20,5";"21,4";"19,9";"1005,9";"1006,2";"1005,8";"2,6";"19,0";"7,1";"2463,60";"0,0"
"02/01/2025";"2000";"26,7";"27,4";"26,7";"72,0";"72,0";"65,0";"21,2";"21,2";"20,0";"1006,1";"1006,1";"1005,5";"2,6";"23,0";"7,3";"1083,50";"0,0"
"02/01/2025";"2100";"26,0";"26,8";"25,9";"77,0";"77,0";"71,0";"21,7";"21,7";"21,0";"1006,3";"1006,3";"1005,8";"2,5";"22,0";"8,9";"252,50";"0,0"
"02/01/2025";"2200";"25,7";"26,0";"25,7";"84,0";"84,0";"77,0";"22,7";"22,7";"21,6";"1006,9";"1007,0";"1006,2";"2,5";"17,0";"7,2";"25,50";"0,0"
"02/01/2025";"2300";"25,7";"25,7";"25,6";"85,0";"85,0";"84,0";"22,9";"23,0";"22,7";"1007,6";"1007,6";"1006,9";"1,5";"20,0";"7,3";"4,60";"0,0"
"03/01/2025";"0000";"25,3";"25,7";"25,3";"84,0";"85,0";"83,0";"22,5";"22,9";"22,4";"1007,6";"1007,8";"1007,4";"0,4";"313,0";"5,2";"";"0,0"
"03/01/2025";"0100";"25,7";"25,9";"25,2";"84,0";"85,0";"84,0";"22,7";"23,0";"22,5";"1008,2";"1008,2";"1007,6";"1,4";"10,0";"4,0";"";"0,0"
"03/01/2025";"0200";"24,9";"25,7";"24,9";"87,0";"87,0";"84,0";"22,5";"22,7";"22,4";"1007,6";"1008,2";"1007,6";"2,1";"298,0";"4,0";"";"0,0"
"03/01/2025";"0300";"24,2";"24,9";"24,2";"88,0";"88,0";"87,0";"22,0";"22,5";"22,0";"1006,1";"1007,6";"1006,1";"0,6";"292,0";"5,0";"";"0,0"
"03/01/2025";"0400";"23,8";"24,2";"23,8";"88,0";"89,0";"88,0";"21,8";"22,1";"21,7";"1005,0";"1006,1";"1005,0";"0,0";"4,0";"2,3";"";"0,0"
