"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/12/2024";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"1100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"1200";"31,5";"31,5";"28,8";"53,0";"64,0";"53,0";"20,9";"21,7";"20,5";"1010,1";"1010,3";"1010,1";"2,7";"104,0";"7,3";"";"0,0"
"01/12/2024";"1300";"30,9";"31,9";"30,1";"54,0";"55,0";"49,0";"20,7";"20,7";"19,3";"1010,1";"1010,3";"1010,1";"3,1";"106,0";"7,9";"";"0,0"
"01/12/2024";"1400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"1500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"1600";"31,7";"32,9";"31,1";"50,0";"54,0";"48,0";"20,1";"20,9";"19,8";"1008,4";"1009,4";"1008,4";"3,7";"88,0";"7,5";"";"0,0"
"01/12/2024";"1700";"31,8";"32,4";"31,0";"51,0";"51,0";"47,0";"20,3";"20,6";"19,3";"1007,3";"1008,4";"1007,3";"3,4";"101,0";"7,5";"";"0,0"
"01/12/2024";"1800";"30,6";"32,3";"30,3";"56,0";"56,0";"48,0";"20,7";"21,0";"19,5";"1006,9";"1007,3";"1006,8";"3,6";"100,0";"7,5";"";"0,0"
"01/12/2024";"1900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/12/2024";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"1100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"1200";"29,4";"30,7";"28,7";"60,0";"64,0";"56,0";"20,9";"21,7";"20,7";"1009,2";"1009,3";"1009,1";"3,8";"95,0";"8,1";"";"0,0"
"02/12/2024";"1300";"29,6";"30,3";"29,3";"61,0";"62,0";"59,0";"21,1";"21,7";"21,1";"1009,8";"1009,8";"1009,2";"3,5";"90,0";"7,6";"";"0,0"
"02/12/2024";"1400";"30,6";"31,1";"29,3";"57,0";"63,0";"56,0";"21,0";"22,2";"21,0";"1009,7";"1010,1";"1009,7";"3,4";"79,0";"8,3";"";"0,0"
"02/12/2024";"1500";"31,1";"32,7";"30,5";"55,0";"59,0";"51,0";"21,0";"22,2";"20,6";"1009,0";"1009,7";"1008,9";"3,6";"93,0";"8,8";"";"0,0"
"02/12/2024";"1600";"31,9";"32,3";"30,5";"53,0";"57,0";"52,0";"21,2";"21,5";"20,4";"1008,6";"1009,0";"1008,6";"3,8";"74,0";"8,3";"";"0,0"
"02/12/2024";"1700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"1800";"31,2";"32,0";"30,7";"54,0";"54,0";"49,0";"20,8";"20,9";"19,3";"1007,2";"1007,8";"1007,2";"3,9";"79,0";"7,8";"";"0,0"
"02/12/2024";"1900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/12/2024";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/12/2024";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/12/2024";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/12/2024";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/12/2024";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/12/2024";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/12/2024";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/12/2024";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/12/2024";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
