"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"22,0";"22,2";"21,9";"91,0";"91,0";"89,0";"20,4";"20,5";"20,2";"931,2";"931,2";"930,4";"1,1";"170,0";"5,2";"";"1,0"
"01/01/2025";"0100";"21,6";"22,0";"21,4";"92,0";"92,0";"91,0";"20,1";"20,5";"19,9";"931,4";"931,5";"931,2";"0,3";"130,0";"3,6";"";"2,2"
"01/01/2025";"0200";"21,5";"21,7";"21,3";"92,0";"92,0";"92,0";"20,1";"20,2";"19,9";"931,3";"931,4";"931,3";"0,0";"353,0";"1,8";"";"0,8"
"01/01/2025";"0300";"21,5";"21,6";"21,5";"92,0";"92,0";"92,0";"20,1";"20,3";"20,1";"931,0";"931,3";"930,9";"1,1";"339,0";"3,8";"";"0,0"
"01/01/2025";"0400";"21,5";"21,7";"21,3";"90,0";"92,0";"90,0";"19,9";"20,1";"19,8";"930,6";"931,1";"930,6";"0,1";"7,0";"4,0";"";"0,0"
"01/01/2025";"0500";"21,5";"21,5";"21,3";"91,0";"91,0";"90,0";"20,0";"20,0";"19,8";"930,3";"930,6";"930,2";"0,0";"299,0";"1,1";"";"0,0"
"01/01/2025";"0600";"21,5";"21,5";"21,4";"92,0";"92,0";"91,0";"20,1";"20,1";"19,9";"930,0";"930,2";"930,0";"0,4";"158,0";"1,1";"";"0,0"
"01/01/2025";"0700";"21,7";"21,8";"21,4";"92,0";"92,0";"92,0";"20,3";"20,4";"20,0";"930,2";"930,3";"929,9";"0,2";"161,0";"1,4";"";"0,0"
"01/01/2025";"0800";"21,6";"21,7";"21,6";"92,0";"92,0";"92,0";"20,3";"20,4";"20,3";"930,5";"930,6";"930,3";"0,0";"3,0";"1,1";"";"0,0"
"01/01/2025";"0900";"21,8";"21,8";"21,5";"92,0";"92,0";"92,0";"20,4";"20,4";"20,1";"931,4";"931,4";"930,5";"0,4";"113,0";"1,7";"10,40";"0,0"
"01/01/2025";"1000";"22,3";"22,3";"21,8";"91,0";"92,0";"91,0";"20,7";"20,7";"20,4";"932,0";"932,0";"931,4";"0,0";"269,0";"1,6";"148,50";"0,0"
"01/01/2025";"1100";"23,9";"23,9";"22,3";"83,0";"91,0";"83,0";"20,9";"21,4";"20,5";"932,4";"932,4";"932,0";"0,6";"63,0";"1,4";"483,10";"0,0"
"01/01/2025";"1200";"25,2";"25,8";"23,9";"72,0";"83,0";"70,0";"19,8";"21,4";"19,2";"932,7";"932,7";"932,4";"1,0";"11,0";"3,0";"1284,70";"0,0"
"01/01/2025";"1300";"27,5";"28,7";"25,2";"62,0";"73,0";"61,0";"19,6";"21,8";"19,2";"932,7";"932,9";"932,7";"1,8";"347,0";"4,4";"2731,70";"0,0"
"01/01/2025";"1400";"29,2";"29,7";"26,8";"52,0";"70,0";"50,0";"18,5";"21,5";"18,0";"932,1";"932,7";"932,1";"1,4";"12,0";"4,4";"2830,80";"0,0"
"01/01/2025";"1500";"29,2";"30,8";"28,9";"54,0";"57,0";"47,0";"19,0";"20,1";"17,1";"931,2";"932,1";"931,2";"0,7";"307,0";"4,3";"2973,60";"0,0"
"01/01/2025";"1600";"28,0";"29,2";"26,3";"65,0";"73,0";"54,0";"20,7";"22,6";"19,4";"930,7";"931,3";"930,7";"0,8";"246,0";"4,5";"1480,70";"0,4"
"01/01/2025";"1700";"28,9";"29,2";"27,5";"62,0";"66,0";"57,0";"20,9";"21,1";"19,1";"929,7";"930,8";"929,7";"0,3";"195,0";"3,9";"1215,50";"0,0"
"01/01/2025";"1800";"29,8";"30,4";"27,9";"53,0";"62,0";"51,0";"19,2";"21,2";"18,9";"928,9";"929,7";"928,9";"2,5";"343,0";"6,0";"1674,90";"0,0"
"01/01/2025";"1900";"25,6";"29,8";"25,6";"69,0";"70,0";"52,0";"19,5";"21,2";"19,0";"928,6";"929,0";"928,4";"0,9";"18,0";"6,3";"974,70";"0,0"
