"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2025";"0000";"12,4";"12,4";"12,1";"88,0";"90,0";"87,0";"10,5";"10,6";"10,1";"868,8";"868,9";"868,5";"1,9";"18,0";"5,2";"";"0,0"
"01/09/2025";"0100";"12,1";"12,4";"12,1";"88,0";"89,0";"88,0";"10,1";"10,5";"10,1";"869,4";"869,4";"868,8";"1,3";"11,0";"5,5";"";"0,0"
"01/09/2025";"0200";"11,9";"12,1";"11,7";"91,0";"91,0";"87,0";"10,5";"10,5";"9,8";"869,6";"869,7";"869,4";"1,1";"23,0";"5,2";"";"0,0"
"01/09/2025";"0300";"11,7";"11,9";"11,7";"91,0";"92,0";"91,0";"10,4";"10,6";"10,3";"869,5";"869,7";"869,5";"0,9";"34,0";"3,0";"";"0,0"
"01/09/2025";"0400";"11,8";"12,1";"11,7";"90,0";"92,0";"89,0";"10,2";"10,5";"10,1";"869,1";"869,5";"869,1";"2,0";"14,0";"5,2";"";"0,0"
"01/09/2025";"0500";"11,5";"11,8";"11,3";"89,0";"93,0";"89,0";"9,9";"10,4";"9,8";"868,5";"869,1";"868,5";"1,6";"22,0";"5,2";"";"0,0"
"01/09/2025";"0600";"11,6";"11,7";"11,4";"93,0";"93,0";"89,0";"10,5";"10,5";"9,7";"868,0";"868,7";"868,0";"2,1";"26,0";"5,2";"";"0,0"
"01/09/2025";"0700";"11,7";"11,8";"11,5";"90,0";"93,0";"90,0";"10,2";"10,4";"10,2";"868,2";"868,3";"867,8";"2,1";"32,0";"4,8";"";"0,0"
"01/09/2025";"0800";"11,5";"11,7";"11,5";"91,0";"91,0";"89,0";"10,0";"10,1";"9,9";"867,8";"868,3";"867,8";"1,2";"19,0";"4,7";"";"0,0"
"01/09/2025";"0900";"11,3";"11,5";"11,2";"93,0";"95,0";"91,0";"10,1";"10,6";"10,0";"868,0";"868,1";"867,7";"1,4";"19,0";"4,0";"";"0,2"
"01/09/2025";"1000";"11,4";"11,5";"11,2";"90,0";"93,0";"89,0";"9,8";"10,2";"9,7";"867,5";"868,0";"867,3";"2,9";"31,0";"7,4";"11,90";"0,0"
"01/09/2025";"1100";"11,2";"11,4";"11,0";"87,0";"92,0";"86,0";"9,1";"9,8";"9,1";"868,0";"868,2";"867,5";"2,2";"15,0";"6,1";"165,40";"0,0"
"01/09/2025";"1200";"10,9";"11,2";"10,8";"93,0";"93,0";"87,0";"9,8";"9,9";"9,2";"868,2";"868,4";"868,0";"2,9";"18,0";"8,0";"406,40";"0,0"
"01/09/2025";"1300";"12,4";"12,5";"10,9";"88,0";"94,0";"88,0";"10,5";"10,7";"9,8";"868,2";"868,4";"868,0";"2,4";"12,0";"7,7";"1162,70";"0,0"
"01/09/2025";"1400";"13,5";"13,5";"12,1";"84,0";"91,0";"83,0";"10,8";"11,0";"10,3";"868,6";"868,6";"868,1";"2,6";"4,0";"8,3";"1370,10";"0,0"
"01/09/2025";"1500";"14,2";"14,3";"13,3";"80,0";"84,0";"80,0";"10,9";"11,1";"10,4";"868,5";"868,9";"868,3";"2,9";"10,0";"8,1";"1671,40";"0,0"
"01/09/2025";"1600";"14,2";"14,8";"13,8";"81,0";"83,0";"78,0";"11,0";"11,5";"10,5";"868,0";"868,6";"867,9";"2,3";"358,0";"8,1";"1954,60";"0,0"
"01/09/2025";"1700";"14,2";"14,4";"13,9";"83,0";"84,0";"81,0";"11,4";"11,6";"10,9";"868,8";"868,8";"868,0";"1,5";"355,0";"6,1";"1105,50";"0,0"
"01/09/2025";"1800";"14,4";"15,0";"14,2";"82,0";"83,0";"80,0";"11,5";"11,7";"11,1";"868,6";"868,9";"868,5";"1,5";"350,0";"4,8";"959,40";"0,0"
"01/09/2025";"1900";"14,0";"15,0";"14,0";"85,0";"85,0";"81,0";"11,5";"12,1";"11,2";"868,6";"868,7";"868,5";"1,2";"356,0";"5,4";"806,50";"0,0"
"01/09/2025";"2000";"13,6";"14,0";"13,3";"89,0";"92,0";"85,0";"11,7";"12,1";"11,4";"868,8";"869,0";"868,6";"1,0";"4,0";"4,4";"269,50";"0,0"
"01/09/2025";"2100";"12,8";"13,7";"12,8";"90,0";"90,0";"87,0";"11,1";"11,8";"11,1";"868,6";"869,1";"868,6";"1,1";"3,0";"3,2";"223,60";"0,0"
"01/09/2025";"2200";"12,5";"12,8";"12,5";"91,0";"92,0";"89,0";"11,1";"11,3";"11,0";"868,4";"868,6";"868,1";"2,3";"12,0";"5,9";"1,80";"0,0"
"01/09/2025";"2300";"12,5";"12,6";"12,5";"91,0";"92,0";"91,0";"11,0";"11,3";"11,0";"868,7";"868,7";"868,3";"2,0";"15,0";"6,3";"";"0,0"
"02/09/2025";"0000";"12,5";"12,6";"12,4";"90,0";"91,0";"90,0";"10,8";"11,1";"10,8";"868,5";"868,8";"868,4";"2,4";"15,0";"6,2";"";"0,0"
"02/09/2025";"0100";"12,3";"12,5";"12,3";"90,0";"91,0";"90,0";"10,8";"10,9";"10,7";"868,3";"868,6";"868,3";"2,8";"25,0";"5,4";"";"0,0"
"02/09/2025";"0200";"12,2";"12,4";"12,1";"90,0";"91,0";"90,0";"10,7";"10,9";"10,6";"868,6";"868,7";"868,2";"2,1";"19,0";"6,4";"";"0,0"
"02/09/2025";"0300";"12,1";"12,3";"12,0";"90,0";"91,0";"90,0";"10,5";"10,7";"10,5";"868,4";"868,7";"868,3";"2,4";"17,0";"6,1";"";"0,0"
"02/09/2025";"0400";"11,9";"12,1";"11,8";"92,0";"92,0";"90,0";"10,6";"10,6";"10,4";"868,2";"868,4";"868,1";"2,3";"11,0";"5,4";"";"0,0"
"02/09/2025";"0500";"11,9";"12,1";"11,8";"90,0";"92,0";"90,0";"10,4";"10,7";"10,3";"868,0";"868,2";"868,0";"2,0";"11,0";"7,4";"";"0,0"
"02/09/2025";"0600";"11,8";"12,0";"11,7";"89,0";"91,0";"89,0";"10,2";"10,4";"10,1";"867,5";"868,0";"867,5";"2,0";"14,0";"5,7";"";"0,0"
"02/09/2025";"0700";"12,0";"12,0";"11,7";"90,0";"91,0";"89,0";"10,4";"10,4";"10,1";"867,2";"867,5";"867,0";"2,5";"13,0";"5,6";"";"0,0"
"02/09/2025";"0800";"11,9";"12,0";"11,7";"89,0";"91,0";"89,0";"10,2";"10,4";"10,1";"867,4";"867,4";"867,2";"2,6";"13,0";"6,3";"";"0,0"
"02/09/2025";"0900";"12,1";"12,1";"11,8";"90,0";"91,0";"89,0";"10,4";"10,4";"10,2";"867,3";"867,4";"867,2";"2,6";"12,0";"7,2";"";"0,0"
