"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2024";"0000";"12,3";"12,5";"12,0";"88,0";"88,0";"86,0";"10,3";"10,4";"9,8";"1024,6";"1024,7";"1024,5";"0,8";"193,0";"2,3";"";"0,0"
"01/06/2024";"0100";"12,1";"12,3";"12,0";"88,0";"88,0";"88,0";"10,3";"10,4";"10,1";"1024,7";"1024,9";"1024,6";"1,2";"194,0";"2,5";"";"0,0"
"01/06/2024";"0200";"12,2";"12,2";"12,0";"89,0";"89,0";"88,0";"10,5";"10,5";"10,2";"1024,4";"1024,8";"1024,4";"0,7";"198,0";"2,6";"";"0,0"
"01/06/2024";"0300";"12,0";"12,2";"12,0";"90,0";"90,0";"89,0";"10,3";"10,5";"10,3";"1024,1";"1024,4";"1024,0";"1,1";"171,0";"2,1";"";"0,0"
"01/06/2024";"0400";"12,3";"12,3";"11,9";"90,0";"90,0";"90,0";"10,8";"10,8";"10,3";"1023,5";"1024,1";"1023,5";"1,2";"208,0";"2,6";"";"0,0"
"01/06/2024";"0500";"12,6";"12,6";"12,3";"91,0";"91,0";"90,0";"11,2";"11,2";"10,8";"1023,4";"1023,5";"1023,4";"1,5";"220,0";"3,0";"";"0,0"
"01/06/2024";"0600";"13,0";"13,0";"12,6";"91,0";"91,0";"91,0";"11,5";"11,5";"11,2";"1023,5";"1023,6";"1023,4";"0,8";"220,0";"3,5";"";"0,0"
"01/06/2024";"0700";"12,9";"13,1";"12,9";"91,0";"91,0";"90,0";"11,4";"11,6";"11,4";"1023,2";"1023,5";"1023,1";"1,5";"202,0";"2,7";"";"0,0"
"01/06/2024";"0800";"12,6";"12,9";"12,5";"91,0";"91,0";"91,0";"11,2";"11,4";"11,1";"1023,4";"1023,4";"1023,2";"0,4";"199,0";"2,8";"";"0,0"
"01/06/2024";"0900";"12,8";"12,8";"12,5";"91,0";"92,0";"91,0";"11,5";"11,5";"11,1";"1023,9";"1023,9";"1023,4";"1,7";"189,0";"3,0";"6,30";"0,0"
