"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/11/2023";"0000";"20,4";"20,9";"20,4";"84,0";"84,0";"83,0";"17,6";"17,9";"17,5";"1012,7";"1012,8";"1012,4";"0,0";"242,0";"3,2";"";"0,0"
"01/11/2023";"0100";"20,3";"20,5";"20,3";"86,0";"86,0";"84,0";"17,8";"17,8";"17,5";"1013,0";"1013,1";"1012,7";"0,0";"312,0";"2,1";"";"0,2"
"01/11/2023";"0200";"20,0";"20,4";"20,0";"87,0";"87,0";"86,0";"17,8";"18,0";"17,8";"1012,8";"1013,0";"1012,7";"1,2";"299,0";"1,9";"";"0,0"
"01/11/2023";"0300";"19,9";"20,1";"19,8";"88,0";"88,0";"87,0";"17,8";"17,9";"17,7";"1012,4";"1012,9";"1012,4";"0,0";"262,0";"2,2";"";"0,0"
"01/11/2023";"0400";"19,4";"19,9";"19,4";"89,0";"89,0";"88,0";"17,5";"17,9";"17,5";"1011,8";"1012,4";"1011,8";"0,0";"234,0";"2,4";"";"0,0"
"01/11/2023";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/11/2023";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/11/2023";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/11/2023";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/11/2023";"0900";"19,9";"20,1";"19,2";"87,0";"88,0";"87,0";"17,7";"18,0";"17,2";"1013,6";"1013,6";"1012,9";"1,1";"196,0";"3,2";"379,60";"0,0"
"01/11/2023";"1000";"20,9";"21,1";"19,9";"84,0";"87,0";"84,0";"18,1";"18,3";"17,6";"1014,1";"1014,1";"1013,6";"2,2";"172,0";"4,9";"870,20";"0,0"
"01/11/2023";"1100";"21,9";"22,2";"20,9";"81,0";"84,0";"81,0";"18,5";"19,1";"18,0";"1014,7";"1014,7";"1014,1";"2,8";"187,0";"6,0";"1272,90";"0,0"
"01/11/2023";"1200";"22,1";"22,2";"21,5";"80,0";"82,0";"79,0";"18,4";"18,8";"18,0";"1015,0";"1015,0";"1014,7";"1,7";"166,0";"6,0";"1356,00";"0,0"
"01/11/2023";"1300";"22,2";"22,8";"22,0";"77,0";"80,0";"76,0";"17,9";"18,9";"17,9";"1014,5";"1015,1";"1014,5";"2,6";"114,0";"5,5";"1375,10";"0,0"
