"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2023";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2023";"1000";"18,2";"18,2";"17,6";"93,0";"94,0";"92,0";"17,0";"17,0";"16,5";"1013,1";"1013,3";"1012,7";"0,8";"17,0";"1,5";"478,50";"0,0"
"01/10/2023";"1100";"18,9";"18,9";"18,2";"91,0";"93,0";"91,0";"17,4";"17,4";"16,9";"1013,6";"1013,7";"1013,1";"0,3";"1,0";"1,8";"781,40";"0,0"
"01/10/2023";"1200";"20,2";"20,3";"18,3";"86,0";"91,0";"86,0";"17,9";"18,1";"16,4";"1013,5";"1013,8";"1013,5";"1,3";"163,0";"4,4";"1430,20";"0,2"
"01/10/2023";"1300";"21,0";"21,4";"20,0";"83,0";"86,0";"83,0";"18,1";"18,6";"17,4";"1013,1";"1013,5";"1013,0";"1,6";"350,0";"3,0";"2182,50";"0,0"
"01/10/2023";"1400";"21,7";"21,7";"21,0";"81,0";"84,0";"81,0";"18,4";"18,5";"18,0";"1012,6";"1013,1";"1012,6";"0,1";"347,0";"3,0";"1432,10";"0,0"
"01/10/2023";"1500";"21,4";"22,3";"21,4";"80,0";"82,0";"79,0";"17,9";"18,8";"17,8";"1012,2";"1012,6";"1012,2";"3,2";"19,0";"5,1";"1349,90";"0,0"
"01/10/2023";"1600";"21,6";"21,6";"20,9";"81,0";"82,0";"80,0";"18,2";"18,2";"17,5";"1011,6";"1012,2";"1011,6";"2,1";"107,0";"4,6";"1008,20";"0,0"
"01/10/2023";"1700";"21,5";"22,3";"21,3";"79,0";"81,0";"79,0";"17,7";"18,8";"17,6";"1011,2";"1011,6";"1011,2";"2,0";"64,0";"4,0";"1254,10";"0,0"
"01/10/2023";"1800";"21,1";"21,8";"21,1";"77,0";"79,0";"77,0";"16,9";"18,0";"16,9";"1011,0";"1011,2";"1011,0";"2,6";"118,0";"4,6";"574,20";"0,0"
"01/10/2023";"1900";"20,1";"21,1";"20,1";"78,0";"78,0";"77,0";"16,2";"16,9";"16,1";"1011,0";"1011,1";"1010,9";"2,5";"96,0";"6,4";"282,60";"0,0"
"01/10/2023";"2000";"19,1";"20,1";"19,1";"79,0";"79,0";"78,0";"15,4";"16,2";"15,4";"1011,4";"1011,5";"1011,0";"1,6";"88,0";"4,9";"60,40";"0,0"
"01/10/2023";"2100";"18,8";"19,1";"18,8";"79,0";"80,0";"79,0";"15,1";"15,4";"15,1";"1011,9";"1011,9";"1011,4";"1,9";"132,0";"4,5";"";"0,0"
"01/10/2023";"2200";"18,3";"18,8";"18,3";"79,0";"80,0";"79,0";"14,7";"15,2";"14,6";"1012,6";"1012,6";"1011,8";"1,5";"113,0";"4,9";"";"0,0"
"01/10/2023";"2300";"18,0";"18,3";"18,0";"79,0";"79,0";"79,0";"14,3";"14,7";"14,3";"1013,5";"1013,5";"1012,6";"1,2";"127,0";"4,9";"";"0,0"
"02/10/2023";"0000";"17,6";"18,0";"17,6";"79,0";"79,0";"79,0";"14,0";"14,3";"14,0";"1013,9";"1013,9";"1013,5";"1,7";"109,0";"3,1";"";"0,0"
"02/10/2023";"0100";"17,5";"17,7";"17,4";"80,0";"80,0";"79,0";"13,9";"14,1";"13,8";"1014,1";"1014,1";"1013,8";"0,4";"103,0";"3,1";"";"0,0"
"02/10/2023";"0200";"17,3";"17,5";"17,2";"79,0";"80,0";"79,0";"13,7";"13,9";"13,6";"1013,8";"1014,1";"1013,8";"0,8";"116,0";"2,3";"";"0,0"
"02/10/2023";"0300";"16,8";"17,4";"16,8";"80,0";"80,0";"79,0";"13,3";"13,8";"13,3";"1012,9";"1013,8";"1012,9";"0,0";"221,0";"2,0";"";"0,0"
"02/10/2023";"0400";"16,6";"17,0";"16,4";"81,0";"81,0";"80,0";"13,3";"13,6";"13,1";"1012,3";"1012,9";"1012,3";"0,7";"239,0";"2,5";"";"0,0"
"02/10/2023";"0500";"16,5";"16,6";"16,4";"82,0";"82,0";"81,0";"13,4";"13,5";"13,2";"1012,0";"1012,3";"1011,9";"0,0";"183,0";"1,5";"";"0,0"
"02/10/2023";"0600";"16,6";"16,7";"16,4";"83,0";"83,0";"82,0";"13,7";"13,8";"13,3";"1011,9";"1012,0";"1011,8";"0,0";"251,0";"1,4";"";"0,0"
"02/10/2023";"0700";"16,4";"16,6";"16,2";"84,0";"84,0";"83,0";"13,8";"13,8";"13,4";"1012,1";"1012,2";"1011,9";"0,0";"234,0";"0,5";"";"0,0"
"02/10/2023";"0800";"16,1";"16,5";"16,1";"86,0";"86,0";"84,0";"13,7";"13,9";"13,5";"1012,2";"1012,3";"1012,1";"0,0";"145,0";"0,7";"3,40";"0,0"
"02/10/2023";"0900";"16,6";"16,7";"16,0";"86,0";"86,0";"85,0";"14,2";"14,3";"13,6";"1012,9";"1012,9";"1012,2";"0,6";"33,0";"1,4";"172,90";"0,0"
"02/10/2023";"1000";"17,9";"17,9";"16,6";"84,0";"86,0";"84,0";"15,2";"15,2";"14,2";"1012,8";"1012,9";"1012,7";"0,2";"109,0";"1,4";"707,10";"0,0"
"02/10/2023";"1100";"19,0";"19,4";"17,7";"79,0";"85,0";"79,0";"15,3";"16,0";"15,0";"1012,7";"1012,8";"1012,6";"1,4";"81,0";"3,6";"2014,40";"0,0"
"02/10/2023";"1200";"19,1";"19,3";"18,7";"78,0";"80,0";"77,0";"15,2";"15,5";"14,9";"1012,7";"1012,8";"1012,6";"1,8";"45,0";"3,6";"1048,80";"0,0"
"02/10/2023";"1300";"18,4";"19,2";"18,3";"77,0";"78,0";"77,0";"14,4";"15,3";"14,2";"1012,7";"1012,9";"1012,7";"3,2";"83,0";"5,4";"539,10";"0,0"
"02/10/2023";"1400";"18,3";"18,5";"18,2";"78,0";"78,0";"77,0";"14,3";"14,5";"14,2";"1012,4";"1012,7";"1012,4";"2,8";"78,0";"5,3";"593,10";"0,0"
"02/10/2023";"1500";"17,9";"18,5";"17,9";"77,0";"78,0";"77,0";"13,8";"14,5";"13,7";"1011,7";"1012,4";"1011,7";"2,9";"111,0";"5,6";"543,60";"0,0"
"02/10/2023";"1600";"17,5";"17,9";"17,4";"77,0";"77,0";"77,0";"13,4";"13,8";"13,3";"1011,2";"1011,7";"1011,2";"3,3";"113,0";"6,6";"484,50";"0,0"
"02/10/2023";"1700";"17,1";"17,4";"17,0";"77,0";"77,0";"76,0";"12,9";"13,3";"12,8";"1011,0";"1011,2";"1011,0";"3,2";"111,0";"6,6";"401,40";"0,0"
"02/10/2023";"1800";"16,8";"17,2";"16,8";"76,0";"77,0";"76,0";"12,6";"13,1";"12,6";"1011,2";"1011,3";"1011,0";"2,5";"138,0";"5,5";"216,80";"0,0"
"02/10/2023";"1900";"16,5";"16,8";"16,4";"74,0";"77,0";"74,0";"11,9";"12,6";"11,9";"1011,4";"1011,4";"1011,2";"1,8";"140,0";"5,1";"141,20";"0,0"
"02/10/2023";"2000";"16,3";"16,6";"16,2";"73,0";"74,0";"73,0";"11,5";"11,9";"11,4";"1011,8";"1011,8";"1011,4";"0,3";"184,0";"3,9";"44,30";"0,0"
"02/10/2023";"2100";"16,0";"16,3";"16,0";"73,0";"73,0";"73,0";"11,1";"11,5";"11,1";"1012,1";"1012,1";"1011,8";"0,9";"174,0";"3,3";"";"0,0"
"02/10/2023";"2200";"15,8";"16,1";"15,8";"74,0";"74,0";"73,0";"11,1";"11,3";"11,0";"1012,8";"1012,8";"1012,1";"0,0";"204,0";"2,9";"";"0,0"
"02/10/2023";"2300";"15,7";"15,9";"15,6";"75,0";"75,0";"74,0";"11,4";"11,4";"11,0";"1013,4";"1013,4";"1012,8";"0,6";"235,0";"1,9";"";"0,0"
"03/10/2023";"0000";"15,4";"15,7";"15,4";"78,0";"78,0";"75,0";"11,5";"11,5";"11,3";"1013,5";"1013,5";"1013,2";"1,4";"240,0";"2,5";"";"0,0"
"03/10/2023";"0100";"15,1";"15,4";"15,1";"80,0";"80,0";"78,0";"11,7";"11,7";"11,5";"1013,5";"1013,7";"1013,4";"1,1";"232,0";"3,3";"";"0,0"
"03/10/2023";"0200";"14,8";"15,1";"14,8";"82,0";"82,0";"80,0";"11,7";"11,9";"11,7";"1013,4";"1013,6";"1013,4";"0,9";"218,0";"2,7";"";"0,0"
"03/10/2023";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/10/2023";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/10/2023";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/10/2023";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/10/2023";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/10/2023";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/10/2023";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/10/2023";"1000";"15,5";"15,6";"15,0";"86,0";"87,0";"86,0";"13,2";"13,3";"12,7";"1013,5";"1013,6";"1013,0";"1,7";"232,0";"3,4";"383,70";"0,0"
"03/10/2023";"1100";"16,4";"16,4";"15,5";"84,0";"86,0";"84,0";"13,7";"13,7";"13,1";"1013,3";"1013,5";"1013,3";"1,5";"241,0";"3,0";"695,80";"0,0"
"03/10/2023";"1200";"17,1";"17,2";"16,2";"81,0";"84,0";"81,0";"13,7";"14,0";"13,3";"1013,5";"1013,6";"1013,3";"1,3";"246,0";"2,7";"962,10";"0,0"
"03/10/2023";"1300";"18,6";"19,0";"17,0";"76,0";"81,0";"75,0";"14,3";"14,8";"13,5";"1012,7";"1013,5";"1012,7";"0,2";"345,0";"3,0";"1546,30";"0,0"
"03/10/2023";"1400";"19,6";"19,8";"18,6";"74,0";"76,0";"74,0";"14,8";"15,1";"14,2";"1012,1";"1012,7";"1012,1";"0,9";"233,0";"2,3";"1868,30";"0,0"
"03/10/2023";"1500";"19,8";"20,4";"19,6";"73,0";"74,0";"72,0";"14,8";"15,6";"14,6";"1010,9";"1012,1";"1010,9";"1,6";"48,0";"4,5";"1984,70";"0,0"
"03/10/2023";"1600";"20,7";"20,7";"19,8";"71,0";"73,0";"71,0";"15,3";"15,6";"14,8";"1009,7";"1010,9";"1009,7";"1,2";"3,0";"3,8";"1671,00";"0,0"
"03/10/2023";"1700";"20,3";"20,8";"20,0";"72,0";"72,0";"71,0";"15,2";"15,5";"14,6";"1008,8";"1009,9";"1008,8";"2,2";"39,0";"4,2";"1110,20";"0,0"
"03/10/2023";"1800";"19,7";"20,5";"19,7";"72,0";"73,0";"71,0";"14,5";"15,4";"14,5";"1008,9";"1009,1";"1008,7";"3,5";"56,0";"5,0";"800,80";"0,0"
"03/10/2023";"1900";"19,3";"19,9";"19,2";"75,0";"75,0";"72,0";"14,7";"15,0";"14,4";"1008,7";"1008,9";"1008,4";"3,0";"29,0";"5,8";"409,20";"0,0"
"03/10/2023";"2000";"18,3";"19,3";"18,3";"77,0";"77,0";"75,0";"14,2";"14,7";"14,2";"1010,1";"1010,1";"1008,3";"1,8";"18,0";"4,4";"153,70";"0,0"
"03/10/2023";"2100";"17,7";"18,4";"17,7";"79,0";"79,0";"77,0";"14,0";"14,3";"14,0";"1010,1";"1010,3";"1009,9";"1,9";"36,0";"4,1";"";"0,0"
"03/10/2023";"2200";"17,7";"17,8";"17,6";"80,0";"80,0";"79,0";"14,3";"14,3";"14,1";"1010,7";"1010,7";"1010,0";"1,6";"51,0";"3,3";"";"0,0"
"03/10/2023";"2300";"17,5";"17,7";"17,5";"82,0";"82,0";"80,0";"14,3";"14,4";"14,2";"1010,8";"1011,0";"1010,6";"1,2";"66,0";"3,4";"";"0,0"
