Time	Temperature	Dew Point	Humidity	Wind	Speed	Gust	Pressure	Precip. Rate.	Precip. Accum.	UV	Solar
12:04 AM	22.3 °C	22.1 °C	99 %	North	15.3 km/h	18.6 km/h	1,019.64 hPa	25.40 mm	2.29 mm		w/m²
12:09 AM	22.3 °C	22.1 °C	99 %	NNW	10.3 km/h	16.3 km/h	1,019.64 hPa	24.38 mm	4.32 mm		w/m²
12:14 AM	22.3 °C	22.1 °C	99 %	NNW	9.4 km/h	13.7 km/h	1,019.64 hPa	25.91 mm	6.35 mm		w/m²
12:19 AM	22.3 °C	22.1 °C	99 %	NNW	3.4 km/h	9.1 km/h	1,019.64 hPa	23.62 mm	7.87 mm		w/m²
12:24 AM	22.2 °C	22.1 °C	99 %	WNW	4.8 km/h	5.3 km/h	1,019.64 hPa	24.89 mm	9.91 mm		w/m²
12:29 AM	22.3 °C	22.1 °C	99 %	NNW	6.9 km/h	11.3 km/h	1,019.64 hPa	26.67 mm	14.99 mm		w/m²
12:34 AM	22.3 °C	22.1 °C	99 %	NW	3.0 km/h	3.7 km/h	1,019.64 hPa	28.45 mm	17.78 mm		w/m²
12:39 AM	22.3 °C	22.1 °C	99 %	North	4.3 km/h	6.3 km/h	1,019.30 hPa	26.42 mm	19.30 mm		w/m²
12:44 AM	22.3 °C	22.2 °C	99 %	North	8.7 km/h	9.7 km/h	1,019.30 hPa	27.18 mm	20.57 mm		w/m²
12:49 AM	22.4 °C	22.2 °C	99 %	NNW	6.7 km/h	10.2 km/h	1,019.30 hPa	26.16 mm	22.35 mm		w/m²
12:54 AM	22.4 °C	22.2 °C	99 %	WNW	11.5 km/h	13.6 km/h	1,019.30 hPa	26.92 mm	23.37 mm		w/m²
12:59 AM	22.4 °C	22.2 °C	99 %		6.1 km/h	15.9 km/h	1,019.30 hPa	22.61 mm	24.13 mm		w/m²
1:04 AM	22.4 °C	22.2 °C	99 %	NNW	8.8 km/h	9.8 km/h	1,019.30 hPa	23.37 mm	25.40 mm		w/m²
1:09 AM	22.3 °C	22.1 °C	99 %	WNW	8.1 km/h	11.3 km/h	1,018.96 hPa	20.32 mm	26.16 mm		w/m²
1:14 AM	22.3 °C	22.1 °C	99 %	NE	12.0 km/h	15.4 km/h	1,018.96 hPa	21.59 mm	27.69 mm		w/m²
1:19 AM	22.4 °C	22.2 °C	99 %	NE	15.3 km/h	21.0 km/h	1,018.96 hPa	20.32 mm	29.46 mm		w/m²
1:24 AM	22.5 °C	22.3 °C	99 %	NNE	15.0 km/h	17.4 km/h	1,018.96 hPa	20.83 mm	30.48 mm		w/m²
1:29 AM	22.5 °C	22.3 °C	99 %	NNE	16.3 km/h	19.5 km/h	1,018.96 hPa	19.56 mm	36.32 mm		w/m²
1:34 AM	22.5 °C	22.3 °C	99 %	NE	19.6 km/h	25.9 km/h	1,018.63 hPa	22.86 mm	41.15 mm		w/m²
1:39 AM	22.5 °C	22.3 °C	99 %	NE	25.7 km/h	28.9 km/h	1,018.63 hPa	24.13 mm	44.20 mm		w/m²
1:44 AM	22.6 °C	22.4 °C	99 %	NE	25.7 km/h	29.8 km/h	1,018.63 hPa	25.40 mm	45.97 mm		w/m²
1:49 AM	22.6 °C	22.4 °C	99 %	ENE	20.9 km/h	28.2 km/h	1,018.63 hPa	24.13 mm	47.24 mm		w/m²
1:54 AM	22.7 °C	22.6 °C	99 %	ENE	20.9 km/h	29.2 km/h	1,018.63 hPa	24.64 mm	48.01 mm		w/m²
1:59 AM	22.7 °C	22.6 °C	99 %	ENE	26.3 km/h	32.5 km/h	1,018.29 hPa	23.37 mm	48.26 mm		w/m²
2:04 AM	22.8 °C	22.6 °C	99 %	ENE	22.8 km/h	26.8 km/h	1,018.29 hPa	23.62 mm	48.51 mm		w/m²
2:09 AM	22.9 °C	22.7 °C	99 %	ENE	23.5 km/h	33.2 km/h	1,018.29 hPa	21.34 mm	48.77 mm		w/m²
2:14 AM	23.0 °C	22.8 °C	99 %	NE	26.6 km/h	30.9 km/h	1,018.63 hPa	21.84 mm	49.53 mm		w/m²
2:19 AM	22.9 °C	22.8 °C	99 %	NE	23.7 km/h	26.4 km/h	1,018.63 hPa	20.83 mm	50.80 mm		w/m²
2:24 AM	22.9 °C	22.7 °C	99 %	NNE	20.6 km/h	25.3 km/h	1,018.63 hPa	22.61 mm	53.85 mm		w/m²
2:29 AM	22.8 °C	22.6 °C	99 %	NE	19.0 km/h	22.5 km/h	1,018.63 hPa	16.76 mm	56.39 mm		w/m²
2:34 AM	22.7 °C	22.6 °C	99 %	ENE	20.5 km/h	24.3 km/h	1,018.63 hPa	19.30 mm	61.47 mm		w/m²
2:39 AM	22.7 °C	22.6 °C	99 %	NE	19.6 km/h	21.8 km/h	1,018.63 hPa	21.08 mm	66.55 mm		w/m²
2:44 AM	22.7 °C	22.6 °C	99 %	NE	19.1 km/h	22.7 km/h	1,018.63 hPa	24.89 mm	72.64 mm		w/m²
2:49 AM	22.7 °C	22.6 °C	99 %	NNE	11.8 km/h	16.1 km/h	1,018.63 hPa	30.73 mm	78.49 mm		w/m²
2:54 AM	22.7 °C	22.5 °C	99 %	NE	6.0 km/h	9.8 km/h	1,018.63 hPa	35.81 mm	84.33 mm		w/m²
2:59 AM	22.6 °C	22.4 °C	99 %	East	4.5 km/h	5.3 km/h	1,018.29 hPa	40.13 mm	88.65 mm		w/m²
3:04 AM	22.6 °C	22.4 °C	99 %	ESE	5.5 km/h	7.5 km/h	1,018.29 hPa	42.42 mm	91.69 mm		w/m²
3:09 AM	22.5 °C	22.4 °C	99 %	ESE	1.7 km/h	3.7 km/h	1,018.29 hPa	45.21 mm	94.49 mm		w/m²
3:14 AM	22.5 °C	22.3 °C	99 %	NE	12.6 km/h	13.4 km/h	1,018.29 hPa	46.23 mm	96.01 mm		w/m²
3:19 AM	22.6 °C	22.5 °C	99 %	NNE	15.5 km/h	17.3 km/h	1,018.29 hPa	45.21 mm	97.79 mm		w/m²
3:24 AM	22.7 °C	22.6 °C	99 %		10.5 km/h	15.7 km/h	1,018.29 hPa	46.48 mm	100.08 mm		w/m²
3:29 AM	22.7 °C	22.6 °C	99 %	NE	11.3 km/h	12.9 km/h	1,018.29 hPa	43.94 mm	102.87 mm		w/m²
3:34 AM	22.7 °C	22.6 °C	99 %	NE	12.6 km/h	15.5 km/h	1,018.29 hPa	46.23 mm	106.17 mm		w/m²
3:39 AM	22.7 °C	22.6 °C	99 %	NNE	14.2 km/h	16.2 km/h	1,018.29 hPa	39.62 mm	109.73 mm		w/m²
3:44 AM	22.7 °C	22.6 °C	99 %	NNE	17.6 km/h	18.9 km/h	1,018.29 hPa	42.16 mm	113.54 mm		w/m²
3:49 AM	22.7 °C	22.6 °C	99 %	North	13.5 km/h	21.7 km/h	1,018.29 hPa	36.07 mm	118.62 mm		w/m²
