"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/05/2026";"0000";"25,3";"25,4";"25,1";"89,0";"89,0";"88,0";"23,4";"23,4";"23,0";"1008,5";"1008,6";"1008,1";"0,9";"124,0";"2,3";"";""
"01/05/2026";"0100";"25,1";"25,4";"25,0";"89,0";"89,0";"89,0";"23,2";"23,4";"23,0";"1008,8";"1009,1";"1008,5";"1,1";"119,0";"3,1";"0,40";""
"01/05/2026";"0200";"25,3";"25,3";"25,1";"89,0";"89,0";"89,0";"23,3";"23,4";"23,1";"1008,7";"1008,9";"1008,7";"1,6";"88,0";"4,5";"0,90";""
"01/05/2026";"0300";"25,2";"25,4";"25,2";"90,0";"90,0";"89,0";"23,3";"23,5";"23,3";"1007,9";"1008,7";"1007,9";"1,2";"146,0";"3,3";"0,50";""
"01/05/2026";"0400";"25,2";"25,4";"25,1";"89,0";"90,0";"88,0";"23,2";"23,3";"23,2";"1007,9";"1007,9";"1007,7";"1,6";"91,0";"4,6";"2,10";""
"01/05/2026";"0500";"24,4";"25,2";"24,4";"91,0";"91,0";"89,0";"22,9";"23,3";"22,9";"1007,9";"1008,1";"1007,9";"2,1";"84,0";"4,5";"0,40";""
"01/05/2026";"0600";"24,2";"24,4";"24,2";"92,0";"92,0";"91,0";"22,9";"22,9";"22,8";"1007,4";"1007,9";"1007,2";"0,8";"143,0";"3,1";"";""
"01/05/2026";"0700";"24,4";"24,5";"24,2";"93,0";"93,0";"92,0";"23,1";"23,2";"22,9";"1007,7";"1007,8";"1007,4";"0,9";"121,0";"2,3";"";""
"01/05/2026";"0800";"24,4";"24,5";"24,4";"93,0";"93,0";"93,0";"23,2";"23,2";"23,1";"1007,7";"1007,9";"1007,7";"1,1";"159,0";"3,2";"";""
"01/05/2026";"0900";"24,5";"24,6";"24,4";"93,0";"93,0";"93,0";"23,3";"23,4";"23,2";"1008,3";"1008,3";"1007,7";"0,8";"123,0";"2,4";"16,10";""
