"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2024";"0000";"25,0";"26,6";"25,0";"71,0";"71,0";"67,0";"19,4";"20,0";"19,4";"1009,7";"1009,7";"1008,8";"0,4";"47,0";"2,9";"";"0,0"
"01/10/2024";"0100";"24,0";"25,0";"24,0";"75,0";"75,0";"71,0";"19,3";"19,4";"19,2";"1010,3";"1010,3";"1009,7";"0,2";"112,0";"0,7";"";"0,0"
"01/10/2024";"0200";"23,3";"24,0";"23,3";"78,0";"78,0";"75,0";"19,3";"19,3";"19,2";"1010,6";"1010,6";"1010,3";"0,3";"109,0";"0,8";"";"0,0"
"01/10/2024";"0300";"23,0";"23,3";"23,0";"81,0";"81,0";"78,0";"19,6";"19,6";"19,3";"1010,1";"1010,6";"1010,1";"0,7";"132,0";"0,9";"";"0,0"
"01/10/2024";"0400";"22,6";"23,0";"22,6";"83,0";"83,0";"81,0";"19,5";"19,6";"19,5";"1009,5";"1010,1";"1009,5";"0,4";"104,0";"1,0";"";"0,0"
"01/10/2024";"0500";"22,3";"22,6";"22,3";"85,0";"85,0";"83,0";"19,6";"19,6";"19,4";"1009,1";"1009,5";"1009,1";"0,5";"127,0";"0,8";"";"0,0"
"01/10/2024";"0600";"21,9";"22,3";"21,9";"86,0";"86,0";"85,0";"19,5";"19,6";"19,5";"1008,7";"1009,1";"1008,7";"0,3";"137,0";"1,0";"";"0,0"
"01/10/2024";"0700";"21,7";"21,9";"21,7";"87,0";"87,0";"86,0";"19,5";"19,5";"19,4";"1008,3";"1008,7";"1008,3";"0,5";"138,0";"0,8";"";"0,0"
"01/10/2024";"0800";"21,9";"21,9";"21,7";"88,0";"88,0";"87,0";"19,8";"19,8";"19,5";"1008,6";"1008,6";"1008,2";"0,3";"142,0";"1,1";"";"0,0"
"01/10/2024";"0900";"21,9";"22,0";"21,8";"89,0";"89,0";"88,0";"20,0";"20,1";"19,8";"1008,8";"1008,8";"1008,6";"0,4";"133,0";"0,8";"";"0,0"
"01/10/2024";"1000";"22,2";"22,2";"21,8";"90,0";"90,0";"89,0";"20,5";"20,5";"20,0";"1009,0";"1009,1";"1008,8";"0,4";"137,0";"0,8";"64,80";"0,0"
"01/10/2024";"1100";"25,0";"25,0";"22,2";"91,0";"91,0";"90,0";"23,4";"23,4";"20,5";"1009,6";"1009,6";"1009,0";"0,8";"210,0";"2,0";"535,60";"0,0"
"01/10/2024";"1200";"28,6";"28,6";"25,0";"91,0";"91,0";"90,0";"26,9";"26,9";"23,3";"1010,1";"1010,1";"1009,6";"1,0";"165,0";"2,5";"1505,50";"0,0"
"01/10/2024";"1300";"30,1";"30,4";"28,4";"90,0";"91,0";"90,0";"28,2";"28,6";"26,7";"1010,3";"1010,3";"1010,0";"1,0";"198,0";"3,7";"1983,90";"0,0"
"01/10/2024";"1400";"32,4";"33,0";"30,1";"87,0";"90,0";"87,0";"30,0";"30,7";"28,3";"1009,4";"1010,3";"1009,4";"1,6";"118,0";"5,3";"2809,00";"0,0"
"01/10/2024";"1500";"34,2";"34,5";"32,2";"80,0";"87,0";"80,0";"30,2";"31,3";"29,5";"1008,8";"1009,4";"1008,8";"1,0";"40,0";"3,7";"2914,90";"0,0"
"01/10/2024";"1600";"36,0";"36,4";"33,4";"68,0";"80,0";"68,0";"29,2";"30,7";"28,1";"1007,8";"1008,8";"1007,8";"1,2";"297,0";"3,2";"2899,50";"0,0"
"01/10/2024";"1700";"35,9";"36,2";"34,6";"53,0";"68,0";"53,0";"24,8";"29,1";"24,7";"1006,4";"1007,8";"1006,4";"1,1";"109,0";"3,3";"2888,40";"0,0"
"01/10/2024";"1800";"36,1";"36,9";"35,3";"44,0";"53,0";"44,0";"22,0";"25,3";"21,4";"1005,8";"1006,4";"1005,8";"0,7";"122,0";"3,5";"2541,60";"0,0"
"01/10/2024";"1900";"35,9";"36,8";"35,5";"41,0";"44,0";"41,0";"20,8";"22,3";"20,5";"1005,7";"1005,8";"1005,5";"1,1";"71,0";"3,3";"1548,80";"0,0"
"01/10/2024";"2000";"34,6";"36,2";"34,5";"43,0";"43,0";"41,0";"20,2";"21,0";"19,8";"1005,7";"1005,7";"1005,7";"1,0";"85,0";"3,6";"510,40";"0,0"
"01/10/2024";"2100";"31,4";"34,6";"31,3";"51,0";"51,0";"43,0";"19,9";"20,4";"19,6";"1006,1";"1006,1";"1005,6";"0,8";"88,0";"4,4";"177,20";"0,0"
"01/10/2024";"2200";"29,2";"31,4";"29,2";"57,0";"57,0";"51,0";"19,8";"19,9";"19,5";"1006,9";"1006,9";"1006,1";"1,2";"79,0";"3,5";"4,50";"0,0"
"01/10/2024";"2300";"27,4";"29,3";"27,3";"63,0";"63,0";"57,0";"19,7";"19,9";"19,5";"1008,1";"1008,1";"1006,9";"0,8";"69,0";"3,5";"";"0,0"
"02/10/2024";"0000";"26,5";"27,4";"26,5";"69,0";"69,0";"63,0";"20,3";"20,4";"19,8";"1008,9";"1008,9";"1008,1";"0,7";"57,0";"2,5";"";"0,0"
"02/10/2024";"0100";"25,4";"26,5";"25,4";"73,0";"73,0";"69,0";"20,2";"20,4";"20,2";"1009,6";"1009,6";"1008,9";"0,3";"113,0";"2,5";"";"0,0"
"02/10/2024";"0200";"24,7";"25,4";"24,7";"77,0";"77,0";"73,0";"20,3";"20,4";"20,2";"1009,9";"1009,9";"1009,5";"0,2";"122,0";"0,7";"";"0,0"
"02/10/2024";"0300";"24,3";"24,7";"24,3";"79,0";"79,0";"77,0";"20,5";"20,5";"20,3";"1009,6";"1010,1";"1009,6";"0,3";"138,0";"0,7";"";"0,0"
"02/10/2024";"0400";"24,0";"24,3";"24,0";"82,0";"82,0";"79,0";"20,7";"20,7";"20,5";"1008,9";"1009,6";"1008,9";"0,4";"133,0";"0,9";"";"0,0"
"02/10/2024";"0500";"23,9";"24,1";"23,9";"84,0";"84,0";"82,0";"21,0";"21,1";"20,7";"1008,3";"1009,0";"1008,3";"0,4";"143,0";"0,9";"";"0,0"
"02/10/2024";"0600";"23,6";"23,9";"23,6";"85,0";"85,0";"84,0";"21,0";"21,0";"20,9";"1008,1";"1008,3";"1008,1";"0,4";"140,0";"1,0";"";"0,0"
"02/10/2024";"0700";"23,5";"23,6";"23,4";"87,0";"87,0";"85,0";"21,1";"21,1";"21,0";"1007,5";"1008,0";"1007,5";"0,3";"127,0";"1,0";"";"0,0"
"02/10/2024";"0800";"23,2";"23,5";"23,2";"88,0";"88,0";"87,0";"21,0";"21,2";"21,0";"1007,5";"1007,6";"1007,4";"0,4";"183,0";"1,0";"";"0,0"
"02/10/2024";"0900";"23,1";"23,3";"23,0";"88,0";"88,0";"88,0";"21,1";"21,1";"21,0";"1007,4";"1007,5";"1007,3";"0,2";"177,0";"0,9";"";"0,0"
"02/10/2024";"1000";"23,3";"23,3";"23,0";"89,0";"89,0";"88,0";"21,4";"21,4";"21,1";"1007,8";"1007,8";"1007,4";"0,3";"170,0";"1,2";"57,80";"0,0"
"02/10/2024";"1100";"26,8";"26,9";"23,3";"90,0";"90,0";"89,0";"25,1";"25,2";"21,4";"1008,3";"1008,3";"1007,8";"0,7";"251,0";"1,6";"522,70";"0,0"
"02/10/2024";"1200";"29,5";"29,5";"26,7";"90,0";"90,0";"90,0";"27,7";"27,7";"24,9";"1008,9";"1008,9";"1008,3";"0,9";"151,0";"2,7";"1542,90";"0,0"
"02/10/2024";"1300";"30,9";"31,1";"29,5";"89,0";"90,0";"89,0";"28,9";"29,1";"27,7";"1009,0";"1009,1";"1008,9";"1,3";"155,0";"6,0";"2048,30";"0,0"
"02/10/2024";"1400";"33,3";"33,6";"30,8";"86,0";"89,0";"86,0";"30,5";"31,0";"28,7";"1008,6";"1009,0";"1008,6";"0,8";"194,0";"4,2";"2653,10";"0,0"
"02/10/2024";"1500";"33,3";"33,8";"32,2";"80,0";"86,0";"80,0";"29,3";"30,4";"28,5";"1008,2";"1008,6";"1008,1";"1,6";"208,0";"3,3";"2219,20";"0,0"
"02/10/2024";"1600";"34,1";"35,5";"32,7";"71,0";"80,0";"71,0";"28,0";"30,7";"27,7";"1006,9";"1008,2";"1006,9";"1,1";"237,0";"3,7";"2701,80";"0,0"
"02/10/2024";"1700";"34,4";"37,0";"33,8";"61,0";"71,0";"61,0";"25,8";"29,8";"25,4";"1006,1";"1006,9";"1006,1";"1,8";"251,0";"4,1";"2554,40";"0,0"
