"DateTime";"FLORIANOPOLIS - AEROPORTO"
"2021-01-01 12:00:00";0
"2021-01-02 12:00:00";0
"2021-01-03 12:00:00";0
"2021-01-04 12:00:00";1
"2021-01-05 12:00:00";0
"2021-01-06 12:00:00";8
"2021-01-07 12:00:00";5
"2021-01-08 12:00:00";2
"2021-01-09 12:00:00";0
"2021-01-10 12:00:00";3
"2021-01-11 12:00:00";5
"2021-01-12 12:00:00";4
"2021-01-13 12:00:00";0
"2021-01-14 12:00:00";0
"2021-01-15 12:00:00";22
"2021-01-16 12:00:00";2
"2021-01-17 12:00:00";8
"2021-01-18 12:00:00";11
"2021-01-19 12:00:00";0
"2021-01-20 12:00:00";21
"2021-01-21 12:00:00";
"2021-01-22 12:00:00";14
"2021-01-23 12:00:00";42
"2021-01-24 12:00:00";32
"2021-01-25 12:00:00";40
"2021-01-26 12:00:00";4
"2021-01-27 12:00:00";3
"2021-01-28 12:00:00";1
"2021-01-29 12:00:00";18
"2021-01-30 12:00:00";20
"2021-01-31 12:00:00";0
"2021-02-01 12:00:00";3
"2021-02-02 12:00:00";11
"2021-02-03 12:00:00";
"2021-02-04 12:00:00";6
"2021-02-05 12:00:00";1
"2021-02-06 12:00:00";
"2021-02-07 12:00:00";
"2021-02-08 12:00:00";
"2021-02-09 12:00:00";
"2021-02-10 12:00:00";
"2021-02-11 12:00:00";
"2021-02-12 12:00:00";
"2021-02-13 12:00:00";13
"2021-02-14 12:00:00";
"2021-02-15 12:00:00";8
"2021-02-16 12:00:00";1
"2021-02-17 12:00:00";4
"2021-02-18 12:00:00";1
"2021-02-19 12:00:00";
"2021-02-20 12:00:00";
"2021-02-21 12:00:00";
"2021-02-22 12:00:00";
"2021-02-23 12:00:00";
"2021-02-24 12:00:00";6
"2021-02-25 12:00:00";4
"2021-02-26 12:00:00";32
"2021-02-27 12:00:00";32
"2021-02-28 12:00:00";16
