Nivel de qualidade,Data,Hora UTC,Incerteza UTC,Lat,Lon,Incerteza Local ,Município ,Estado,Fenomeno,Itensidade,Informativo
1,20181215,1745,0,-267.980,-509.840,0,Caçador,SC,TOR,0.0,"Horário estimado pelo radar de Morro da Igreja. Tornado EF-0 destelha casas na Av. Albino Potrich, no Bairro Martello. Vídeo no link. https://noticiahoje.net/video-mostra-residencias-sendo-destruidas-por-vendaval-em-cacador/, https://noticiahoje.net/temporal-destelha-ginasio-da-escola-ulysses-guimaraes/"
1,20181221,1855,0,-275.060,-486.370,0,Biguaçu,SC,TOR,0.0,"Horário estimado pelo radar de Morro da Igreja. Tromba d'água registrada em Biguaçu na Praia João Rosa. https://www.instagram.com/p/Brqo2BCAvyp/?utm_source=ig_web_copy_link, https://m.facebook.com/story.php?story_fbid=1880674698724763&id=1843634945878264&refsrc=http%3A%2F%2Fwww.google.com%2F&_rdr"
1,20190113,1855,10,-283.000,-499.380,1,São Joaquim,SC,TOR,0.0,"Horário estimado pelo radar de Morro da Igreja. 8 casas destelhadas no bairro Cohab 2. Vídeos mostram clara rotação dos ventos e funil. https://www.nsctotal.com.br/noticias/video-morador-registra-vendaval-que-causou-destelhamento-de-casas-na-serra-de-sc, https://saojoaquimonline.com.br/climaterra/2019/01/13/moradores-filmam-tufao-de-vento-destelhando-casas-em-sao-joaquim/"
1,20190318,1340,10,-271.139,-508.001,0.1,Fraiburgo,SC,TOR,0.0,Horário estimado por radar. Pequena mata totalmente decepada.  Observado por satélite ambiental.
1,20190318,1340,10,-271.129,-508.021,0.1,Fraiburgo,SC,TOR,0.0,Horário estimado por radar. Rastro de danos com 80 m de largura e com forte gradiente em lavoura. Observado por satélite ambiental.
1,20190318,1340,10,-271.118,-508.036,0.1,Fraiburgo,SC,TOR,0.0,Horário estimado por radar. Rastro de danos com 80 m de largura e com forte gradiente em lavoura. Observado por satélite ambiental.
1,20190318,1340,10,-271.109,-508.054,0.1,Fraiburgo,SC,TOR,0.0,Horário estimado por radar.Rastro de danos com 80 m de largura e com forte gradiente em lavoura. Observado por satélite ambiental.
1,20190318,1340,10,-271.102,-508.064,0.1,Fraiburgo,SC,TOR,0.0,Horário estimado por radar. Rastro de danos com 80 m de largura e com forte gradiente em lavoura. Observado por satélite ambiental.
1,20190318,1340,10,-271.092,-508.087,0.1,Fraiburgo,SC,TOR,0.0,Horário estimado por radar. Mata nativa com árvores decepedas.  Observado por satélite ambiental.
1,20190318,1340,10,-271.083,-508.105,0.1,Fraiburgo,SC,TOR,0.0,Horário estimado por radar. Mata nativa com árvores decepedas.  Observado por satélite ambiental.
1,20190318,1340,10,-271.074,-508.122,0.1,Fraiburgo,SC,TOR,0.0,Horário estimado por radar. Mata nativa com árvores decepedas.  Observado por satélite ambiental.
1,20190318,1340,10,-271.063,-508.138,0.1,Fraiburgo,SC,TOR,0.0,Horário estimado por radar. Mata nativa com árvores decepedas.  Observado por satélite ambiental.
3,20190318,1343,3,-271.185,-507.913,0.1,Fraiburgo,SC,TOR,0.0,"Horário de acordo com câmera de segurança. Danos verificados em campo por técnica em meteorologia. Os registros de fotos, relatos e vídeos, permitem classificar como um tornado F0. Árvores pequenas derrubadas na propriedade de Vacário. Dentro da propriedade derrubou uma grande araucária sobre um galpão. Rastro estimado de 3.6 km e largura média de 80 a 100 metros. https://www.facebook.com/thunderstorm.chasers/videos/2408222389409188/, https://www.curitibanosonline.com/noticias/regio/357104/1, https://www.curitibanosonline.com/noticias/regio/357104/1, https://destinos-sc.com.br/urgente-video-mostra-momento-em-que-tornado-teria-atingido-cidade-em-santa-catarina/, http://lebonregisonline.com.br/noticias/geral/3752-uma-possivel-micro-explosao-atmosferica-na-regiao-de-fraiburgo-e-frei-rogerio.html, https://www.youtube.com/watch?v=r5rIA2YKpwE&feature=youtu.be"
3,20190318,1343,5,-271.205,-507.877,0.1,Fraiburgo,SC,TOR,0.0,"Horário de acordo com câmera de segurança.Danos verificados em campo por técnica em meteorologia. Formação de um segundo tornado na propriedade de Vacário, provavelmente um satélite F0, que percorreu apenas 299 metros. https://www.facebook.com/thunderstorm.chasers/videos/2408222389409188/, https://www.curitibanosonline.com/noticias/regio/357104/1, https://www.curitibanosonline.com/noticias/regio/357104/1, https://destinos-sc.com.br/urgente-video-mostra-momento-em-que-tornado-teria-atingido-cidade-em-santa-catarina/, http://lebonregisonline.com.br/noticias/geral/3752-uma-possivel-micro-explosao-atmosferica-na-regiao-de-fraiburgo-e-frei-rogerio.html, https://www.youtube.com/watch?v=r5rIA2YKpwE&feature=youtu.be"
3,20190318,1345,10,-271.224,-507.840,0.1,Frei Rogério,SC,TOR,1.0,"Horário estimado por câmera de segurança e pelo radar de Morro da Igreja. Danos verificados em campo por técnica em meteorologia. Tornado entra na propriedade de Juca e provoca danos condizentes com um tornado F1. Grandes Araucárias são decepadas, e seu galhos são jogados a centenas de metros e cravados no solo. Uma árvore Embuia foi arranca pela raiz e jogada a aproximadamente 100 metros. O tornado arrancou um poste de concreto de mais de 10 metros do lugar. Segundo relato de Seu Juca, as copas das Araucárias eram arrancadas por uma fumaça que girava e jogava as árvores para cima a mais de 100 metros de altura. https://www.facebook.com/thunderstorm.chasers/videos/2408222389409188/, https://www.curitibanosonline.com/noticias/regio/357104/1, https://www.curitibanosonline.com/noticias/regio/357104/1, https://destinos-sc.com.br/urgente-video-mostra-momento-em-que-tornado-teria-atingido-cidade-em-santa-catarina/, http://lebonregisonline.com.br/noticias/geral/3752-uma-possivel-micro-explosao-atmosferica-na-regiao-de-fraiburgo-e-frei-rogerio.html, https://www.youtube.com/watch?v=r5rIA2YKpwE&feature=youtu.be"
3,20190318,1345,10,-271.292,-507.731,0.1,Frei Rogério,SC,TOR,1.0,"Horário estimado por câmera de segurança e pelo radar de Morro da Igreja. Danos verificados em campo por técnica em meteorologia. Tornado entra na proprieda de Reni, filho de Juca, e destelha seu galpão de fumo e parte do telhado de sua casa. Danos condizentes com tornado F1. https://www.facebook.com/thunderstorm.chasers/videos/2408222389409188/, https://www.curitibanosonline.com/noticias/regio/357104/1, https://www.curitibanosonline.com/noticias/regio/357104/1, https://destinos-sc.com.br/urgente-video-mostra-momento-em-que-tornado-teria-atingido-cidade-em-santa-catarina/, http://lebonregisonline.com.br/noticias/geral/3752-uma-possivel-micro-explosao-atmosferica-na-regiao-de-fraiburgo-e-frei-rogerio.html, https://www.youtube.com/watch?v=r5rIA2YKpwE&feature=youtu.be"
3,20190318,1345,10,-271.350,-507.620,0.1,Frei Rogério,SC,TOR,1.0,"Horário estimado por câmera de segurança e pelo radar de Morro da Igreja. Danos verificados em campo por técnica em meteorologia. Tornado ainda F1 destelha totalmente a casa de Ilgo e Hilda e arranca árvores. Fenômeno durou menos de 1 minuto segundo os relatos. https://www.facebook.com/thunderstorm.chasers/videos/2408222389409188/, https://www.curitibanosonline.com/noticias/regio/357104/1, https://www.curitibanosonline.com/noticias/regio/357104/1, https://destinos-sc.com.br/urgente-video-mostra-momento-em-que-tornado-teria-atingido-cidade-em-santa-catarina/, http://lebonregisonline.com.br/noticias/geral/3752-uma-possivel-micro-explosao-atmosferica-na-regiao-de-fraiburgo-e-frei-rogerio.html, https://www.youtube.com/watch?v=r5rIA2YKpwE&feature=youtu.be"
1,20190425,1840,10,-263.491,-532.787,3,Palma Sola,SC,TOR,0.0,"Horário estimado pelo radar de Chapecó. Morador filmou nuvem funil formando sobre uma área de mata no bairro Agrícola, e disse ter visto poeira subir logo abaixo da nuvem funil. https://m.facebook.com/story.php?story_fbid=1978885982239724&id=185514721576868"
1,20191212,1805,10,-276.109,-485.316,1,Florianópolis,SC,TOR,0.0,"Horário estimado pelo radar de Morro da Igreja. Tornado filmado no Sacos dos Limões, Avenida Prefeito Waldemar Vieira. Vídeo recebido de rede social."
1,20200610,1850,15,-270.424,-537.467,0.1,Itapiranga,SC,TOR,0.0,"Horário estimado pelo radar de Chapecó. Danos a mato de eucaliptos e galpões. Relato de dois moradores de duas propriedades na Linha Conceição. Rastro de destruição de 2 km de comprimento por 500 m de largura segundo morador, atingindo em torno de 8 propriedades. Moradores relatam ter visto o vento girando, parecendo um redemoinho, apos a ventania. Relato via rede social. https://portalsmo.com.br/1/noticias/29/geral/88082/temporal-causa-estragos-tambem-na-regiao-de-itapiranga"
1,20200610,1850,15,-270.408,-537.451,0.15,Itapiranga,SC,TOR,0.0,Horário estimado pelo radar. Casas destelhadas e mata decepada. Observado por satélite ambiental.
1,20200610,1850,15,-270.416,-537.422,0.2,Itapiranga,SC,TOR,0.0,Horário estimado pelo radar. Diversas tempestades passaram na região. Mata decepadas. Observado por satélite ambiental.
