"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/04/2025";"0000";"20,7";"20,7";"19,8";"73,0";"77,0";"73,0";"15,6";"15,9";"15,4";"864,2";"864,2";"863,3";"0,1";"289,0";"0,8";"";"0,0"
"01/04/2025";"0100";"19,0";"21,1";"18,1";"81,0";"83,0";"71,0";"15,6";"15,7";"14,7";"864,4";"864,4";"864,2";"0,5";"149,0";"1,3";"";"0,0"
"01/04/2025";"0200";"17,9";"19,1";"17,9";"89,0";"89,0";"80,0";"16,0";"16,0";"15,3";"864,5";"864,7";"864,3";"1,3";"156,0";"3,0";"";"0,0"
"01/04/2025";"0300";"17,6";"18,0";"17,5";"93,0";"93,0";"89,0";"16,5";"16,5";"16,1";"864,3";"864,6";"864,1";"1,4";"122,0";"2,6";"";"0,0"
"01/04/2025";"0400";"17,1";"17,6";"17,1";"94,0";"95,0";"93,0";"16,1";"16,5";"16,1";"864,0";"864,3";"864,0";"1,6";"127,0";"3,2";"";"0,0"
"01/04/2025";"0500";"16,8";"17,1";"16,8";"94,0";"94,0";"93,0";"15,8";"16,1";"15,8";"863,8";"864,1";"863,7";"1,3";"127,0";"2,8";"";"0,0"
"01/04/2025";"0600";"16,7";"16,8";"16,6";"95,0";"95,0";"94,0";"15,9";"15,9";"15,8";"863,7";"863,9";"863,7";"1,1";"114,0";"2,5";"";"0,0"
"01/04/2025";"0700";"16,3";"16,7";"16,3";"94,0";"95,0";"94,0";"15,4";"15,9";"15,4";"863,7";"863,8";"863,5";"0,5";"134,0";"1,8";"";"0,0"
"01/04/2025";"0800";"15,8";"16,3";"15,6";"95,0";"96,0";"94,0";"15,0";"15,4";"14,8";"863,4";"863,7";"863,4";"1,1";"82,0";"1,9";"";"0,0"
"01/04/2025";"0900";"15,2";"15,8";"15,2";"95,0";"96,0";"94,0";"14,5";"15,0";"14,4";"863,5";"863,6";"863,3";"0,8";"84,0";"2,1";"";"0,0"
"01/04/2025";"1000";"15,4";"15,4";"14,9";"97,0";"97,0";"94,0";"14,9";"14,9";"14,0";"864,0";"864,1";"863,5";"1,5";"110,0";"2,7";"52,70";"0,0"
"01/04/2025";"1100";"16,2";"16,2";"15,4";"94,0";"97,0";"93,0";"15,1";"15,2";"14,6";"864,8";"864,8";"864,0";"1,9";"127,0";"3,0";"366,60";"0,0"
"01/04/2025";"1200";"17,1";"17,2";"16,2";"91,0";"94,0";"91,0";"15,6";"15,8";"15,1";"865,4";"865,4";"864,8";"1,9";"133,0";"3,3";"912,00";"0,0"
"01/04/2025";"1300";"18,3";"18,9";"17,0";"86,0";"92,0";"84,0";"15,9";"16,5";"15,4";"865,7";"865,7";"865,3";"1,6";"122,0";"3,4";"1407,00";"0,0"
"01/04/2025";"1400";"18,8";"19,4";"18,0";"82,0";"88,0";"81,0";"15,6";"16,2";"15,6";"865,7";"865,8";"865,7";"1,7";"126,0";"3,1";"1387,30";"0,0"
"01/04/2025";"1500";"20,4";"21,1";"18,8";"75,0";"82,0";"74,0";"15,8";"16,7";"15,6";"865,3";"865,8";"865,3";"2,2";"127,0";"4,1";"2947,80";"0,0"
"01/04/2025";"1600";"20,8";"22,3";"20,1";"75,0";"77,0";"69,0";"16,2";"16,9";"15,3";"864,7";"865,3";"864,7";"2,0";"128,0";"4,4";"2981,40";"0,0"
"01/04/2025";"1700";"20,3";"21,8";"20,0";"78,0";"79,0";"70,0";"16,3";"16,5";"15,4";"864,4";"864,8";"864,4";"2,2";"157,0";"4,1";"1493,20";"0,0"
"01/04/2025";"1800";"20,6";"21,5";"20,0";"76,0";"78,0";"72,0";"16,1";"16,9";"15,7";"864,2";"864,4";"864,1";"2,1";"133,0";"3,9";"1590,90";"0,0"
"01/04/2025";"1900";"20,0";"21,2";"19,8";"78,0";"79,0";"74,0";"16,1";"16,6";"15,8";"864,0";"864,2";"864,0";"2,6";"124,0";"4,1";"1163,70";"0,0"
"01/04/2025";"2000";"18,6";"20,3";"18,6";"84,0";"84,0";"78,0";"15,9";"16,5";"15,7";"864,2";"864,2";"863,9";"2,4";"120,0";"4,5";"858,30";"0,0"
"01/04/2025";"2100";"17,7";"18,7";"17,7";"88,0";"88,0";"84,0";"15,7";"16,0";"15,6";"864,3";"864,3";"864,2";"2,1";"119,0";"4,2";"247,90";"0,0"
"01/04/2025";"2200";"17,1";"17,7";"17,0";"90,0";"91,0";"88,0";"15,4";"15,7";"15,4";"864,6";"864,6";"864,2";"1,9";"124,0";"3,8";"12,30";"0,0"
"01/04/2025";"2300";"16,4";"17,1";"16,3";"92,0";"92,0";"90,0";"15,1";"15,4";"15,1";"865,0";"865,0";"864,6";"1,6";"113,0";"3,6";"";"0,0"
"02/04/2025";"0000";"15,8";"16,4";"15,8";"94,0";"94,0";"92,0";"14,9";"15,2";"14,8";"865,3";"865,3";"865,0";"1,4";"121,0";"3,0";"";"0,0"
"02/04/2025";"0100";"16,0";"16,0";"15,6";"90,0";"95,0";"90,0";"14,4";"14,9";"14,4";"865,3";"865,3";"865,1";"1,8";"89,0";"3,2";"";"0,0"
"02/04/2025";"0200";"16,0";"16,2";"16,0";"86,0";"90,0";"86,0";"13,7";"14,4";"13,7";"865,0";"865,3";"865,0";"1,2";"76,0";"3,2";"";"0,0"
"02/04/2025";"0300";"16,3";"16,3";"15,8";"84,0";"87,0";"84,0";"13,6";"13,8";"13,6";"864,7";"865,1";"864,7";"1,1";"51,0";"2,1";"";"0,0"
"02/04/2025";"0400";"15,9";"16,4";"15,9";"85,0";"85,0";"84,0";"13,4";"13,7";"13,4";"863,9";"864,7";"863,9";"1,9";"46,0";"3,5";"";"0,0"
"02/04/2025";"0500";"15,4";"15,9";"15,4";"88,0";"88,0";"85,0";"13,5";"13,6";"13,4";"863,6";"863,9";"863,5";"1,6";"22,0";"3,9";"";"0,0"
"02/04/2025";"0600";"15,2";"15,5";"15,1";"90,0";"90,0";"88,0";"13,5";"13,6";"13,4";"863,0";"863,6";"863,0";"1,6";"26,0";"3,5";"";"0,0"
"02/04/2025";"0700";"14,7";"15,2";"14,7";"91,0";"91,0";"90,0";"13,2";"13,5";"13,2";"862,3";"863,0";"862,3";"1,0";"7,0";"3,1";"";"0,0"
"02/04/2025";"0800";"15,0";"15,0";"14,6";"92,0";"93,0";"91,0";"13,7";"13,8";"13,2";"862,1";"862,3";"861,8";"0,8";"360,0";"4,4";"";"0,0"
"02/04/2025";"0900";"14,8";"15,0";"14,8";"93,0";"93,0";"92,0";"13,7";"13,8";"13,6";"862,2";"862,2";"861,9";"0,4";"349,0";"3,5";"";"0,0"
"02/04/2025";"1000";"14,9";"15,0";"14,8";"92,0";"93,0";"92,0";"13,7";"13,8";"13,7";"862,5";"862,5";"862,1";"0,9";"348,0";"3,9";"22,40";"0,0"
"02/04/2025";"1100";"15,9";"15,9";"14,8";"89,0";"93,0";"89,0";"14,1";"14,2";"13,6";"862,6";"862,7";"862,4";"1,2";"352,0";"4,4";"380,80";"0,0"
"02/04/2025";"1200";"17,2";"17,7";"15,9";"83,0";"89,0";"82,0";"14,3";"14,8";"13,9";"863,2";"863,2";"862,6";"1,5";"352,0";"5,5";"1025,40";"0,0"
"02/04/2025";"1300";"19,2";"19,8";"17,1";"75,0";"84,0";"72,0";"14,6";"15,6";"14,2";"863,0";"863,2";"863,0";"1,2";"352,0";"5,4";"1728,30";"0,0"
"02/04/2025";"1400";"21,0";"21,5";"18,7";"66,0";"76,0";"65,0";"14,4";"15,2";"14,0";"862,6";"863,0";"862,5";"1,2";"336,0";"5,5";"2408,70";"0,0"
"02/04/2025";"1500";"22,1";"22,2";"20,4";"65,0";"69,0";"62,0";"15,2";"15,2";"14,0";"862,4";"862,7";"862,4";"1,3";"346,0";"5,6";"3131,10";"0,0"
"02/04/2025";"1600";"22,1";"23,1";"21,6";"64,0";"66,0";"62,0";"15,0";"15,9";"14,6";"861,5";"862,5";"861,5";"1,9";"318,0";"4,6";"3191,70";"0,0"
"02/04/2025";"1700";"21,8";"22,6";"21,2";"68,0";"71,0";"64,0";"15,5";"16,5";"14,8";"860,8";"861,5";"860,8";"1,6";"301,0";"4,7";"1512,30";"0,0"
"02/04/2025";"1800";"21,4";"22,8";"21,0";"71,0";"73,0";"67,0";"16,0";"16,8";"15,6";"860,5";"860,8";"860,4";"0,9";"294,0";"5,9";"1250,60";"0,0"
"02/04/2025";"1900";"21,6";"21,6";"20,7";"72,0";"76,0";"71,0";"16,4";"16,8";"15,9";"860,0";"860,5";"860,0";"2,2";"301,0";"4,8";"843,90";"0,0"
