"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/05/2025";"0000";"7,9";"9,0";"7,9";"93,0";"94,0";"86,0";"6,9";"7,7";"6,7";"863,8";"863,8";"863,5";"0,6";"122,0";"1,6";"";"0,0"
"01/05/2025";"0100";"9,7";"9,7";"7,5";"89,0";"97,0";"89,0";"7,9";"8,4";"6,8";"864,1";"864,2";"863,8";"1,1";"56,0";"1,5";"";"0,0"
"01/05/2025";"0200";"9,0";"9,9";"9,0";"79,0";"89,0";"78,0";"5,6";"7,9";"5,6";"864,3";"864,4";"864,1";"0,2";"344,0";"1,5";"";"0,0"
"01/05/2025";"0300";"8,9";"9,2";"8,3";"85,0";"86,0";"79,0";"6,6";"6,6";"5,6";"863,9";"864,3";"863,9";"0,1";"329,0";"0,9";"";"0,0"
"01/05/2025";"0400";"8,7";"9,5";"8,2";"85,0";"86,0";"81,0";"6,2";"6,8";"5,7";"863,5";"863,9";"863,5";"0,0";"334,0";"0,9";"";"0,0"
"01/05/2025";"0500";"8,4";"9,0";"8,2";"87,0";"88,0";"84,0";"6,4";"6,8";"6,0";"863,3";"863,6";"863,3";"0,0";"102,0";"0,5";"";"0,0"
"01/05/2025";"0600";"7,6";"8,9";"7,6";"89,0";"90,0";"85,0";"5,8";"6,7";"5,8";"863,2";"863,4";"863,2";"0,0";"54,0";"0,0";"";"0,2"
"01/05/2025";"0700";"8,3";"8,8";"7,5";"88,0";"91,0";"86,0";"6,4";"6,9";"5,8";"863,1";"863,2";"863,0";"0,2";"338,0";"0,8";"";"0,0"
"01/05/2025";"0800";"6,6";"8,3";"6,6";"93,0";"93,0";"88,0";"5,7";"6,4";"5,6";"863,3";"863,3";"863,0";"0,5";"343,0";"1,7";"";"0,0"
"01/05/2025";"0900";"7,5";"7,6";"6,6";"86,0";"94,0";"86,0";"5,4";"6,4";"5,3";"863,6";"863,6";"863,3";"0,5";"334,0";"1,8";"";"0,0"
"01/05/2025";"1000";"6,6";"7,6";"6,6";"90,0";"90,0";"86,0";"5,1";"5,5";"4,9";"864,1";"864,1";"863,6";"0,9";"331,0";"2,3";"4,40";"0,0"
"01/05/2025";"1100";"8,0";"8,0";"6,4";"85,0";"91,0";"85,0";"5,6";"5,7";"4,9";"864,5";"864,5";"864,0";"0,5";"338,0";"2,3";"364,60";"0,0"
"01/05/2025";"1200";"11,4";"11,4";"8,0";"70,0";"85,0";"68,0";"6,0";"6,6";"5,5";"865,0";"865,0";"864,5";"0,3";"341,0";"1,9";"1114,10";"0,0"
"01/05/2025";"1300";"16,0";"16,0";"11,4";"40,0";"70,0";"40,0";"2,5";"7,0";"2,5";"865,4";"865,4";"865,0";"0,2";"133,0";"1,3";"1907,90";"0,0"
"01/05/2025";"1400";"17,4";"17,5";"15,4";"29,0";"56,0";"25,0";"-0,8";"8,3";"-2,2";"865,0";"865,4";"865,0";"0,9";"72,0";"1,9";"2547,10";"0,0"
"01/05/2025";"1500";"17,8";"19,4";"17,4";"45,0";"48,0";"22,0";"5,5";"7,2";"-3,2";"864,9";"865,0";"864,9";"0,7";"332,0";"2,0";"2853,70";"0,0"
"01/05/2025";"1600";"18,4";"18,9";"17,6";"50,0";"53,0";"45,0";"7,8";"8,5";"5,9";"864,5";"865,0";"864,5";"0,8";"288,0";"2,9";"2900,10";"0,0"
"01/05/2025";"1700";"19,3";"19,3";"18,2";"43,0";"55,0";"43,0";"6,3";"9,2";"6,3";"863,9";"864,5";"863,9";"0,6";"63,0";"2,5";"2710,10";"0,0"
"01/05/2025";"1800";"19,7";"20,5";"19,2";"43,0";"48,0";"39,0";"6,6";"8,8";"5,7";"863,7";"863,9";"863,6";"0,6";"266,0";"2,1";"2274,50";"0,0"
"01/05/2025";"1900";"20,2";"20,5";"19,1";"43,0";"47,0";"41,0";"7,1";"8,2";"6,3";"863,8";"863,8";"863,6";"0,4";"210,0";"2,4";"1642,80";"0,0"
"01/05/2025";"2000";"17,8";"20,6";"17,8";"49,0";"49,0";"38,0";"6,9";"7,8";"5,3";"864,1";"864,1";"863,8";"1,1";"195,0";"1,7";"874,90";"0,0"
"01/05/2025";"2100";"14,8";"17,8";"14,8";"65,0";"65,0";"48,0";"8,4";"8,4";"6,6";"864,5";"864,5";"864,1";"0,7";"135,0";"1,9";"131,90";"0,0"
"01/05/2025";"2200";"12,6";"14,8";"12,5";"73,0";"73,0";"65,0";"7,9";"8,4";"7,5";"864,6";"864,7";"864,5";"1,3";"105,0";"1,9";"";"0,0"
"01/05/2025";"2300";"12,2";"12,6";"11,8";"74,0";"76,0";"73,0";"7,6";"8,0";"7,5";"864,7";"864,8";"864,6";"0,0";"358,0";"1,9";"";"0,0"
"02/05/2025";"0000";"11,8";"12,3";"11,6";"76,0";"77,0";"73,0";"7,7";"8,0";"7,3";"864,6";"864,7";"864,6";"0,1";"325,0";"1,2";"";"0,0"
"02/05/2025";"0100";"11,2";"11,8";"10,8";"84,0";"84,0";"76,0";"8,6";"8,6";"7,5";"864,5";"864,7";"864,5";"0,0";"292,0";"1,6";"";"0,0"
"02/05/2025";"0200";"10,2";"11,2";"10,1";"89,0";"89,0";"83,0";"8,4";"8,5";"7,9";"864,6";"864,7";"864,4";"0,4";"309,0";"1,4";"";"0,0"
"02/05/2025";"0300";"10,1";"10,8";"9,2";"87,0";"92,0";"84,0";"7,9";"8,6";"7,7";"864,2";"864,6";"864,1";"1,3";"57,0";"2,7";"";"0,0"
"02/05/2025";"0400";"9,2";"11,2";"9,2";"78,0";"88,0";"69,0";"5,6";"8,0";"5,1";"864,2";"864,2";"864,0";"0,6";"351,0";"3,6";"";"0,0"
"02/05/2025";"0500";"10,2";"10,2";"7,5";"65,0";"90,0";"65,0";"4,0";"6,6";"3,9";"863,7";"864,2";"863,7";"1,4";"39,0";"2,8";"";"0,0"
"02/05/2025";"0600";"12,2";"12,3";"9,9";"30,0";"66,0";"30,0";"-4,9";"4,0";"-4,9";"863,0";"863,7";"863,0";"2,3";"38,0";"3,9";"";"0,0"
"02/05/2025";"0700";"7,7";"12,6";"7,4";"58,0";"59,0";"28,0";"0,1";"0,1";"-5,5";"863,0";"863,1";"862,9";"0,3";"297,0";"3,9";"";"0,0"
"02/05/2025";"0800";"7,3";"8,1";"7,2";"72,0";"72,0";"58,0";"2,6";"2,7";"0,3";"863,4";"863,4";"862,9";"0,9";"323,0";"2,8";"";"0,0"
"02/05/2025";"0900";"7,2";"7,5";"6,8";"87,0";"88,0";"72,0";"5,2";"5,4";"2,5";"864,1";"864,1";"863,4";"1,8";"322,0";"4,3";"";"0,0"
"02/05/2025";"1000";"6,7";"7,3";"6,6";"93,0";"93,0";"87,0";"5,6";"5,7";"5,2";"864,2";"864,4";"864,0";"1,6";"319,0";"4,7";"8,00";"0,0"
"02/05/2025";"1100";"8,3";"8,3";"6,7";"84,0";"93,0";"84,0";"5,7";"5,9";"5,6";"864,9";"865,0";"864,2";"1,9";"329,0";"5,5";"514,60";"0,0"
"02/05/2025";"1200";"11,3";"11,3";"8,2";"68,0";"85,0";"66,0";"5,6";"6,0";"4,9";"865,1";"865,1";"864,7";"2,0";"332,0";"4,8";"1077,20";"0,2"
"02/05/2025";"1300";"12,4";"12,4";"11,2";"67,0";"73,0";"66,0";"6,5";"7,2";"5,2";"865,8";"865,8";"865,1";"1,8";"338,0";"4,8";"1398,70";"0,0"
"02/05/2025";"1400";"15,2";"15,4";"12,2";"59,0";"70,0";"57,0";"7,1";"7,8";"6,2";"865,4";"865,8";"865,4";"1,0";"340,0";"3,6";"2025,40";"0,0"
"02/05/2025";"1500";"17,6";"18,0";"15,1";"52,0";"60,0";"49,0";"7,5";"8,5";"5,8";"865,1";"865,4";"865,1";"1,5";"320,0";"4,3";"2576,40";"0,0"
"02/05/2025";"1600";"18,9";"18,9";"16,7";"51,0";"57,0";"51,0";"8,6";"8,9";"7,3";"864,6";"865,1";"864,5";"1,4";"310,0";"4,3";"2723,30";"0,0"
"02/05/2025";"1700";"16,2";"19,5";"16,2";"65,0";"65,0";"48,0";"9,6";"9,8";"7,4";"864,8";"864,8";"864,6";"1,2";"285,0";"3,9";"1589,60";"0,0"
"02/05/2025";"1800";"15,0";"16,2";"14,9";"70,0";"70,0";"65,0";"9,5";"9,7";"8,6";"864,8";"865,0";"864,6";"1,2";"283,0";"4,0";"801,00";"0,0"
"02/05/2025";"1900";"14,3";"15,0";"14,3";"71,0";"72,0";"69,0";"9,2";"9,7";"9,1";"865,0";"865,0";"864,8";"1,2";"299,0";"3,2";"687,00";"0,0"
"02/05/2025";"2000";"13,4";"14,3";"13,4";"77,0";"78,0";"71,0";"9,5";"9,9";"9,2";"865,0";"865,1";"864,6";"0,7";"295,0";"2,4";"378,90";"0,0"
