"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"27,5";"27,7";"27,5";"80,0";"80,0";"79,0";"23,7";"23,8";"23,6";"1003,9";"1003,9";"1003,0";"1,9";"246,0";"6,6";"";"0,0"
"01/01/2025";"0100";"27,5";"27,6";"27,5";"78,0";"80,0";"78,0";"23,4";"23,7";"23,4";"1004,4";"1004,5";"1003,9";"2,8";"242,0";"6,6";"";"0,0"
"01/01/2025";"0200";"27,4";"27,5";"27,4";"80,0";"80,0";"78,0";"23,6";"23,6";"23,4";"1004,6";"1004,6";"1004,2";"2,3";"252,0";"6,4";"";"0,0"
"01/01/2025";"0300";"27,2";"27,5";"27,2";"80,0";"80,0";"79,0";"23,5";"23,6";"23,5";"1004,6";"1004,7";"1004,4";"1,3";"257,0";"5,6";"";"0,0"
"01/01/2025";"0400";"26,9";"27,2";"26,9";"83,0";"83,0";"80,0";"23,8";"23,8";"23,5";"1004,3";"1004,6";"1004,3";"1,2";"250,0";"4,3";"";"0,0"
"01/01/2025";"0500";"26,8";"26,9";"26,8";"83,0";"84,0";"83,0";"23,8";"23,8";"23,7";"1003,8";"1004,3";"1003,8";"1,0";"253,0";"3,9";"";"0,0"
"01/01/2025";"0600";"26,8";"26,9";"26,7";"84,0";"84,0";"83,0";"23,8";"23,9";"23,7";"1003,7";"1003,9";"1003,7";"0,7";"266,0";"3,9";"";"0,0"
"01/01/2025";"0700";"26,6";"26,8";"26,6";"84,0";"84,0";"84,0";"23,6";"24,0";"23,6";"1003,7";"1003,8";"1003,7";"1,0";"256,0";"4,1";"";"0,0"
"01/01/2025";"0800";"26,7";"26,7";"26,5";"83,0";"84,0";"83,0";"23,6";"23,6";"23,6";"1003,8";"1003,8";"1003,7";"1,1";"243,0";"4,3";"";"0,0"
"01/01/2025";"0900";"26,6";"26,7";"26,6";"84,0";"84,0";"83,0";"23,7";"23,7";"23,6";"1003,9";"1003,9";"1003,7";"1,2";"245,0";"3,8";"";"0,0"
