"DateTime";"FLORIANOPOLIS"
"2021-01-01 00:00:00";166
"2021-01-01 01:00:00";177
"2021-01-01 02:00:00";160
"2021-01-01 03:00:00";157
"2021-01-01 04:00:00";172
"2021-01-01 05:00:00";169
"2021-01-01 06:00:00";183
"2021-01-01 07:00:00";148
"2021-01-01 08:00:00";149
"2021-01-01 09:00:00";160
"2021-01-01 10:00:00";173
"2021-01-01 11:00:00";174
"2021-01-01 12:00:00";183
"2021-01-01 13:00:00";163
"2021-01-01 14:00:00";154
"2021-01-01 15:00:00";162
"2021-01-01 16:00:00";169
"2021-01-01 17:00:00";156
"2021-01-01 18:00:00";150
"2021-01-01 19:00:00";149
"2021-01-01 20:00:00";149
"2021-01-01 21:00:00";149
"2021-01-01 22:00:00";159
"2021-01-01 23:00:00";151
"2021-01-02 00:00:00";154
"2021-01-02 01:00:00";182
"2021-01-02 02:00:00";189
"2021-01-02 03:00:00";240
"2021-01-02 04:00:00";282
"2021-01-02 05:00:00";301
"2021-01-02 06:00:00";298
"2021-01-02 07:00:00";130
"2021-01-02 08:00:00";278
"2021-01-02 09:00:00";220
"2021-01-02 10:00:00";201
"2021-01-02 11:00:00";305
"2021-01-02 12:00:00";348
"2021-01-02 13:00:00";146
"2021-01-02 14:00:00";17
"2021-01-02 15:00:00";24
"2021-01-02 16:00:00";16
"2021-01-02 17:00:00";2
"2021-01-02 18:00:00";40
"2021-01-02 19:00:00";76
"2021-01-02 20:00:00";50
"2021-01-02 21:00:00";80
"2021-01-02 22:00:00";54
"2021-01-02 23:00:00";53
"2021-01-03 00:00:00";54
"2021-01-03 01:00:00";57
"2021-01-03 02:00:00";29
"2021-01-03 03:00:00";259
"2021-01-03 04:00:00";268
"2021-01-03 05:00:00";278
"2021-01-03 06:00:00";273
"2021-01-03 07:00:00";275
"2021-01-03 08:00:00";276
"2021-01-03 09:00:00";274
"2021-01-03 10:00:00";331
"2021-01-03 11:00:00";252
"2021-01-03 12:00:00";145
"2021-01-03 13:00:00";176
"2021-01-03 14:00:00";129
"2021-01-03 15:00:00";27
"2021-01-03 16:00:00";61
"2021-01-03 17:00:00";90
"2021-01-03 18:00:00";68
"2021-01-03 19:00:00";54
"2021-01-03 20:00:00";84
"2021-01-03 21:00:00";101
"2021-01-03 22:00:00";78
"2021-01-03 23:00:00";43
"2021-01-04 00:00:00";57
"2021-01-04 01:00:00";64
"2021-01-04 02:00:00";56
"2021-01-04 03:00:00";35
"2021-01-04 04:00:00";37
"2021-01-04 05:00:00";247
"2021-01-04 06:00:00";252
"2021-01-04 07:00:00";267
"2021-01-04 08:00:00";259
"2021-01-04 09:00:00";281
"2021-01-04 10:00:00";257
"2021-01-04 11:00:00";142
"2021-01-04 12:00:00";43
"2021-01-04 13:00:00";343
"2021-01-04 14:00:00";346
"2021-01-04 15:00:00";14
"2021-01-04 16:00:00";17
"2021-01-04 17:00:00";358
"2021-01-04 18:00:00";13
"2021-01-04 19:00:00";20
"2021-01-04 20:00:00";11
"2021-01-04 21:00:00";12
"2021-01-04 22:00:00";26
"2021-01-04 23:00:00";24
"2021-01-05 00:00:00";36
"2021-01-05 01:00:00";356
"2021-01-05 02:00:00";299
"2021-01-05 03:00:00";321
"2021-01-05 04:00:00";288
"2021-01-05 05:00:00";278
"2021-01-05 06:00:00";313
"2021-01-05 07:00:00";307
"2021-01-05 08:00:00";318
"2021-01-05 09:00:00";300
"2021-01-05 10:00:00";269
"2021-01-05 11:00:00";349
"2021-01-05 12:00:00";346
"2021-01-05 13:00:00";5
"2021-01-05 14:00:00";350
"2021-01-05 15:00:00";11
"2021-01-05 16:00:00";38
"2021-01-05 17:00:00";15
"2021-01-05 18:00:00";10
"2021-01-05 19:00:00";16
"2021-01-05 20:00:00";15
"2021-01-05 21:00:00";15
"2021-01-05 22:00:00";18
"2021-01-05 23:00:00";7
"2021-01-06 00:00:00";1
"2021-01-06 01:00:00";359
"2021-01-06 02:00:00";343
"2021-01-06 03:00:00";353
"2021-01-06 04:00:00";13
"2021-01-06 05:00:00";2
"2021-01-06 06:00:00";320
"2021-01-06 07:00:00";1
"2021-01-06 08:00:00";326
"2021-01-06 09:00:00";312
"2021-01-06 10:00:00";310
"2021-01-06 11:00:00";327
"2021-01-06 12:00:00";320
"2021-01-06 13:00:00";2
"2021-01-06 14:00:00";27
"2021-01-06 15:00:00";10
"2021-01-06 16:00:00";35
"2021-01-06 17:00:00";20
"2021-01-06 18:00:00";18
"2021-01-06 19:00:00";34
"2021-01-06 20:00:00";60
"2021-01-06 21:00:00";140
"2021-01-06 22:00:00";151
"2021-01-06 23:00:00";135
"2021-01-07 00:00:00";103
"2021-01-07 01:00:00";273
"2021-01-07 02:00:00";287
"2021-01-07 03:00:00";88
"2021-01-07 04:00:00";257
"2021-01-07 05:00:00";1
"2021-01-07 06:00:00";148
"2021-01-07 07:00:00";313
"2021-01-07 08:00:00";79
"2021-01-07 09:00:00";251
"2021-01-07 10:00:00";111
"2021-01-07 11:00:00";96
"2021-01-07 12:00:00";146
"2021-01-07 13:00:00";139
"2021-01-07 14:00:00";147
"2021-01-07 15:00:00";159
"2021-01-07 16:00:00";132
"2021-01-07 17:00:00";145
"2021-01-07 18:00:00";142
"2021-01-07 19:00:00";160
"2021-01-07 20:00:00";235
"2021-01-07 21:00:00";306
"2021-01-07 22:00:00";307
"2021-01-07 23:00:00";345
"2021-01-08 00:00:00";291
"2021-01-08 01:00:00";328
"2021-01-08 02:00:00";326
"2021-01-08 03:00:00";18
"2021-01-08 04:00:00";348
"2021-01-08 05:00:00";305
"2021-01-08 06:00:00";319
"2021-01-08 07:00:00";319
"2021-01-08 08:00:00";8
"2021-01-08 09:00:00";18
"2021-01-08 10:00:00";254
"2021-01-08 11:00:00";292
"2021-01-08 12:00:00";141
"2021-01-08 13:00:00";137
"2021-01-08 14:00:00";170
"2021-01-08 15:00:00";154
"2021-01-08 16:00:00";144
"2021-01-08 17:00:00";163
"2021-01-08 18:00:00";168
"2021-01-08 19:00:00";183
"2021-01-08 20:00:00";135
"2021-01-08 21:00:00";137
"2021-01-08 22:00:00";141
"2021-01-08 23:00:00";145
"2021-01-09 00:00:00";200
"2021-01-09 01:00:00";233
"2021-01-09 02:00:00";269
"2021-01-09 03:00:00";292
"2021-01-09 04:00:00";266
"2021-01-09 05:00:00";250
"2021-01-09 06:00:00";276
"2021-01-09 07:00:00";258
"2021-01-09 08:00:00";283
"2021-01-09 09:00:00";261
"2021-01-09 10:00:00";244
"2021-01-09 11:00:00";255
"2021-01-09 12:00:00";267
"2021-01-09 13:00:00";274
"2021-01-09 14:00:00";45
"2021-01-09 15:00:00";18
"2021-01-09 16:00:00";23
"2021-01-09 17:00:00";21
"2021-01-09 18:00:00";30
"2021-01-09 19:00:00";28
"2021-01-09 20:00:00";8
"2021-01-09 21:00:00";40
"2021-01-09 22:00:00";3
"2021-01-09 23:00:00";18
"2021-01-10 00:00:00";27
"2021-01-10 01:00:00";358
"2021-01-10 02:00:00";284
"2021-01-10 03:00:00";237
"2021-01-10 04:00:00";321
"2021-01-10 05:00:00";251
"2021-01-10 06:00:00";265
"2021-01-10 07:00:00";282
"2021-01-10 08:00:00";275
"2021-01-10 09:00:00";290
"2021-01-10 10:00:00";255
"2021-01-10 11:00:00";217
"2021-01-10 12:00:00";320
"2021-01-10 13:00:00";48
"2021-01-10 14:00:00";57
"2021-01-10 15:00:00";26
"2021-01-10 16:00:00";22
"2021-01-10 17:00:00";74
"2021-01-10 18:00:00";98
"2021-01-10 19:00:00";78
"2021-01-10 20:00:00";94
"2021-01-10 21:00:00";59
"2021-01-10 22:00:00";47
"2021-01-10 23:00:00";62
"2021-01-11 00:00:00";30
"2021-01-11 01:00:00";8
"2021-01-11 02:00:00";41
"2021-01-11 03:00:00";78
"2021-01-11 04:00:00";52
"2021-01-11 05:00:00";31
"2021-01-11 06:00:00";29
"2021-01-11 07:00:00";242
"2021-01-11 08:00:00";148
"2021-01-11 09:00:00";258
"2021-01-11 10:00:00";314
"2021-01-11 11:00:00";297
"2021-01-11 12:00:00";355
"2021-01-11 13:00:00";5
"2021-01-11 14:00:00";5
"2021-01-11 15:00:00";30
"2021-01-11 16:00:00";30
"2021-01-11 17:00:00";34
"2021-01-11 18:00:00";25
"2021-01-11 19:00:00";21
"2021-01-11 20:00:00";29
"2021-01-11 21:00:00";40
"2021-01-11 22:00:00";15
"2021-01-11 23:00:00";34
"2021-01-12 00:00:00";35
"2021-01-12 01:00:00";10
"2021-01-12 02:00:00";357
"2021-01-12 03:00:00";359
"2021-01-12 04:00:00";296
"2021-01-12 05:00:00";323
"2021-01-12 06:00:00";331
"2021-01-12 07:00:00";300
"2021-01-12 08:00:00";320
"2021-01-12 09:00:00";274
"2021-01-12 10:00:00";125
"2021-01-12 11:00:00";12
"2021-01-12 12:00:00";337
"2021-01-12 13:00:00";350
"2021-01-12 14:00:00";23
"2021-01-12 15:00:00";22
"2021-01-12 16:00:00";4
"2021-01-12 17:00:00";18
"2021-01-12 18:00:00";27
"2021-01-12 19:00:00";354
"2021-01-12 20:00:00";157
"2021-01-12 21:00:00";152
"2021-01-12 22:00:00";153
"2021-01-12 23:00:00";151
"2021-01-13 00:00:00";163
"2021-01-13 01:00:00";146
"2021-01-13 02:00:00";154
"2021-01-13 03:00:00";149
"2021-01-13 04:00:00";143
"2021-01-13 05:00:00";149
"2021-01-13 06:00:00";146
"2021-01-13 07:00:00";149
"2021-01-13 08:00:00";161
"2021-01-13 09:00:00";151
"2021-01-13 10:00:00";154
"2021-01-13 11:00:00";156
"2021-01-13 12:00:00";172
"2021-01-13 13:00:00";152
"2021-01-13 14:00:00";147
"2021-01-13 15:00:00";145
"2021-01-13 16:00:00";151
"2021-01-13 17:00:00";155
"2021-01-13 18:00:00";162
"2021-01-13 19:00:00";169
"2021-01-13 20:00:00";160
"2021-01-13 21:00:00";155
"2021-01-13 22:00:00";178
"2021-01-13 23:00:00";161
"2021-01-14 00:00:00";171
"2021-01-14 01:00:00";152
"2021-01-14 02:00:00";153
"2021-01-14 03:00:00";169
"2021-01-14 04:00:00";159
"2021-01-14 05:00:00";161
"2021-01-14 06:00:00";154
"2021-01-14 07:00:00";154
"2021-01-14 08:00:00";161
"2021-01-14 09:00:00";169
"2021-01-14 10:00:00";169
"2021-01-14 11:00:00";169
"2021-01-14 12:00:00";172
"2021-01-14 13:00:00";164
"2021-01-14 14:00:00";166
"2021-01-14 15:00:00";160
"2021-01-14 16:00:00";167
"2021-01-14 17:00:00";153
"2021-01-14 18:00:00";154
"2021-01-14 19:00:00";157
"2021-01-14 20:00:00";155
"2021-01-14 21:00:00";167
"2021-01-14 22:00:00";159
"2021-01-14 23:00:00";166
"2021-01-15 00:00:00";169
"2021-01-15 01:00:00";180
"2021-01-15 02:00:00";180
"2021-01-15 03:00:00";237
"2021-01-15 04:00:00";243
"2021-01-15 05:00:00";271
"2021-01-15 06:00:00";278
"2021-01-15 07:00:00";274
"2021-01-15 08:00:00";273
"2021-01-15 09:00:00";297
"2021-01-15 10:00:00";331
"2021-01-15 11:00:00";172
"2021-01-15 12:00:00";241
"2021-01-15 13:00:00";130
"2021-01-15 14:00:00";13
"2021-01-15 15:00:00";28
"2021-01-15 16:00:00";40
"2021-01-15 17:00:00";39
"2021-01-15 18:00:00";18
"2021-01-15 19:00:00";2
"2021-01-15 20:00:00";9
"2021-01-15 21:00:00";360
"2021-01-15 22:00:00";11
"2021-01-15 23:00:00";5
"2021-01-16 00:00:00";356
"2021-01-16 01:00:00";11
"2021-01-16 02:00:00";23
"2021-01-16 03:00:00";40
"2021-01-16 04:00:00";31
"2021-01-16 05:00:00";8
"2021-01-16 06:00:00";11
"2021-01-16 07:00:00";14
"2021-01-16 08:00:00";25
"2021-01-16 09:00:00";35
"2021-01-16 10:00:00";12
"2021-01-16 11:00:00";15
